NAME,B01003_001E,B01003_001EA,B01003_001M,B01003_001MA,zip code tabulation area
ZCTA5 29464,51379.0,,1143.0,,29464
ZCTA5 29470,4900.0,,574.0,,29470
ZCTA5 29474,2136.0,,523.0,,29474
ZCTA5 29203,39518.0,,1471.0,,29203
ZCTA5 29209,33590.0,,1253.0,,29209
ZCTA5 29302,16958.0,,971.0,,29302
ZCTA5 29571,14140.0,,845.0,,29571
ZCTA5 29307,18121.0,,787.0,,29307
ZCTA5 29316,26719.0,,1214.0,,29316
ZCTA5 29570,3402.0,,436.0,,29570
ZCTA5 29577,31816.0,,844.0,,29577
ZCTA5 29580,1336.0,,273.0,,29580
ZCTA5 29593,1669.0,,352.0,,29593
ZCTA5 29617,28362.0,,1562.0,,29617
ZCTA5 29621,40931.0,,1064.0,,29621
ZCTA5 29626,12570.0,,1083.0,,29626
ZCTA5 29631,15176.0,,407.0,,29631
ZCTA5 29644,21182.0,,947.0,,29644
ZCTA5 29658,491.0,,258.0,,29658
ZCTA5 29690,23217.0,,975.0,,29690
ZCTA5 29692,4711.0,,566.0,,29692
ZCTA5 29696,5386.0,,701.0,,29696
ZCTA5 29727,1441.0,,335.0,,29727
ZCTA5 29810,4224.0,,303.0,,29810
ZCTA5 29840,323.0,,115.0,,29840
ZCTA5 29848,631.0,,162.0,,29848
ZCTA5 29939,383.0,,146.0,,29939
ZCTA5 29046,143.0,,89.0,,29046
ZCTA5 29101,2889.0,,448.0,,29101
ZCTA5 29168,3973.0,,723.0,,29168
ZCTA5 29940,4046.0,,630.0,,29940
ZCTA5 29137,1849.0,,357.0,,29137
ZCTA5 29153,14934.0,,1027.0,,29153
ZCTA5 29162,3046.0,,330.0,,29162
ZCTA5 29169,24170.0,,958.0,,29169
ZCTA5 29202,274.0,,72.0,,29202
ZCTA5 29148,6910.0,,530.0,,29148
ZCTA5 29320,1017.0,,854.0,,29320
ZCTA5 29453,1136.0,,397.0,,29453
ZCTA5 29581,5189.0,,735.0,,29581
ZCTA5 29657,15869.0,,1027.0,,29657
ZCTA5 29569,17587.0,,1206.0,,29569
ZCTA5 29607,40940.0,,1233.0,,29607
ZCTA5 29741,2239.0,,412.0,,29741
ZCTA5 29902,15826.0,,913.0,,29902
ZCTA5 29944,3985.0,,553.0,,29944
ZCTA5 29945,5232.0,,926.0,,29945
ZCTA5 29712,2199.0,,346.0,,29712
ZCTA5 29520,13892.0,,935.0,,29520
