week,sales,book
Sep 05 2021 - Sep 11 2021,154,All Boys Aren't Blue
Sep 12 2021 - Sep 18 2021,151,All Boys Aren't Blue
Sep 19 2021 - Sep 25 2021,130,All Boys Aren't Blue
Sep 26 2021 - Oct 02 2021,186,All Boys Aren't Blue
Oct 03 2021 - Oct 09 2021,137,All Boys Aren't Blue
Oct 10 2021 - Oct 16 2021,72,All Boys Aren't Blue
Oct 17 2021 - Oct 23 2021,125,All Boys Aren't Blue
Oct 24 2021 - Oct 30 2021,113,All Boys Aren't Blue
Oct 31 2021 - Nov 06 2021,159,All Boys Aren't Blue
Nov 07 2021 - Nov 13 2021,297,All Boys Aren't Blue
Nov 14 2021 - Nov 20 2021,624,All Boys Aren't Blue
Nov 21 2021 - Nov 27 2021,386,All Boys Aren't Blue
Nov 28 2021 - Dec 04 2021,322,All Boys Aren't Blue
Dec 05 2021 - Dec 11 2021,295,All Boys Aren't Blue
Dec 12 2021 - Dec 18 2021,268,All Boys Aren't Blue
Dec 19 2021 - Dec 25 2021,165,All Boys Aren't Blue
Dec 26 2021 - Jan 01 2022,220,All Boys Aren't Blue
Jan 02 2022 - Jan 08 2022,106,All Boys Aren't Blue
Jan 09 2022 - Jan 15 2022,147,All Boys Aren't Blue
Jan 16 2022 - Jan 22 2022,155,All Boys Aren't Blue
Jan 23 2022 - Jan 29 2022,349,All Boys Aren't Blue
Jan 30 2022 - Feb 05 2022,1256,All Boys Aren't Blue
Feb 06 2022 - Feb 12 2022,1905,All Boys Aren't Blue
Feb 13 2022 - Feb 19 2022,1027,All Boys Aren't Blue
Feb 20 2022 - Feb 26 2022,1017,All Boys Aren't Blue
Feb 27 2022 - Mar 05 2022,366,All Boys Aren't Blue
Mar 06 2022 - Mar 12 2022,383,All Boys Aren't Blue
Mar 13 2022 - Mar 19 2022,314,All Boys Aren't Blue
Mar 20 2022 - Mar 26 2022,291,All Boys Aren't Blue
Mar 27 2022 - Apr 02 2022,215,All Boys Aren't Blue
Apr 03 2022 - Apr 09 2022,293,All Boys Aren't Blue
Apr 10 2022 - Apr 16 2022,334,All Boys Aren't Blue
Apr 17 2022 - Apr 23 2022,376,All Boys Aren't Blue
Apr 24 2022 - Apr 30 2022,274,All Boys Aren't Blue
May 01 2022 - May 07 2022,252,All Boys Aren't Blue
Sep 05 2021 - Sep 11 2021,788,Antiracism Baby
Sep 12 2021 - Sep 18 2021,853,Antiracism Baby
Sep 19 2021 - Sep 25 2021,801,Antiracism Baby
Sep 26 2021 - Oct 02 2021,582,Antiracism Baby
Oct 03 2021 - Oct 09 2021,557,Antiracism Baby
Oct 10 2021 - Oct 16 2021,568,Antiracism Baby
Oct 17 2021 - Oct 23 2021,634,Antiracism Baby
Oct 24 2021 - Oct 30 2021,527,Antiracism Baby
Oct 31 2021 - Nov 06 2021,695,Antiracism Baby
Nov 07 2021 - Nov 13 2021,604,Antiracism Baby
Nov 14 2021 - Nov 20 2021,616,Antiracism Baby
Nov 21 2021 - Nov 27 2021,660,Antiracism Baby
Nov 28 2021 - Dec 04 2021,811,Antiracism Baby
Dec 05 2021 - Dec 11 2021,820,Antiracism Baby
Dec 12 2021 - Dec 18 2021,934,Antiracism Baby
Dec 19 2021 - Dec 25 2021,722,Antiracism Baby
Dec 26 2021 - Jan 01 2022,377,Antiracism Baby
Jan 02 2022 - Jan 08 2022,401,Antiracism Baby
Jan 09 2022 - Jan 15 2022,428,Antiracism Baby
Jan 16 2022 - Jan 22 2022,424,Antiracism Baby
Jan 23 2022 - Jan 29 2022,350,Antiracism Baby
Jan 30 2022 - Feb 05 2022,455,Antiracism Baby
Feb 06 2022 - Feb 12 2022,541,Antiracism Baby
Feb 13 2022 - Feb 19 2022,498,Antiracism Baby
Feb 20 2022 - Feb 26 2022,447,Antiracism Baby
Feb 27 2022 - Mar 05 2022,453,Antiracism Baby
Mar 06 2022 - Mar 12 2022,386,Antiracism Baby
Mar 13 2022 - Mar 19 2022,359,Antiracism Baby
Mar 20 2022 - Mar 26 2022,12679,Antiracism Baby
Mar 27 2022 - Apr 02 2022,14498,Antiracism Baby
Apr 03 2022 - Apr 09 2022,8051,Antiracism Baby
Apr 10 2022 - Apr 16 2022,3467,Antiracism Baby
Apr 17 2022 - Apr 23 2022,1651,Antiracism Baby
Apr 24 2022 - Apr 30 2022,1033,Antiracism Baby
May 01 2022 - May 07 2022,872,Antiracism Baby
Sep 05 2021 - Sep 11 2021,18,Gender Queer
Sep 12 2021 - Sep 18 2021,16,Gender Queer
Sep 19 2021 - Sep 25 2021,21,Gender Queer
Sep 26 2021 - Oct 02 2021,22,Gender Queer
Oct 03 2021 - Oct 09 2021,7,Gender Queer
Oct 10 2021 - Oct 16 2021,132,Gender Queer
Oct 17 2021 - Oct 23 2021,157,Gender Queer
Oct 24 2021 - Oct 30 2021,152,Gender Queer
Oct 31 2021 - Nov 06 2021,216,Gender Queer
Nov 07 2021 - Nov 13 2021,706,Gender Queer
Nov 14 2021 - Nov 20 2021,748,Gender Queer
