id,name,telephone,slug,country_abbr,address1,city,statename,statecode,postalcode,url,country,address
R177,ABQ Uptown,(505) 837-6480,abquptown,US,2240 Q Street NE,Albuquerque,New Mexico,NM,87110,https://www.apple.com/retail/abquptown,United States,"2240 Q Street NE, Albuquerque, New Mexico 87110"
R446,New Haven,(203) 498-8950,newhaven,US,65 Broadway,New Haven,Connecticut,CT,06511,https://www.apple.com/retail/newhaven,United States,"65 Broadway, New Haven, Connecticut 06511"
R282,Greenwich Avenue,(203) 302-6691,greenwichavenue,US,356 Greenwich Avenue,Greenwich,Connecticut,CT,06830,https://www.apple.com/retail/greenwichavenue,United States,"356 Greenwich Avenue, Greenwich, Connecticut 06830"
R629,Trumbull,(203) 666-3928,trumbull,US,5065 Main Street,Trumbull,Connecticut,CT,06611,https://www.apple.com/retail/trumbull,United States,"5065 Main Street, Trumbull, Connecticut 06611"
R093,Danbury Fair Mall,(203) 546-6340,danburyfairmall,US,Seven Backus Avenue,Danbury,Connecticut,CT,06810,https://www.apple.com/retail/danburyfairmall,United States,"Seven Backus Avenue, Danbury, Connecticut 06810"
R025,Westfarms,(860) 221-0800,westfarms,US,500 Westfarms Mall,Farmington,Connecticut,CT,06032,https://www.apple.com/retail/westfarms,United States,"500 Westfarms Mall, Farmington, Connecticut 06032"
R613,Evergreen Walk,(860) 512-2070,evergreenwalk,US,401 Evergreen Walk,South Windsor,Connecticut,CT,06074,https://www.apple.com/retail/evergreenwalk,United States,"401 Evergreen Walk, South Windsor, Connecticut 06074"
R202,SoNo Collection,(203) 658-1801,sonocollection,US,100 N. Water Street,Norwalk,Connecticut,CT,06854,https://www.apple.com/retail/sonocollection,United States,"100 N. Water Street, Norwalk, Connecticut 06854"
R082,UTC,(858) 795-6870,utc,US,4305 La Jolla Village Drive,San Diego,California,CA,92122,https://www.apple.com/retail/utc,United States,"4305 La Jolla Village Drive, San Diego, California 92122"
R217,Chestnut Street,(415) 848-4445,chestnutstreet,US,2125 Chestnut Street,San Francisco,California,CA,94123,https://www.apple.com/retail/chestnutstreet,United States,"2125 Chestnut Street, San Francisco, California 94123"
R154,The Oaks,(805) 277-5040,theoaks,US,432 West Hillcrest Drive,Thousand Oaks,California,CA,91360,https://www.apple.com/retail/theoaks,United States,"432 West Hillcrest Drive, Thousand Oaks, California 91360"
