,county,icu_days,icu_bed_days,icu_beds,icu_occupancy_rate
0,Alameda,56877.0,94400,256,67.8
1,Amador,1291.0,2190,6,59.0
2,Butte,8593.0,17155,47,52.0
3,Calaveras,597.0,2920,8,20.0
4,Colusa,18.0,2190,6,1.0
5,Contra Costa,39346.0,61685,169,65.75
6,Del Norte,1730.0,2190,6,79.0
7,El Dorado,3270.0,10220,28,31.0
8,Fresno,35994.0,54385,149,64.75
9,Glenn,0.0,0,0,
10,Humboldt,5524.0,9490,26,59.666666666666664
11,Imperial,3483.0,10220,28,37.5
12,Inyo,205.0,1460,4,14.0
13,Kern,21475.0,55294,155,30.2
14,Kings,0.0,8030,22,
15,Lake,2237.0,2920,8,77.0
16,Lassen,0.0,0,0,
17,Los Angeles,461347.0,765503,2109,65.17441860465117
18,Madera,10684.0,18980,52,62.0
19,Marin,7016.0,10950,30,67.33333333333333
20,Mariposa,0.0,0,0,
21,Mendocino,3515.0,5642,16,59.0
22,Merced,4467.0,8760,24,45.5
23,Modoc,0.0,0,0,
24,Mono,110.0,730,2,15.0
25,Monterey,5932.0,10950,30,50.0
26,Napa,5576.0,17520,48,41.0
27,Nevada,1959.0,2920,8,68.5
28,Orange,131000.0,227237,622,59.206896551724135
29,Placer,13895.0,21170,58,64.33333333333333
30,Plumas,0.0,0,0,
31,Riverside,82519.0,137970,378,60.22222222222222
32,Sacramento,100526.0,137240,376,71.0
33,San Benito,770.0,2696,4,29.0
34,San Bernardino,132084.0,181040,496,80.35
35,San Diego,123108.0,216725,580,56.0
36,San Francisco,68544.0,125184,381,53.166666666666664
37,San Joaquin,19406.0,29200,80,62.0
38,San Luis Obispo,4842.0,17520,48,29.75
39,San Mateo,18016.0,35040,96,51.0
40,Santa Barbara,13376.0,28835,79,36.666666666666664
41,Santa Clara,79598.0,116850,366,65.63636363636364
42,Santa Cruz,3310.0,4745,13,58.0
43,Shasta,11857.0,25613,70,47.0
44,Siskiyou,1150.0,2920,8,39.0
45,Solano,15453.0,29930,82,53.4
46,Sonoma,16977.0,26280,72,60.333333333333336
47,Stanislaus,25347.0,33580,92,64.0
48,Sutter,0.0,0,0,
49,Tehama,336.0,2920,8,12.0
50,Trinity,0.0,0,0,
51,Tulare,9640.0,18615,51,50.0
52,Tuolumne,1427.0,2190,6,65.0
53,Ventura,29048.0,47815,131,69.125
54,Yolo,3161.0,5110,14,62.5
55,Yuba,6380.0,8760,24,73.0
