,county,icu_beds,icus_per1000
0,Alameda,264.0,16.061325059317394
1,Amador,6.0,15.860847497951307
2,Butte,59.0,25.982604866233622
3,Calaveras,8.0,17.685420581408202
4,Colusa,6.0,27.95378307864331
5,Contra Costa,169.0,14.912900718025284
6,Del Norte,6.0,21.878646441073514
7,El Dorado,28.0,15.000455370966618
8,Fresno,149.0,15.233148967928598
9,Glenn,0.0,0.0
10,Humboldt,26.0,19.150315243650933
11,Imperial,28.0,15.536911262041107
12,Inyo,4.0,22.11777716339508
13,Kern,148.0,16.760035920833744
14,Kings,22.0,14.659336998167582
15,Lake,8.0,12.47116044147908
16,Lassen,0.0,0.0
17,Los Angeles,2174.0,21.52890478282346
18,Madera,52.0,33.54557359705315
19,Marin,30.0,11.525384659713017
20,Mariposa,0.0,0.0
21,Mendocino,14.0,16.014275582805244
22,Merced,24.0,8.919446251045247
23,Modoc,0.0,0.0
24,Mono,2.0,14.110342881332016
25,Monterey,30.0,6.925015927536633
26,Napa,48.0,34.156407884437485
27,Nevada,8.0,8.073305614984056
28,Orange,631.0,19.941962883298118
29,Placer,58.0,15.260065723524443
30,Plumas,0.0,0.0
31,Riverside,378.0,15.860454850991447
32,Sacramento,376.0,24.900282975822222
33,San Benito,8.0,13.464386697185944
34,San Bernardino,496.0,23.22735695624219
35,San Diego,540.0,16.349600479346066
36,San Francisco,347.0,39.88304039795688
37,San Joaquin,80.0,10.925797446641136
38,San Luis Obispo,48.0,17.054236023520634
39,San Mateo,96.0,12.533700640393768
40,Santa Barbara,79.0,17.803298342715745
41,Santa Clara,370.0,19.248777442513788
42,Santa Cruz,13.0,4.748598250324183
43,Shasta,71.0,39.645978166792304
44,Siskiyou,8.0,18.373909049150207
45,Solano,82.0,18.698834743347092
46,Sonoma,72.0,14.36217004410383
47,Stanislaus,92.0,17.059119119007754
48,Sutter,0.0,0.0
49,Tehama,8.0,12.623672541934262
50,Trinity,0.0,0.0
51,Tulare,65.0,14.115797314523853
52,Tuolumne,6.0,11.12512052213899
53,Ventura,131.0,15.446073160148659
54,Yolo,14.0,6.512324574256781
55,Yuba,24.0,31.79102698263415
