date,primary,eligible_votes,democratic,republican,other,total_voters,total_votes,turnout_registered,turnout_eligible
1924-11-04,P,2754000,397962,1183672,240723,1822357,1336598,0.73,0.49
1928-11-06,P,3240000,592161,1535751,185904,2313816,1846077,0.80,0.57
1932-11-08,P,3573000,1161482,1565264,162267,2889013,2330132,0.81,0.65
1936-11-03,P,3844000,1882014,1244507,127300,3253821,2712342,0.83,0.71
1940-11-05,P,4214000,2419628,1458373,174394,4052395,3300410,0.81,0.78
1944-11-07,P,5427000,2418965,1548395,173971,4141331,3566734,0.86,0.66
1948-11-02,P,6106000,2892222,1908170,261605,5061997,4076981,0.81,0.67
1952-11-04,P,7033000,3312668,2455713,229919,5998300,5209692,0.87,0.74
1956-11-06,P,8208000,3575635,2646249,186937,6408821,5547621,0.87,0.68
1960-11-08,P,9587000,4295330,2926408,242888,7464626,6592591,0.88,0.69
1964-11-03,P,10959000,4737886,3181272,264985,8184143,7233067,0.88,0.66
1968-11-05,P,11813000,4682661,3462131,442881,8587673,7363711,0.86,0.62
1972-11-07,P,13322000,5864745,3840620,760850,10466215,8595950,0.82,0.65
1976-11-02,P,14196000,5725718,3468439,786331,9980488,8137202,0.82,0.57
1980-11-04,P,15384000,6043262,3942768,1375593,11361623,8775459,0.77,0.57
1984-11-06,P,16582000,6804263,4769129,1500238,13073630,9796375,0.75,0.59
1988-11-08,P,19052000,7052368,5406127,1546378,14004873,10194539,0.73,0.54
1992-11-03,P,20864000,7410914,5593555,2097004,15101473,11374565,0.75,0.55
1996-11-05,P,19526991,7387504,5704536,2570035,15662075,10263490,0.66,0.53
2000-11-07,P,21461275,7134601,5485492,3087214,15707307,11142843,0.71,0.52
2004-11-02,P,22075036,7120425,5745518,3691330,16557273,12589683,0.76,0.57
2008-11-04,P,23208710,7683495,5428052,4192544,17304091,13743177,0.79,0.59
2012-11-06,P,23802577,7966422,5356608,4922940,18245970,13202158,0.72,0.55
2016-11-08,P,24875293,8720417,5048398,5642956,19411771,14610509,0.75,0.59
2020-11-03,P,25090517,10170317,5334323,6542808,22047448,17785151,0.81,0.71
1973-11-06,S,13512000,5049959,3422291,617569,9089819,4329017,0.48,0.32
1979-11-06,S,15083000,5594018,3406854,1006085,10006957,3740800,0.37,0.25
1993-11-02,S,20797000,7110142,5389313,2043168,14524623,5282443,0.36,0.28
2003-10-07,S,21833141,6718111,5429256,3236059,15383526,9413494,0.61,0.43
2005-11-08,S,22487768,6785188,5524609,3581685,15891482,7968757,0.50,0.35
2009-05-19,S,23385819,7642108,5325558,4185346,17153012,4871945,0.28,0.21
1922-11-07,G,2420000,319107,968429,244848,1532384,1000997,0.65,0.41
1926-11-02,G,2989000,410290,1298062,204510,1912862,1212452,0.63,0.41
1930-11-04,G,3463000,456096,1638575,150557,2245228,1444872,0.64,0.42
1934-11-06,G,3674000,1555705,1430198,154211,3140114,2360916,0.75,0.64
1938-11-08,G,4035000,2144360,1293929,173127,3611416,2695904,0.75,0.67
1942-11-03,G,4693000,2300206,1370069,150491,3820776,2264288,0.59,0.48
1946-11-05,G,5800000,2541720,1637246,204997,4383963,2759641,0.63,0.48
1950-11-07,G,6458000,3062205,1944812,237820,5244837,3845757,0.73,0.60
1954-11-02,G,7565000,3266831,2415249,203157,5885237,4101692,0.70,0.54
1958-11-04,G,8909000,3875630,2676565,200226,6752421,5366053,0.79,0.60
1962-11-06,G,10305000,4289997,3002038,239176,7531211,5929602,0.79,0.58
1966-11-08,G,11448000,4720597,3350990,269281,8340868,6605866,0.79,0.58
1970-11-03,G,12182000,4781282,3469046,456019,8706347,6633400,0.76,0.54
1974-11-05,G,13703000,5623831,3574624,729909,9928364,6364597,0.64,0.46
1978-11-07,G,14781000,5729959,3465384,934643,10129986,7132210,0.70,0.48
1982-11-02,G,15984000,6150716,4029684,1378699,11559099,8064314,0.70,0.50
1986-11-04,G,17561000,6524496,4912581,1396843,12833920,7617142,0.59,0.43
1990-11-06,G,19245000,6671747,5290202,1516078,13478027,7899131,0.59,0.41
1994-11-08,G,18946000,7219635,5472391,2031758,14723784,8900593,0.60,0.47
1998-11-03,G,20806462,6989006,5314912,2665267,14969185,8621121,0.58,0.41
2002-11-05,G,21466274,6825400,5388895,3089174,15303469,7738821,0.51,0.36
2006-11-07,G,22652190,6727908,5436314,3672886,15837108,8899059,0.56,0.39
2010-11-02,G,23551699,7620240,5361875,4303768,17285883,10300392,0.60,0.44
2014-11-04,G,24288145,7708683,5005422,5089718,17803823,7513972,0.42,0.31
2018-11-06,G,25200451,8557427,4735054,6403890,19696371,12712542,0.65,0.50
