state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,winner
California,001,Alameda,136309,617659,769864,-481350,0.1770559475439818,0.8022962497272246,0.6252403021832428,Biden
California,003,Alpine,244,476,741,-232,0.3292847503373819,0.6423751686909581,0.3130904183535762,Biden
California,005,Amador,13585,8153,22302,5432,0.6091381938839566,0.3655725943861537,0.24356559949780293,Trump
California,007,Butte,48730,50426,102042,-1696,0.4775484604378589,0.4941690676388154,0.016620607200956483,Biden
California,009,Calaveras,16518,10046,27164,6472,0.6080842291267855,0.369827713149757,0.23825651597702852,Trump
California,011,Colusa,4554,3234,7951,1320,0.5727581436297321,0.4067412904037228,0.1660168532260093,Trump
California,013,Contra Costa,152877,416386,581230,-263509,0.2630232438105397,0.716387660650689,0.45336441684014933,Biden
California,015,Del Norte,6461,4677,11452,1784,0.5641809290953546,0.4084002794271743,0.15578064966818028,Trump
California,017,El Dorado,61838,51621,116138,10217,0.5324527717026296,0.4444798429454614,0.08797292875716822,Trump
California,019,Fresno,164464,193025,364809,-28561,0.4508222110748364,0.5291124944834146,0.07829028340857819,Biden
California,021,Glenn,7063,3995,11292,3068,0.625487070492384,0.3537902940134608,0.27169677647892315,Trump
California,023,Humboldt,21770,44768,68828,-22998,0.3162956936130645,0.6504329633288778,0.3341372697158133,Biden
California,025,Imperial,20847,34678,56718,-13831,0.3675552734581614,0.6114108395923693,0.2438555661342079,Biden
California,027,Inyo,4620,4634,9481,-14,0.4872903702141124,0.4887670076996097,0.0014766374854972564,Biden
California,029,Kern,164484,133366,305226,31118,0.5388924927758448,0.4369418070544449,0.10195068572139993,Trump
California,031,Kings,24072,18699,43858,5373,0.5488622372201195,0.4263532308814811,0.12250900633863843,Trump
California,033,Lake,13123,14941,28800,-1818,0.4556597222222222,0.5187847222222223,0.0631250000000001,Biden
California,035,Lassen,8970,2799,11985,6171,0.7484355444305382,0.2335419274092615,0.5148936170212767,Trump
California,037,Los Angeles,1145530,3028885,4263443,-1883355,0.2686865990702819,0.7104316863154967,0.4417450872452148,Biden
California,039,Madera,29378,23168,53722,6210,0.5468523137634489,0.4312572130598265,0.11559510070362239,Trump
California,041,Marin,24612,128288,155801,-103676,0.157970744732062,0.8234093491055898,0.6654386043735279,Biden
California,043,Mariposa,5950,4088,10280,1862,0.5787937743190662,0.3976653696498054,0.18112840466926078,Trump
California,045,Mendocino,13267,28782,43336,-15515,0.3061426989108362,0.664159128669005,0.3580164297581688,Biden
California,047,Merced,39397,48991,90541,-9594,0.4351288366596348,0.5410918810262754,0.10596304436664056,Biden
California,049,Modoc,3109,1150,4338,1959,0.7166897187644076,0.2650991240202858,0.4515905947441218,Trump
California,051,Mono,2513,4013,6737,-1500,0.3730146949680867,0.5956657265845332,0.2226510316164465,Biden
California,053,Monterey,46299,113953,163883,-67654,0.2825125241788349,0.6953314254681694,0.4128189012893345,Biden
California,055,Napa,20676,49817,72122,-29141,0.2866809018052744,0.6907323701505782,0.4040514683453038,Biden
California,057,Nevada,26779,36359,64738,-9580,0.4136519509407149,0.5616330439618153,0.14798109302110046,Biden
California,059,Orange,676498,814009,1521725,-137511,0.4445599566281687,0.5349251671622665,0.09036521053409774,Biden
California,061,Placer,122488,106869,235017,15619,0.5211878289655641,0.4547288068522702,0.06645902211329396,Trump
California,063,Plumas,6445,4561,11256,1884,0.5725835110163469,0.4052061122956645,0.16737739872068236,Trump
California,065,Riverside,448702,527945,996156,-79243,0.4504334662442428,0.5299822517758263,0.07954878553158345,Biden
California,067,Sacramento,259405,440808,718290,-181403,0.3611424355065503,0.6136908490999458,0.25254841359339547,Biden
