location,precinct,vbm_only,registration,biden,trump,others,total_votes,biden_pct,trump_pct,others_pct,winner
LANCASTER,3550129A,Y,5,1,0,0,1,100.0,0.0,0.0,Biden
LANCASTER,3550132A,N,2875,1191,1057,71,2319,51.36,45.58,3.06,Biden
LAWNDALE,3650002A,N,2221,1269,361,32,1662,76.35,21.72,1.93,Biden
LAWNDALE,3650005B,Y,300,172,33,6,211,81.52,15.64,2.84,Biden
LAWNDALE,3650006A,N,2244,1174,394,46,1614,72.74,24.41,2.85,Biden
LAWNDALE,3650015A,N,2377,1220,464,47,1731,70.48,26.81,2.72,Biden
LAWNDALE,3650017A,N,2003,1074,404,26,1504,71.41,26.86,1.73,Biden
LAWNDALE,3650018A,N,2547,1357,512,44,1913,70.94,26.76,2.3,Biden
LAWNDALE,3650019A,N,2278,1176,391,37,1604,73.32,24.38,2.31,Biden
LAWNDALE,3650024A,N,2078,1084,422,39,1545,70.16,27.31,2.52,Biden
LENNOX,3670005A,N,2090,1164,199,33,1396,83.38,14.26,2.36,Biden
LENNOX,3670007A,N,2184,1165,279,37,1481,78.66,18.84,2.5,Biden
LENNOX,3670032A,N,1919,1095,179,31,1305,83.91,13.72,2.38,Biden
LENNOX,3670033A,N,2176,1229,183,38,1450,84.76,12.62,2.62,Biden
LEONA VALLEY,3680001A,N,2353,555,1373,40,1968,28.2,69.77,2.03,Trump
LITTLEROCK,3700001A,N,1798,662,565,25,1252,52.88,45.13,2.0,Biden
LITTLEROCK,3700043A,N,2091,933,405,43,1381,67.56,29.33,3.11,Biden
LITTLEROCK,3700044A,N,2447,953,737,58,1748,54.52,42.16,3.32,Biden
LLANO,3750002C,Y,12,4,4,0,8,50.0,50.0,0.0,Tie
LLANO,3750005A,Y,774,180,367,16,563,31.97,65.19,2.84,Trump
LLANO,3750006A,Y,0,0,0,0,0,,,,No votes
LLANO,3750007A,Y,0,0,0,0,0,,,,No votes
LLANO,3750007B,Y,0,0,0,0,0,,,,No votes
LLANO,3750008F,Y,0,0,0,0,0,,,,No votes
LLANO,3750009B,Y,0,0,0,0,0,,,,No votes
LLANO,3750010A,Y,0,0,0,0,0,,,,No votes
LLANO,3750012A,Y,44,10,17,0,27,37.04,62.96,0.0,Trump
LLANO,3750014A,Y,99,34,51,0,85,40.0,60.0,0.0,Trump
LLANO,3750015A,Y,0,0,0,0,0,,,,No votes
LOMITA,3800001A,N,2273,1001,706,47,1754,57.07,40.25,2.68,Biden
LOMITA,3800004A,N,2676,1223,796,62,2081,58.77,38.25,2.98,Biden
LOMITA,3800005A,Y,0,0,0,0,0,,,,No votes
LOMITA,3800011A,N,2267,935,727,48,1710,54.68,42.51,2.81,Biden
LOMITA,3800016A,Y,1030,442,254,12,708,62.43,35.88,1.69,Biden
LOMITA,3800019A,N,2483,1101,676,59,1836,59.97,36.82,3.21,Biden
LOMITA,3800020B,N,2412,1121,712,39,1872,59.88,38.03,2.08,Biden
LONG BEACH,3850001A,N,2112,1093,181,28,1302,83.95,13.9,2.15,Biden
LONG BEACH,3850002A,Y,0,0,0,0,0,,,,No votes
LONG BEACH,3850002E,Y,2,0,1,0,1,0.0,100.0,0.0,Trump
LONG BEACH,3850004A,N,1805,887,146,26,1059,83.76,13.79,2.46,Biden
LONG BEACH,3850007A,N,2853,1679,306,68,2053,81.78,14.91,3.31,Biden
LONG BEACH,3850008A,Y,548,287,69,6,362,79.28,19.06,1.66,Biden
LONG BEACH,3850008B,N,1915,1068,161,24,1253,85.24,12.85,1.92,Biden
LONG BEACH,3850010A,N,2077,990,186,58,1234,80.23,15.07,4.7,Biden
LONG BEACH,3850013B,N,2071,969,233,25,1227,78.97,18.99,2.04,Biden
LONG BEACH,3850016A,N,1812,839,233,38,1110,75.59,20.99,3.42,Biden
LONG BEACH,3850017B,N,1827,862,221,23,1106,77.94,19.98,2.08,Biden
LONG BEACH,3850021B,N,1967,882,216,30,1128,78.19,19.15,2.66,Biden
LONG BEACH,3850024A,N,2112,1020,302,39,1361,74.94,22.19,2.87,Biden
LONG BEACH,3850025A,N,2139,995,224,32,1251,79.54,17.91,2.56,Biden
LONG BEACH,3850026A,N,1377,649,212,25,886,73.25,23.93,2.82,Biden
LONG BEACH,3850026D,N,1848,909,233,39,1181,76.97,19.73,3.3,Biden
LONG BEACH,3850029A,N,2272,1109,307,34,1450,76.48,21.17,2.34,Biden
LONG BEACH,3850032A,N,2142,1034,223,45,1302,79.42,17.13,3.46,Biden
LONG BEACH,3850034A,N,2247,1053,257,38,1348,78.12,19.07,2.82,Biden
LONG BEACH,3850035A,Y,1010,548,198,25,771,71.08,25.68,3.24,Biden
LONG BEACH,3850037A,N,1743,812,191,25,1028,78.99,18.58,2.43,Biden
LONG BEACH,3850037F,Y,0,0,0,0,0,,,,No votes
LONG BEACH,3850038A,N,1185,528,120,13,661,79.88,18.15,1.97,Biden
LONG BEACH,3850039A,N,1918,824,206,31,1061,77.66,19.42,2.92,Biden
LONG BEACH,3850040A,N,1911,986,223,34,1243,79.32,17.94,2.74,Biden
LONG BEACH,3850044D,N,2584,1508,549,57,2114,71.33,25.97,2.7,Biden
LONG BEACH,3850045C,Y,0,0,0,0,0,,,,No votes
LONG BEACH,3850048A,N,2367,1380,495,48,1923,71.76,25.74,2.5,Biden
LONG BEACH,3850050A,Y,0,0,0,0,0,,,,No votes
LONG BEACH,3850055A,N,2399,1245,489,49,1783,69.83,27.43,2.75,Biden
LONG BEACH,3850058A,N,1482,668,218,32,918,72.77,23.75,3.49,Biden
LONG BEACH,3850059A,N,1884,872,248,32,1152,75.69,21.53,2.78,Biden
LONG BEACH,3850060A,N,2055,976,259,43,1278,76.37,20.27,3.36,Biden
LONG BEACH,3850065B,N,2292,1213,684,47,1944,62.4,35.19,2.42,Biden
LONG BEACH,3850067A,N,1487,734,483,29,1246,58.91,38.76,2.33,Biden
LONG BEACH,3850069A,N,2111,973,358,27,1358,71.65,26.36,1.99,Biden
LONG BEACH,3850070A,N,2454,1503,485,48,2036,73.82,23.82,2.36,Biden
LONG BEACH,3850071A,N,2112,1149,380,37,1566,73.37,24.27,2.36,Biden
LONG BEACH,3850072A,N,2423,1502,283,56,1841,81.59,15.37,3.04,Biden
LONG BEACH,3850075A,N,2283,1343,515,50,1908,70.39,26.99,2.62,Biden
LONG BEACH,3850082A,N,2809,1723,510,46,2279,75.6,22.38,2.02,Biden
LONG BEACH,3850091A,N,2256,1129,251,45,1425,79.23,17.61,3.16,Biden
LONG BEACH,3850091C,Y,117,42,8,2,52,80.77,15.38,3.85,Biden
LONG BEACH,3850097A,N,2199,1101,320,30,1451,75.88,22.05,2.07,Biden
LONG BEACH,3850100A,N,1763,885,312,17,1214,72.9,25.7,1.4,Biden
LONG BEACH,3850101A,N,1928,930,297,25,1252,74.28,23.72,2.0,Biden
LONG BEACH,3850103A,N,1890,920,312,31,1263,72.84,24.7,2.45,Biden
LONG BEACH,3850103B,Y,0,0,0,0,0,,,,No votes
LONG BEACH,3850110A,N,1798,941,342,31,1314,71.61,26.03,2.36,Biden
LONG BEACH,3850110B,Y,9,11,5,1,17,64.71,29.41,5.88,Biden
LONG BEACH,3850117A,N,2038,1001,276,39,1316,76.06,20.97,2.96,Biden
LONG BEACH,3850120A,N,2113,1249,313,30,1592,78.45,19.66,1.88,Biden
LONG BEACH,3850123A,N,2274,1087,265,33,1385,78.48,19.13,2.38,Biden
LONG BEACH,3850133A,N,2243,1224,197,32,1453,84.24,13.56,2.2,Biden
LONG BEACH,3850134A,N,2042,942,204,33,1179,79.9,17.3,2.8,Biden
LONG BEACH,3850135A,N,2289,1614,286,44,1944,83.02,14.71,2.26,Biden
LONG BEACH,3850137A,N,1758,790,223,35,1048,75.38,21.28,3.34,Biden
LONG BEACH,3850138A,N,1974,916,246,22,1184,77.36,20.78,1.86,Biden
LONG BEACH,3850141A,N,1919,943,246,30,1219,77.36,20.18,2.46,Biden
LONG BEACH,3850146A,N,1958,803,239,25,1067,75.26,22.4,2.34,Biden
LONG BEACH,3850147A,N,2113,1092,592,36,1720,63.49,34.42,2.09,Biden
LONG BEACH,3850156A,N,1380,564,135,21,720,78.33,18.75,2.92,Biden
LONG BEACH,3850158A,N,2539,1363,260,57,1680,81.13,15.48,3.39,Biden
LONG BEACH,3850159A,N,2080,1145,193,55,1393,82.2,13.85,3.95,Biden
LONG BEACH,3850170A,N,1930,889,242,25,1156,76.9,20.93,2.16,Biden
LONG BEACH,3850179A,N,2716,1688,386,42,2116,79.77,18.24,1.98,Biden
LONG BEACH,3850183A,N,3260,2215,521,62,2798,79.16,18.62,2.22,Biden
LONG BEACH,3850185A,N,1729,770,171,23,964,79.88,17.74,2.39,Biden
LONG BEACH,3850190A,N,2054,1029,268,29,1326,77.6,20.21,2.19,Biden
LONG BEACH,3850201A,N,2768,1889,323,73,2285,82.67,14.14,3.19,Biden
LONG BEACH,3850202A,N,2701,1691,266,64,2021,83.67,13.16,3.17,Biden
LONG BEACH,3850213A,N,3199,2038,541,63,2642,77.14,20.48,2.38,Biden
LONG BEACH,3850215A,N,2630,1316,813,52,2181,60.34,37.28,2.38,Biden
LONG BEACH,3850227A,N,2615,1661,251,53,1965,84.53,12.77,2.7,Biden
LONG BEACH,3850229A,N,2811,1953,356,63,2372,82.34,15.01,2.66,Biden
LONG BEACH,3850237A,N,2004,1149,203,40,1392,82.54,14.58,2.87,Biden
LONG BEACH,3850248A,N,2501,1467,445,46,1958,74.92,22.73,2.35,Biden
LONG BEACH,3850251A,N,2482,1626,419,56,2101,77.39,19.94,2.67,Biden
LONG BEACH,3850255A,N,2683,1249,1059,35,2343,53.31,45.2,1.49,Biden
LONG BEACH,3850259A,N,2959,1636,877,49,2562,63.86,34.23,1.91,Biden
LONG BEACH,3850262A,N,1680,1001,466,34,1501,66.69,31.05,2.27,Biden
LONG BEACH,3850270A,N,2625,1559,565,61,2185,71.35,25.86,2.79,Biden
LONG BEACH,3850271A,N,2699,1562,770,55,2387,65.44,32.26,2.3,Biden
LONG BEACH,3850283A,N,2758,1348,892,47,2287,58.94,39.0,2.06,Biden
LONG BEACH,3850286A,N,2503,1179,289,33,1501,78.55,19.25,2.2,Biden
LONG BEACH,3850294A,N,2257,1212,701,40,1953,62.06,35.89,2.05,Biden
LONG BEACH,3850295A,N,2457,1212,816,54,2082,58.21,39.19,2.59,Biden
LONG BEACH,3850296A,N,2074,900,218,42,1160,77.59,18.79,3.62,Biden
LONG BEACH,3850302A,N,2411,1284,752,52,2088,61.49,36.02,2.49,Biden
LONG BEACH,3850305A,N,2880,1569,871,60,2500,62.76,34.84,2.4,Biden
LONG BEACH,3850307A,Y,520,260,79,6,345,75.36,22.9,1.74,Biden
LONG BEACH,3850316A,N,2446,1214,726,47,1987,61.1,36.54,2.37,Biden
LONG BEACH,3850321A,N,1709,879,492,35,1406,62.52,34.99,2.49,Biden
LONG BEACH,3850324A,N,2266,1401,528,39,1968,71.19,26.83,1.98,Biden
LONG BEACH,3850328A,N,2549,1353,790,42,2185,61.92,36.16,1.92,Biden
LONG BEACH,3850333A,N,2015,945,386,27,1358,69.59,28.42,1.99,Biden
LONG BEACH,3850337A,N,2608,1486,763,54,2303,64.52,33.13,2.34,Biden
LONG BEACH,3850345B,N,1773,761,265,41,1067,71.32,24.84,3.84,Biden
LONG BEACH,3850346A,N,2637,1320,902,44,2266,58.25,39.81,1.94,Biden
LONG BEACH,3850356A,N,2753,1443,853,59,2355,61.27,36.22,2.51,Biden
LONG BEACH,3850362A,N,2235,1418,161,48,1627,87.15,9.9,2.95,Biden
LONG BEACH,3850364A,N,2259,1143,198,47,1388,82.35,14.27,3.39,Biden
LONG BEACH,3850367A,N,2482,1158,845,55,2058,56.27,41.06,2.67,Biden
LONG BEACH,3850370C,N,2756,1307,897,55,2259,57.86,39.71,2.43,Biden
LONG BEACH,3850373A,N,2541,1218,813,37,2068,58.9,39.31,1.79,Biden
LONG BEACH,3850378A,N,2654,1333,784,52,2169,61.46,36.15,2.4,Biden
LONG BEACH,3850379A,N,1774,798,156,32,986,80.93,15.82,3.25,Biden
LONG BEACH,3850389A,Y,1,0,1,0,1,0.0,100.0,0.0,Trump
LONG BEACH,3850389D,Y,0,0,0,0,0,,,,No votes
LONG BEACH,3850399B,N,2368,1214,789,47,2050,59.22,38.49,2.29,Biden
LONG BEACH,3850415A,Y,946,520,68,27,615,84.55,11.06,4.39,Biden
LONG BEACH,3850445A,N,2935,1486,1104,47,2637,56.35,41.87,1.78,Biden
LONG BEACH,3850447A,N,3011,1545,1061,58,2664,58.0,39.83,2.18,Biden
LONG BEACH,3850530A,N,2101,1111,469,36,1616,68.75,29.02,2.23,Biden
LONG BEACH,3850545A,N,3426,2198,606,69,2873,76.51,21.09,2.4,Biden
LONG BEACH,3850553A,N,1916,889,306,22,1217,73.05,25.14,1.81,Biden
LONG BEACH,3850554A,N,2295,1125,407,34,1566,71.84,25.99,2.17,Biden
LONG BEACH,3850555A,N,2105,968,292,41,1301,74.4,22.44,3.15,Biden
LONG BEACH,3850558A,N,2312,1283,428,35,1746,73.48,24.51,2.0,Biden
LONG BEACH,3850562A,N,2572,1483,658,54,2195,67.56,29.98,2.46,Biden
LONG BEACH,3850563A,N,2280,1370,445,42,1857,73.77,23.96,2.26,Biden
LONG BEACH,3850572A,N,2193,1238,363,29,1630,75.95,22.27,1.78,Biden
LONG BEACH,3850577A,N,2022,1108,230,35,1373,80.7,16.75,2.55,Biden
LONG BEACH,3850593A,N,2115,1315,212,46,1573,83.6,13.48,2.92,Biden
LONG BEACH,3850594A,N,1988,1145,161,34,1340,85.45,12.01,2.54,Biden
LONG BEACH,3850611C,N,2373,1073,287,31,1391,77.14,20.63,2.23,Biden
LONG BEACH,3850617A,N,2837,1734,473,73,2280,76.05,20.75,3.2,Biden
LONG BEACH,3850620A,N,2383,1563,310,63,1936,80.73,16.01,3.25,Biden
LONG BEACH,3850621A,N,2551,1563,297,60,1920,81.41,15.47,3.12,Biden
LONG BEACH,3850624A,N,2243,1282,333,48,1663,77.09,20.02,2.89,Biden
LONG BEACH,3850639A,N,2507,1353,766,46,2165,62.49,35.38,2.12,Biden
LONG BEACH,3850650A,Y,944,421,330,18,769,54.75,42.91,2.34,Biden
LONG BEACH,3850660A,N,1838,888,289,26,1203,73.82,24.02,2.16,Biden
LONG BEACH,3850661B,Y,0,0,0,0,0,,,,No votes
LONG BEACH,3850671A,N,1964,1002,283,33,1318,76.02,21.47,2.5,Biden
LONG BEACH,3850671C,Y,32,9,6,1,16,56.25,37.5,6.25,Biden
LONG BEACH,3850687A,N,1913,962,116,29,1107,86.9,10.48,2.62,Biden
LOS NIETOS,3900005C,Y,297,147,55,6,208,70.67,26.44,2.88,Biden
LOS NIETOS,3900006A,N,1814,958,365,19,1342,71.39,27.2,1.42,Biden
LOS NIETOS,3900062A,N,1315,744,173,23,940,79.15,18.4,2.45,Biden
LOS NIETOS,3900063A,Y,712,361,136,8,505,71.49,26.93,1.58,Biden
LOS NIETOS,3900064A,N,1743,983,385,29,1397,70.37,27.56,2.08,Biden
LOS NIETOS,3900067A,N,2182,1260,447,33,1740,72.41,25.69,1.9,Biden
LOS NIETOS,3900071A,Y,453,262,67,10,339,77.29,19.76,2.95,Biden
LOS NIETOS,3900071D,Y,462,264,92,9,365,72.33,25.21,2.47,Biden
LOS NIETOS,3900073A,Y,1065,613,209,21,843,72.72,24.79,2.49,Biden
LOS NIETOS,3900082A,N,1630,896,251,28,1175,76.26,21.36,2.38,Biden
LOS NIETOS,3900083A,N,1959,1063,347,36,1446,73.51,24.0,2.49,Biden
LOS NIETOS,3900088A,N,1873,967,416,34,1417,68.24,29.36,2.4,Biden
LYNWOOD,3990001A,N,1679,951,183,37,1171,81.21,15.63,3.16,Biden
LYNWOOD,3990001B,Y,0,0,0,0,0,,,,No votes
LYNWOOD,3990003A,N,2261,1175,232,39,1446,81.26,16.04,2.7,Biden
LYNWOOD,3990005A,N,2273,1264,219,40,1523,82.99,14.38,2.63,Biden
LYNWOOD,3990006A,N,1989,1152,242,39,1433,80.39,16.89,2.72,Biden
LYNWOOD,3990007A,N,1985,1106,193,36,1335,82.85,14.46,2.7,Biden
LYNWOOD,3990009A,N,1405,771,182,31,984,78.35,18.5,3.15,Biden
LYNWOOD,3990016A,N,2173,1314,217,42,1573,83.53,13.8,2.67,Biden
LYNWOOD,3990017A,N,2042,1033,220,31,1284,80.45,17.13,2.41,Biden
LYNWOOD,3990018A,N,1281,779,116,23,918,84.86,12.64,2.51,Biden
LYNWOOD,3990019A,N,1668,945,172,46,1163,81.26,14.79,3.96,Biden
LYNWOOD,3990022A,Y,265,132,16,6,154,85.71,10.39,3.9,Biden
LYNWOOD,3990024D,Y,0,0,0,0,0,,,,No votes
LYNWOOD,3990024F,N,2201,1219,226,48,1493,81.65,15.14,3.22,Biden
LYNWOOD,3990030A,N,2061,1058,167,36,1261,83.9,13.24,2.85,Biden
LYNWOOD,3990033A,N,1410,826,129,31,986,83.77,13.08,3.14,Biden
LYNWOOD,3990062A,N,1968,1133,236,45,1414,80.13,16.69,3.18,Biden
LYNWOOD,3990065A,N,2151,1126,194,34,1354,83.16,14.33,2.51,Biden
MALIBU,4050002A,N,2211,1127,563,31,1721,65.49,32.71,1.8,Biden
MALIBU,4050051A,N,2000,1058,563,37,1658,63.81,33.96,2.23,Biden
MALIBU,4050062A,N,2261,1242,557,38,1837,67.61,30.32,2.07,Biden
MALIBU,4050063A,N,2137,1158,523,29,1710,67.72,30.58,1.7,Biden
MALIBU HEIGHTS,4060003A,N,1939,905,360,42,1307,69.24,27.54,3.21,Biden
MANHATTAN BEACH,4100007A,N,2696,1508,746,63,2317,65.08,32.2,2.72,Biden
MANHATTAN BEACH,4100012A,N,2803,1518,800,58,2376,63.89,33.67,2.44,Biden
MANHATTAN BEACH,4100014A,N,2456,1318,710,41,2069,63.7,34.32,1.98,Biden
MANHATTAN BEACH,4100017A,N,2761,1625,744,54,2423,67.07,30.71,2.23,Biden
MANHATTAN BEACH,4100023A,N,2546,1510,656,61,2227,67.8,29.46,2.74,Biden
MANHATTAN BEACH,4100026A,N,2642,1476,739,54,2269,65.05,32.57,2.38,Biden
MANHATTAN BEACH,4100028A,N,3029,1861,727,52,2640,70.49,27.54,1.97,Biden
MANHATTAN BEACH,4100034A,N,2871,1609,787,66,2462,65.35,31.97,2.68,Biden
MANHATTAN BEACH,4100035A,N,2562,1446,676,52,2174,66.51,31.09,2.39,Biden
MANHATTAN BEACH,4100050A,N,2671,1460,601,62,2123,68.77,28.31,2.92,Biden
MARINA DEL REY,4150045A,N,2424,1505,513,33,2051,73.38,25.01,1.61,Biden
MARINA DEL REY,4150050A,N,2317,1360,376,42,1778,76.49,21.15,2.36,Biden
MARINA DEL REY,4150053A,N,2511,1521,459,41,2021,75.26,22.71,2.03,Biden
MAYWOOD,4200001D,N,1980,1070,176,30,1276,83.86,13.79,2.35,Biden
MAYWOOD,4200008B,N,1768,881,242,33,1156,76.21,20.93,2.85,Biden
MAYWOOD,4200009A,N,1879,1014,223,35,1272,79.72,17.53,2.75,Biden
MAYWOOD,4200010B,N,2027,1109,229,38,1376,80.6,16.64,2.76,Biden
MAYWOOD,4200012A,N,1107,564,145,24,733,76.94,19.78,3.27,Biden
MAYWOOD,4200015A,N,1525,830,160,30,1020,81.37,15.69,2.94,Biden
MONROVIA,4400002A,N,1999,1186,429,47,1662,71.36,25.81,2.83,Biden
MONROVIA,4400003A,N,2310,1238,699,58,1995,62.06,35.04,2.91,Biden
MONROVIA,4400005A,Y,1,1,1,0,2,50.0,50.0,0.0,Tie
MONROVIA,4400007B,N,2237,1178,705,47,1930,61.04,36.53,2.44,Biden
MONROVIA,4400008A,N,2774,1351,1020,56,2427,55.67,42.03,2.31,Biden
MONROVIA,4400008B,Y,0,0,0,0,0,,,,No votes
MONROVIA,4400013A,N,2145,1230,568,41,1839,66.88,30.89,2.23,Biden
MONROVIA,4400015A,N,2137,1193,481,38,1712,69.68,28.1,2.22,Biden
MONROVIA,4400017A,N,1935,1168,432,49,1649,70.83,26.2,2.97,Biden
MONROVIA,4400018A,Y,104,65,32,0,97,67.01,32.99,0.0,Biden
MONROVIA,4400019A,Y,85,47,27,1,75,62.67,36.0,1.33,Biden
MONROVIA,4400022A,Y,5,1,1,0,2,50.0,50.0,0.0,Tie
MONROVIA,4400024B,Y,14,5,7,0,12,41.67,58.33,0.0,Trump
MONROVIA,4400025A,Y,0,0,0,0,0,,,,No votes
MONROVIA,4400027A,Y,2,0,0,0,0,,,,No votes
MONROVIA,4400028A,Y,14,2,7,3,12,16.67,58.33,25.0,Trump
MONROVIA,4400063A,N,2101,1288,399,39,1726,74.62,23.12,2.26,Biden
MONROVIA,4400064B,N,2633,1478,665,37,2180,67.8,30.5,1.7,Biden
MONROVIA,4400065A,N,2378,1277,645,54,1976,64.63,32.64,2.73,Biden
MONROVIA,4400067B,Y,25,15,7,0,22,68.18,31.82,0.0,Biden
MONROVIA,4400067D,Y,0,0,1,0,1,0.0,100.0,0.0,Trump
MONTEBELLO,4450001A,N,2172,1315,356,36,1707,77.04,20.86,2.11,Biden
MONTEBELLO,4450001C,Y,43,29,7,1,37,78.38,18.92,2.7,Biden
MONTEBELLO,4450003D,Y,2,0,1,0,1,0.0,100.0,0.0,Trump
MONTEBELLO,4450004A,N,2367,1340,365,50,1755,76.35,20.8,2.85,Biden
MONTEBELLO,4450012A,N,2223,1170,375,25,1570,74.52,23.89,1.59,Biden
MONTEBELLO,4450015B,N,2320,1358,358,32,1748,77.69,20.48,1.83,Biden
MONTEBELLO,4450018A,N,2662,1452,635,47,2134,68.04,29.76,2.2,Biden
MONTEBELLO,4450024A,N,2391,1361,499,37,1897,71.74,26.3,1.95,Biden
MONTEBELLO,4450028A,Y,531,356,92,8,456,78.07,20.18,1.75,Biden
MONTEBELLO,4450029A,N,1944,1041,423,33,1497,69.54,28.26,2.2,Biden
MONTEBELLO,4450030C,Y,0,0,0,0,0,,,,No votes
MONTEBELLO,4450031A,N,1935,967,294,41,1302,74.27,22.58,3.15,Biden
MONTEBELLO,4450032A,N,2162,1255,318,33,1606,78.14,19.8,2.05,Biden
MONTEBELLO,4450036A,N,1998,1098,356,29,1483,74.04,24.01,1.96,Biden
MONTEBELLO,4450043B,N,1984,1068,271,34,1373,77.79,19.74,2.48,Biden
MONTEBELLO,4450065A,N,2028,1116,324,31,1471,75.87,22.03,2.11,Biden
MONTEBELLO,4450074A,N,2879,1583,762,35,2380,66.51,32.02,1.47,Biden
MONTEBELLO,4450090A,N,2024,1129,259,30,1418,79.62,18.27,2.12,Biden
MONTEBELLO,4450092A,Y,1138,644,219,20,883,72.93,24.8,2.27,Biden
MONTEREY PARK,4500002A,N,2029,894,471,14,1379,64.83,34.16,1.02,Biden
MONTEREY PARK,4500004A,N,2565,1448,482,41,1971,73.47,24.45,2.08,Biden
MONTEREY PARK,4500007A,N,1911,779,463,27,1269,61.39,36.49,2.13,Biden
MONTEREY PARK,4500016A,N,2565,1332,630,23,1985,67.1,31.74,1.16,Biden
MONTEREY PARK,4500017A,N,2546,1267,636,37,1940,65.31,32.78,1.91,Biden
MONTEREY PARK,4500018B,N,2532,1192,597,34,1823,65.39,32.75,1.87,Biden
MONTEREY PARK,4500021A,N,2139,994,513,16,1523,65.27,33.68,1.05,Biden
MONTEREY PARK,4500023A,Y,280,156,71,3,230,67.83,30.87,1.3,Biden
MONTEREY PARK,4500023B,Y,396,226,95,3,324,69.75,29.32,0.93,Biden
MONTEREY PARK,4500024C,Y,0,0,0,0,0,,,,No votes
MONTEREY PARK,4500027A,N,2531,1402,471,42,1915,73.21,24.6,2.19,Biden
MONTEREY PARK,4500030A,N,2182,1213,402,27,1642,73.87,24.48,1.64,Biden
MONTEREY PARK,4500031B,N,1939,702,431,12,1145,61.31,37.64,1.05,Biden
MONTEREY PARK,4500042A,N,2302,1231,523,29,1783,69.04,29.33,1.63,Biden
MONTEREY PARK,4500044A,N,2735,1495,606,31,2132,70.12,28.42,1.45,Biden
MONTEREY PARK,4500047A,N,2056,907,441,23,1371,66.16,32.17,1.68,Biden
MONTEREY PARK,4500090A,Y,1056,570,195,18,783,72.8,24.9,2.3,Biden
MONTROSE,4610001A,N,1842,884,574,26,1484,59.57,38.68,1.75,Biden
MONTROSE,4610022A,N,1765,850,542,18,1410,60.28,38.44,1.28,Biden
NEENACH,4650001B,Y,746,172,402,13,587,29.3,68.48,2.21,Trump
NEWHALL,4700001C,Y,0,0,0,0,0,,,,No votes
NEWHALL,4700001D,Y,0,1,0,0,1,100.0,0.0,0.0,Biden
NEWHALL,4700001F,Y,0,0,0,0,0,,,,No votes
NEWHALL,4700004A,Y,0,0,0,0,0,,,,No votes
NEWHALL,4700005A,Y,81,36,37,0,73,49.32,50.68,0.0,Trump
NEWHALL,4700006A,Y,0,0,0,0,0,,,,No votes
NEWHALL,4700006B,Y,0,0,0,0,0,,,,No votes
NEWHALL,4700006D,Y,0,0,0,0,0,,,,No votes
NEWHALL,4700006T,Y,0,0,0,0,0,,,,No votes
NEWHALL,4700007A,Y,0,0,0,0,0,,,,No votes
NEWHALL,4700010A,Y,0,0,0,0,0,,,,No votes
NEWHALL,4700011B,Y,0,0,0,0,0,,,,No votes
NORTH WHITTIER,4780001A,Y,820,433,152,16,601,72.05,25.29,2.66,Biden
NORTH WHITTIER,4780003A,Y,199,102,77,3,182,56.04,42.31,1.65,Biden
NORTH WHITTIER,4780006A,Y,0,0,0,0,0,,,,No votes
NORTH WHITTIER,4780008A,Y,0,0,0,0,0,,,,No votes
NORTH WHITTIER,4780011A,N,1945,1013,585,29,1627,62.26,35.96,1.78,Biden
NORTH WHITTIER,4780011B,Y,57,25,22,0,47,53.19,46.81,0.0,Biden
NORWALK,4800002D,Y,1,0,0,0,0,,,,No votes
NORWALK,4800007C,Y,739,359,178,16,553,64.92,32.19,2.89,Biden
NORWALK,4800007G,Y,0,0,0,0,0,,,,No votes
NORWALK,4800008A,Y,704,364,141,20,525,69.33,26.86,3.81,Biden
NORWALK,4800009B,N,2226,1169,454,35,1658,70.51,27.38,2.11,Biden
NORWALK,4800010A,N,1696,900,386,24,1310,68.7,29.47,1.83,Biden
NORWALK,4800010B,Y,168,99,37,0,136,72.79,27.21,0.0,Biden
NORWALK,4800011A,N,1651,888,335,26,1249,71.1,26.82,2.08,Biden
NORWALK,4800014B,N,2572,1757,796,83,2636,66.65,30.2,3.15,Biden
NORWALK,4800018A,N,2520,1367,555,39,1961,69.71,28.3,1.99,Biden
NORWALK,4800023A,N,2421,1219,476,58,1753,69.54,27.15,3.31,Biden
NORWALK,4800024A,N,2208,1159,475,47,1681,68.95,28.26,2.8,Biden
NORWALK,4800025A,N,2023,1120,368,33,1521,73.64,24.19,2.17,Biden
NORWALK,4800025B,Y,0,0,0,0,0,,,,No votes
NORWALK,4800030A,Y,0,0,0,0,0,,,,No votes
NORWALK,4800031A,N,2422,1207,599,30,1836,65.74,32.63,1.63,Biden
NORWALK,4800033A,N,2558,1297,545,46,1888,68.7,28.87,2.44,Biden
NORWALK,4800034A,N,2076,1046,408,24,1478,70.77,27.6,1.62,Biden
NORWALK,4800036A,N,2075,1028,504,43,1575,65.27,32.0,2.73,Biden
NORWALK,4800037A,N,2393,1204,476,43,1723,69.88,27.63,2.5,Biden
NORWALK,4800042A,N,2078,1056,475,26,1557,67.82,30.51,1.67,Biden
NORWALK,4800044A,N,2090,1095,441,35,1571,69.7,28.07,2.23,Biden
NORWALK,4800045A,N,1659,878,368,24,1270,69.13,28.98,1.89,Biden
NORWALK,4800048A,N,2298,1147,573,38,1758,65.24,32.59,2.16,Biden
NORWALK,4800050A,N,1988,1034,353,26,1413,73.18,24.98,1.84,Biden
