,report_id,arrest_date,time,area_id,area_name,reporting_district,age,sex_code,descent_code,charge_group_code,charge_group_description,arrest_type_code,charge,charge_description,address,location,year,quarter,day,month,monthname,weekday,hour,minute,night,latitude,longitude,descent_description,arrest_type_description,geometry
393,192116601,2019-10-02,0900,21,Topanga,2185,37,M,W,20,Disorderly Conduct,M,41.18(A)LAM,LOITER/OBSTRUCT STREET/SIDEWALK/ETC****,VENTURA                      BL,"34.1687, -118.6102",2019,4,2,10,October,Wednesday,09,00,False,34.1687,-118.6102,White,Misdemeanor,POINT (-118.6102 34.1687)
490,190816446,2019-10-02,1725,8,West LA,882,43,F,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,SAWTELLE,"34.0367, -118.44",2019,4,2,10,October,Wednesday,17,25,False,34.0367,-118.44,White,Misdemeanor,POINT (-118.44 34.0367)
568,192116563,2019-10-01,1145,21,Topanga,2156,23,M,B,24,Miscellaneous Other Violations,M,41.18LAMC,LOITERING (GENERALLY),VICTORY,"34.1878, -118.5975",2019,4,1,10,October,Tuesday,11,45,False,34.1878,-118.5975,Black,Misdemeanor,POINT (-118.5975 34.1878)
572,191421356,2019-10-01,0955,14,Pacific,1431,49,M,W,nan,,I,41.18(A)LAM,,MILDRED                      AV,"33.9867, -118.4708",2019,4,1,10,October,Tuesday,09,55,False,33.9867,-118.4708,White,Infraction,POINT (-118.4708 33.9867)
711,192116565,2019-10-01,1145,21,Topanga,2156,52,F,W,24,Miscellaneous Other Violations,M,41.18LAMC,LOITERING (GENERALLY),VICTORY,"34.1878, -118.5975",2019,4,1,10,October,Tuesday,11,45,False,34.1878,-118.5975,White,Misdemeanor,POINT (-118.5975 34.1878)
751,192116564,2019-10-01,1145,21,Topanga,2156,28,M,W,24,Miscellaneous Other Violations,M,41.18LAMC,LOITERING (GENERALLY),VICTORY,"34.1878, -118.5975",2019,4,1,10,October,Tuesday,11,45,False,34.1878,-118.5975,White,Misdemeanor,POINT (-118.5975 34.1878)
794,191421261,2019-09-30,0850,14,Pacific,1431,32,M,W,nan,,I,41.18(A)LAM,,GRAND CANAL,"33.988, -118.4703",2019,3,30,9,September,Monday,08,50,False,33.988,-118.4703,White,Infraction,POINT (-118.4703 33.988)
835,191421258,2019-09-30,0850,14,Pacific,1431,28,F,W,nan,,I,41.18(A)LAM,,THE GRAND CANAL,"33.9867, -118.4693",2019,3,30,9,September,Monday,08,50,False,33.9867,-118.4693,White,Infraction,POINT (-118.4693 33.9867)
902,191421260,2019-09-30,1530,14,Pacific,1431,34,F,W,nan,,I,41.18(A)LAM,,GRAND CANAL,"33.988, -118.4703",2019,3,30,9,September,Monday,15,30,False,33.988,-118.4703,White,Infraction,POINT (-118.4703 33.988)
1021,190816326,2019-09-29,2020,8,West LA,854,50,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,COTNER,"34.0437, -118.443",2019,3,29,9,September,Sunday,20,20,False,34.0437,-118.443,White,Misdemeanor,POINT (-118.443 34.0437)
1052,192116424,2019-09-29,1000,21,Topanga,2185,37,M,W,20,Disorderly Conduct,M,41.18ALAMC,LOITER/OBSTRUCT STREET/SIDEWALK/ETC,FARRALONE,"34.1687, -118.6102",2019,3,29,9,September,Sunday,10,00,False,34.1687,-118.6102,White,Misdemeanor,POINT (-118.6102 34.1687)
1072,190816327,2019-09-29,2020,8,West LA,854,45,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,COTNER,"34.0437, -118.443",2019,3,29,9,September,Sunday,20,20,False,34.0437,-118.443,White,Misdemeanor,POINT (-118.443 34.0437)
1289,191421473,2019-09-28,0830,14,Pacific,1413,44,M,W,nan,,I,41.18(D)LAM,,ROSE,"33.997, -118.4761",2019,3,28,9,September,Saturday,08,30,False,33.997,-118.4761,White,Infraction,POINT (-118.4761 33.997)
1453,191421332,2019-09-27,1515,14,Pacific,1413,36,F,W,nan,,M,41.18(D)LAM,,HAMPTON,"33.995, -118.4754",2019,3,27,9,September,Friday,15,15,False,33.995,-118.4754,White,Misdemeanor,POINT (-118.4754 33.995)
1500,191421333,2019-09-27,1720,14,Pacific,1441,31,F,W,nan,,I,41.18(D)LAM,,CANAL,"33.9849, -118.469",2019,3,27,9,September,Friday,17,20,False,33.9849,-118.469,White,Infraction,POINT (-118.469 33.9849)
1725,190321916,2019-09-26,1225,3,Southwest,353,34,F,B,nan,,I,41.18(A)LAM,,VICTORIA                     AV,"34.0199, -118.3363",2019,3,26,9,September,Thursday,12,25,False,34.0199,-118.3363,Black,Infraction,POINT (-118.3363 34.0199)
1917,191421248,2019-09-25,0915,14,Pacific,1413,30,M,W,nan,,I,41.18(A)LAM,,3RD                          AV,"33.997, -118.4761",2019,3,25,9,September,Wednesday,09,15,False,33.997,-118.4761,White,Infraction,POINT (-118.4761 33.997)
2335,190816112,2019-09-24,1930,8,West LA,883,22,F,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,PONTIUS,"34.0384, -118.4372",2019,3,24,9,September,Tuesday,19,30,False,34.0384,-118.4372,Hispanic,Misdemeanor,POINT (-118.4372 34.0384)
2345,190816113,2019-09-24,1930,8,West LA,883,26,M,H,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,PONTIUS,"34.0384, -118.4372",2019,3,24,9,September,Tuesday,19,30,False,34.0384,-118.4372,Hispanic,Misdemeanor,POINT (-118.4372 34.0384)
2457,191421229,2019-09-24,1035,14,Pacific,1431,41,F,W,nan,,I,41.185(A)LA,,THE GRAND CANAL,"33.9867, -118.4693",2019,3,24,9,September,Tuesday,10,35,False,33.9867,-118.4693,White,Infraction,POINT (-118.4693 33.9867)
3800,190815779,2019-09-18,1920,8,West LA,883,27,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,OLYMPIC,"34.0393, -118.4394",2019,3,18,9,September,Wednesday,19,20,False,34.0393,-118.4394,White,Misdemeanor,POINT (-118.4394 34.0393)
3836,191319172,2019-09-18,1220,13,Newton,1307,37,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,700    STANFORD                     AV,"34.039, -118.2444",2019,3,18,9,September,Wednesday,12,20,False,34.039,-118.2444,White,Misdemeanor,POINT (-118.2444 34.039)
3870,190123559,2019-09-18,2030,1,Central,185,40,M,W,20,Disorderly Conduct,M,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,11TH,"34.0396, -118.259",2019,3,18,9,September,Wednesday,20,30,False,34.0396,-118.259,White,Misdemeanor,POINT (-118.259 34.0396)
3953,190123355,2019-09-18,0805,1,Central,176,59,M,B,20,Disorderly Conduct,M,41.18ALAMC,LOITER/OBSTRUCT STREET/SIDEWALK/ETC,7TH                          ST,"34.0424, -118.2493",2019,3,18,9,September,Wednesday,08,05,False,34.0424,-118.2493,Black,Misdemeanor,POINT (-118.2493 34.0424)
