,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,unsheltered,unshelteredoutside,2010-rate,2011-rate,2012-rate,2013-rate,2014-rate,2015-rate,2016-rate,2017-rate,2018-rate,2019-rate,2010-z,2011-z,2012-z,2013-z,2014-z,2015-z,2016-z,2017-z,2018-z,2019-z
24,Los Feliz,5,10,16,8,6,7,20,18,3,2,99.02259298,68.71292553,5.049352728,10.09870546,16.15792873,8.078964365,6.059223274,7.069093819,20.19741091,18.17766982,3.029611637,2.019741091,-0.114194769,2.071283574,0.11707651,-3.118001112,-3.03007853,-2.916036932,-0.221581665,-0.981519253,-2.995767661,-0.323923586
69,Hancock Park,1,0,1,1,0,0,0,1,0,0,21.09239213,15.23488936,4.741045936,0,4.741045936,4.741045936,0,0,0,4.741045936,0,0,-0.115869034,-1.096829509,-1.386138095,-1.81676514,-2.127983157,-2.183135047,-2.375442738,-1.935901027,-1.793291044,-0.740077718
95,Larchmont,0,2,0,0,1,0,0,0,0,0,3.229615376,3.12946081,0,61.9268788,0,0,30.9634394,0,0,0,0,0,-0.425425607,4.496512409,-0.776419377,-0.920841993,0.626077535,-0.854265929,-0.929516385,-0.962265995,-0.701719044,-0.289594169
84,Cypress Park,3,0,0,0,0,0,0,0,0,0,77.80382374,30.99620328,3.855851622,0,0,0,0,0,0,0,0,0,-0.570852557,-2.106573799,-3.810846311,-4.519705991,-4.087010359,-4.192935233,-4.562281917,-4.7230246,-3.444199758,-1.421395321
70,Hollywood Hills West,0,0,3,0,0,2,1,0,1,0,6.521894523,5.43220187,0,0,45.99890399,0,0,30.66593599,15.332968,0,15.332968,0,-0.604554015,-0.609906263,2.123212668,-1.308568915,-1.183292613,0.805811839,-0.361301168,-1.367434782,0.158540216,-0.411529807
88,Chesterfield Square,4,0,0,7,3,1,1,0,0,0,101.7067843,40.91011377,3.932874319,0,0,6.882530059,2.94965574,0.98321858,0.98321858,0,0,0,-0.618025405,-2.408525059,-4.357083924,-3.457284534,-3.892991325,-4.538208984,-4.973232196,-5.400011672,-3.93788313,-1.625134733
66,Century City,0,1,0,0,0,0,0,0,0,0,6.952370078,3.265168053,0,14.38358414,0,0,0,0,0,0,0,0,-0.624186923,1.048887372,-1.139167023,-1.351064724,-1.221720071,-1.253383936,-1.363791842,-1.411842262,-1.029566261,-0.424894248
53,Windsor Square,0,0,0,0,0,0,0,0,1,0,9.593320068,8.227431744,0,0,0,0,0,0,0,0,10.4239199,0,-0.733217281,-0.739708612,-1.338151949,-1.587063052,-1.435125017,-1.472319793,-1.60201329,-1.658456955,-0.256487219,-0.499112996
51,Atwater Village,1,0,0,7,0,0,0,0,0,0,38.94427187,29.63664092,2.567771721,0,0,17.97440205,0,0,0,0,0,0,-0.762462166,-1.49038339,-2.696141975,-0.433790356,-2.891525735,-2.9664667,-3.227776398,-3.341500505,-2.436742598,-1.005625332
73,Harvard Heights,3,3,0,1,1,0,2,4,1,0,87.19646877,55.34539231,3.440506298,3.440506298,0,1.146835433,1.146835433,0,2.293670865,4.587341731,1.146835433,0,-0.777346113,-0.808152737,-4.034320642,-4.520878452,-4.045935388,-4.438815891,-4.304947499,-3.970622412,-3.330097584,-1.504748294
