,name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,unsheltered,unshelteredoutside,2010-rate,2011-rate,2012-rate,2013-rate,2014-rate,2015-rate,2016-rate,2017-rate,2018-rate,2019-rate,2010-z,2011-z,2012-z,2013-z,2014-z,2015-z,2016-z,2017-z,2018-z,2019-z
27,Chinatown,0,1,6,10,29,37,71,35,7,1,266.8452322,227.5076122,0,0.37474906,2.248494362,3.747490603,10.86772275,13.86571523,26.60718328,13.11621711,2.623243422,0.37474906,-3.867033626,-3.63032251,-6.048649547,-6.861889698,-2.91491886,-1.923513025,2.202198441,-3.598094392,-5.113723312,-2.242600067
14,Pico-Union,6,23,6,22,3,0,3,5,16,7,470.7625326,280.8710031,1.274527938,4.88569043,1.274527938,4.673269107,0.637263969,0,0.637263969,1.062106615,3.398741168,1.486949261,-3.902662945,-0.489945872,-8.61438821,-8.619189123,-9.690766915,-10.31379817,-10.88347833,-11.06394426,-6.295550842,-1.442278865
63,Vermont Square,1,9,6,1,15,1,3,0,1,0,319.6913708,184.6308787,0.312801687,2.81521518,1.87681012,0.312801687,4.6920253,0.312801687,0.93840506,0,0.312801687,0,-3.983165171,-2.042260661,-6.803085187,-9.023872937,-6.085277829,-8.355056931,-8.836806182,-9.573818587,-6.816500894,-2.881242868
100,Lincoln Heights,0,0,0,1,1,0,0,0,0,0,285.1435395,112.4588612,0,0,0,0.350700564,0.350700564,0,0,0,0,0,-3.99742195,-4.032811991,-7.295460858,-8.506579568,-7.668898842,-8.026929552,-8.734004584,-9.041729392,-6.593554942,-2.721110504
23,Florence,0,27,7,70,37,4,3,0,0,2,301.12328,108.8965885,0,8.966427304,2.324629301,23.24629301,12.28732631,1.328359601,0.9962697,0,0,0.6641798,-4.107904995,2.74233463,-6.389122549,1.047899814,-2.450682781,-7.6542889,-8.55173389,-9.291629906,-6.775791403,-2.062519334
85,Koreatown,8,4,3,5,2,4,10,17,9,0,568.3094858,440.7845157,1.4076837,0.70384185,0.527881388,0.879802313,0.351920925,0.70384185,1.759604626,2.991327863,1.583644163,0,-4.146371117,-4.950715138,-9.953788451,-11.69844997,-10.82587726,-10.89935334,-11.30233879,-11.05111793,-8.194242477,-3.8415533
15,Echo Park,2,5,4,7,10,0,25,7,13,6,390.200039,288.768625,0.512557611,1.281394029,1.025115223,1.79395164,2.562788057,0,6.406970143,1.79395164,3.331624475,1.537672834,-4.224520058,-3.597271516,-7.978049201,-9.248535897,-7.825554878,-9.389908009,-7.115550407,-9.725462928,-5.770737978,-1.249289359
33,Pacoima,2,0,4,1,1,0,0,0,0,1,390.8730665,115.3557981,0.511675061,0,1.023350121,0.25583753,0.25583753,0,0,0,0,0.25583753,-4.228940147,-4.721653147,-7.985885112,-10.00579318,-9.027984003,-9.398002503,-10.22585241,-10.58613943,-7.719794405,-2.863867381
31,Van Nuys,8,3,29,5,1,25,95,23,7,1,675.235038,327.0208226,1.184772642,0.444289741,4.294800827,0.740482901,0.14809658,3.702414506,14.06917512,3.406221346,1.036676062,0.14809658,-4.778032527,-5.694900298,-8.161295277,-12.84076406,-11.93928734,-9.870966745,-4.481073321,-11.78688098,-9.351398024,-3.942360947
22,Valley Glen,0,2,8,4,6,9,20,3,4,2,431.1834813,155.7986166,0,0.463839662,1.855358646,0.927679323,1.391518985,2.087278477,4.638396615,0.695759492,0.927679323,0.463839662,-4.915631086,-4.532852825,-7.913042693,-10.16533354,-8.863861233,-8.752900757,-8.379873575,-10.77144105,-7.539545516,-2.732927959
87,North Hollywood,3,7,10,56,63,68,28,16,78,0,586.6295873,255.2808523,0.511395958,1.193257236,1.704653194,9.546057889,10.73931512,11.59164172,4.773028944,2.727445111,13.29629492,0,-5.181087488,-4.505223743,-9.330102566,-6.713565939,-4.403472821,-4.272500917,-9.694450465,-11.38141433,0.047666203,-3.902980598
26,Sun Valley,3,0,7,9,2,5,1,3,4,1,740.1385645,245.3181421,0.405329508,0,0.945768851,1.215988523,0.270219672,0.67554918,0.135109836,0.405329508,0.540439344,0.135109836,-5.948357264,-6.497297074,-11.04706114,-13.12498185,-12.41282662,-12.45825927,-13.98134984,-14.30221851,-10.18897703,-4.149978646
30,Historic South-Central,9,30,64,88,131,109,20,13,14,1,944.7106109,673.7318081,0.952672691,3.175575637,6.774561359,9.315021869,13.86668028,11.53792481,2.117050425,1.376082776,1.481935297,0.105852521,-5.969836029,-3.020480813,-7.559963556,-8.694601198,-3.068154593,-5.464457362,-14.30296807,-15.4413243,-10.65717638,-4.745805682
46,Boyle Heights,0,0,3,1,0,0,2,2,0,0,869.93563,512.3062816,0,0,0.344853101,0.114951034,0,0,0.229902068,0.229902068,0,0,-6.982191951,-7.044006807,-12.46341875,-15.02954971,-13.6662332,-14.02042707,-15.08928322,-15.63000421,-11.51678928,-4.752892264
4,Westlake,2,12,38,37,18,17,72,65,118,48,1239.655588,921.2199874,0.161335134,0.968010802,3.065367541,2.984699974,1.452016204,1.371348637,5.808064814,5.243391846,9.51877289,3.87204321,-8.081465506,-6.900161678,-12.24707952,-15.45162946,-14.97358655,-15.49138395,-13.19955992,-14.41623518,-3.856237241,3.006121917
1,Downtown,39,132,618,945,780,1170,1401,1520,657,104,2477.65605,2298.862691,1.574068362,5.327615994,24.94292943,38.14088723,31.48136724,47.22205086,56.54537885,61.34830539,26.51699779,4.197515632,-8.288115625,-0.150397182,12.59627059,21.2737964,18.01681269,36.95994214,43.22954264,46.72829887,19.52093158,5.281342619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1367,1390,4052,5357,4553,4748,5437,5740,3408,652,25760.38471,,,,,,,,,,,,,,,,,,,,,
,, 0.05 , 0.05 , 0.16 , 0.21 , 0.18 , 0.18 , 0.21 , 0.22 , 0.13 , 0.03 ,,,,,,,,,,,,,,,,,,,,,,
