idmatch,matchnumber,group_name,home_team,away_team,local_date,local_time,pst_date,pst_time
400128082,1,Group A,QAT,ECU,2022-11-21,16:00:00,2022-11-21,08:00:00
400235449,2,Group A,SEN,NED,2022-11-21,10:00:00,2022-11-21,02:00:00
400235458,3,Group B,ENG,IRN,2022-11-21,13:00:00,2022-11-21,05:00:00
400235455,4,Group B,USA,,2022-11-21,19:00:00,2022-11-21,11:00:00
400235470,5,Group D,FRA,,2022-11-22,19:00:00,2022-11-22,11:00:00
400235466,6,Group D,DEN,TUN,2022-11-22,13:00:00,2022-11-22,05:00:00
400235463,7,Group C,MEX,POL,2022-11-22,16:00:00,2022-11-22,08:00:00
400235461,8,Group C,ARG,KSA,2022-11-22,10:00:00,2022-11-22,02:00:00
400235477,9,Group F,BEL,CAN,2022-11-23,19:00:00,2022-11-23,11:00:00
400235472,10,Group E,ESP,,2022-11-23,16:00:00,2022-11-23,08:00:00
400235476,11,Group E,GER,JPN,2022-11-23,13:00:00,2022-11-23,05:00:00
400235481,12,Group F,MAR,CRO,2022-11-23,10:00:00,2022-11-23,02:00:00
400235488,13,Group G,SUI,CMR,2022-11-24,10:00:00,2022-11-24,02:00:00
400235491,14,Group H,URU,KOR,2022-11-24,13:00:00,2022-11-24,05:00:00
400235493,15,Group H,POR,GHA,2022-11-24,16:00:00,2022-11-24,08:00:00
400235484,16,Group G,BRA,SRB,2022-11-24,19:00:00,2022-11-24,11:00:00
400235453,17,Group B,,IRN,2022-11-25,10:00:00,2022-11-25,02:00:00
400235448,18,Group A,QAT,SEN,2022-11-25,13:00:00,2022-11-25,05:00:00
400235452,19,Group A,NED,ECU,2022-11-25,16:00:00,2022-11-25,08:00:00
400235457,20,Group B,ENG,USA,2022-11-25,19:00:00,2022-11-25,11:00:00
400235469,21,Group D,TUN,,2022-11-26,10:00:00,2022-11-26,02:00:00
400235459,22,Group C,POL,KSA,2022-11-26,13:00:00,2022-11-26,05:00:00
400235467,23,Group D,FRA,DEN,2022-11-26,16:00:00,2022-11-26,08:00:00
400235462,24,Group C,ARG,MEX,2022-11-26,19:00:00,2022-11-26,11:00:00
400235471,25,Group E,JPN,,2022-11-27,10:00:00,2022-11-27,02:00:00
400235480,26,Group F,BEL,MAR,2022-11-27,13:00:00,2022-11-27,05:00:00
400235482,27,Group F,CRO,CAN,2022-11-27,16:00:00,2022-11-27,08:00:00
400235474,28,Group E,ESP,GER,2022-11-27,19:00:00,2022-11-27,11:00:00
400235487,29,Group G,CMR,SRB,2022-11-28,10:00:00,2022-11-28,02:00:00
400235489,30,Group H,KOR,GHA,2022-11-28,13:00:00,2022-11-28,05:00:00
400235485,31,Group G,BRA,SUI,2022-11-28,16:00:00,2022-11-28,08:00:00
400235492,32,Group H,POR,URU,2022-11-28,19:00:00,2022-11-28,11:00:00
400235454,33,Group B,,ENG,2022-11-29,19:00:00,2022-11-29,11:00:00
400235456,34,Group B,IRN,USA,2022-11-29,19:00:00,2022-11-29,11:00:00
400235451,35,Group A,ECU,SEN,2022-11-29,15:00:00,2022-11-29,07:00:00
400235450,36,Group A,NED,QAT,2022-11-29,15:00:00,2022-11-29,07:00:00
400235468,37,Group D,,DEN,2022-11-30,15:00:00,2022-11-30,07:00:00
400235465,38,Group D,TUN,FRA,2022-11-30,15:00:00,2022-11-30,07:00:00
400235464,39,Group C,POL,ARG,2022-11-30,19:00:00,2022-11-30,11:00:00
400235460,40,Group C,KSA,MEX,2022-11-30,19:00:00,2022-11-30,11:00:00
400235478,41,Group F,CRO,BEL,2022-12-01,15:00:00,2022-12-01,07:00:00
400235479,42,Group F,CAN,MAR,2022-12-01,15:00:00,2022-12-01,07:00:00
400235475,43,Group E,JPN,ESP,2022-12-01,19:00:00,2022-12-01,11:00:00
400235473,44,Group E,,GER,2022-12-01,19:00:00,2022-12-01,11:00:00
400235494,45,Group H,GHA,URU,2022-12-02,15:00:00,2022-12-02,07:00:00
400235490,46,Group H,KOR,POR,2022-12-02,15:00:00,2022-12-02,07:00:00
400235486,47,Group G,SRB,SUI,2022-12-02,19:00:00,2022-12-02,11:00:00
400235483,48,Group G,CMR,BRA,2022-12-02,19:00:00,2022-12-02,11:00:00
400128136,49,,,,2022-12-03,15:00:00,2022-12-03,07:00:00
400128131,50,,,,2022-12-03,19:00:00,2022-12-03,11:00:00
400128134,51,,,,2022-12-04,19:00:00,2022-12-04,11:00:00
400128135,52,,,,2022-12-04,15:00:00,2022-12-04,07:00:00
400128132,53,,,,2022-12-05,15:00:00,2022-12-05,07:00:00
400128133,54,,,,2022-12-05,19:00:00,2022-12-05,11:00:00
400128137,55,,,,2022-12-06,15:00:00,2022-12-06,07:00:00
400128130,56,,,,2022-12-06,19:00:00,2022-12-06,11:00:00
400128139,57,,,,2022-12-09,19:00:00,2022-12-09,11:00:00
400128141,58,,,,2022-12-09,15:00:00,2022-12-09,07:00:00
400128138,59,,,,2022-12-10,19:00:00,2022-12-10,11:00:00
400128140,60,,,,2022-12-10,15:00:00,2022-12-10,07:00:00
400128143,61,,,,2022-12-13,19:00:00,2022-12-13,11:00:00
400128142,62,,,,2022-12-14,19:00:00,2022-12-14,11:00:00
400128144,63,,,,2022-12-17,15:00:00,2022-12-17,07:00:00
400128145,64,,,,2022-12-18,15:00:00,2022-12-18,07:00:00
