month_num,month,2010,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,JAN,0.73,0.62,0.69,0.83,1.12,0.97,0.75,0.93,1.13,0.77,0.88
2,FEB,0.76,0.64,0.59,0.85,1.19,0.99,0.75,0.89,1.14,0.7,0.84
3,MAR,0.8,0.65,0.65,0.87,1.23,1.02,0.8,0.96,1.15,0.75,0.87
4,APR,0.81,0.63,0.68,0.85,1.2,1.0,0.81,0.96,1.13,0.76,0.86
5,MAY,0.8,0.64,0.71,0.86,1.15,0.97,0.81,0.94,1.09,0.77,0.85
6,JUN,0.79,0.65,0.72,0.87,1.11,0.95,0.8,0.94,1.06,0.79,0.85
7,JUL,0.78,0.65,0.72,0.87,1.08,0.94,0.81,0.94,1.04,0.81,
8,AUG,0.77,0.65,0.73,0.87,1.07,0.94,0.8,0.93,1.03,0.82,
9,SEP,0.76,0.66,0.74,0.88,1.05,0.93,0.81,0.93,1.02,0.82,
10,OCT,0.74,0.66,0.74,0.89,1.03,0.92,0.82,0.94,1.0,0.83,
11,NOV,0.74,0.67,0.73,0.9,1.0,0.91,0.81,0.93,0.99,0.84,
12,DEC,0.72,0.67,0.74,0.92,0.99,0.9,0.82,0.94,0.97,0.84,
