year,np_salary,rn_salary,,
2011,1461,1039,,
2012,1610,1097,,
2013,1615,1099,,
2014,1683,1090,,
2015,1532,1116,,
2016,1750,1154,,
2017,1841,1150,,
2018,1894,1167,,
2019,1760,1223,,
2020,1872,1262,1.214629451,1.281314168
