index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,adjusted_overtime,adjusted_wages,adjusted_benefits,employerfull,fire
1094213,2018,CITY,1420572.0,SAN DIEGO,EMERGENCY MEDICAL SERVICES,DEPUTY FIRE CHIEF,0.0,44469.0,1963.0,SAN DIEGO,0.0,44469.0,1963.0,SAN_DIEGO_CITY,True
1094214,2018,CITY,1420572.0,SAN DIEGO,EMERGENCY MEDICAL SERVICES,DEPUTY FIRE CHIEF,0.0,141133.0,32708.0,SAN DIEGO,0.0,141133.0,32708.0,SAN_DIEGO_CITY,True
1094215,2018,CITY,1420572.0,SAN DIEGO,EMERGENCY MEDICAL SERVICES,FIRE BATTALION CHIEF,92225.0,223029.0,25656.0,SAN DIEGO,92225.0,223029.0,25656.0,SAN_DIEGO_CITY,True
1094216,2018,CITY,1420572.0,SAN DIEGO,EMERGENCY MEDICAL SERVICES,FIRE FIGHTER 2,12674.0,104893.0,25999.0,SAN DIEGO,12674.0,104893.0,25999.0,SAN_DIEGO_CITY,True
1095341,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,ACCOUNT CLERK,454.0,33842.0,14444.0,SAN DIEGO,454.0,33842.0,14444.0,SAN_DIEGO_CITY,True
1095342,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,ADMINISTRATIVE AIDE 1,0.0,41782.0,15988.0,SAN DIEGO,0.0,41782.0,15988.0,SAN_DIEGO_CITY,True
1095343,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,ADMINISTRATIVE AIDE 2,0.0,12856.0,0.0,SAN DIEGO,0.0,12856.0,0.0,SAN_DIEGO_CITY,True
1095344,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,ADMINISTRATIVE AIDE 2,0.0,55867.0,14449.0,SAN DIEGO,0.0,55867.0,14449.0,SAN_DIEGO_CITY,True
1095345,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,ADMINISTRATIVE AIDE 2,703.0,43100.0,19208.0,SAN DIEGO,703.0,43100.0,19208.0,SAN_DIEGO_CITY,True
1095346,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,ADMINISTRATIVE AIDE 2,624.0,57146.0,14539.0,SAN DIEGO,624.0,57146.0,14539.0,SAN_DIEGO_CITY,True
1095347,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,ADMINISTRATIVE AIDE 2,0.0,1876.0,0.0,SAN DIEGO,0.0,1876.0,0.0,SAN_DIEGO_CITY,True
1095348,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,ADMINISTRATIVE AIDE 2,5230.0,60469.0,19047.0,SAN DIEGO,5230.0,60469.0,19047.0,SAN_DIEGO_CITY,True
1095349,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,ADMINISTRATIVE AIDE 2,0.0,61604.0,10263.0,SAN DIEGO,0.0,61604.0,10263.0,SAN_DIEGO_CITY,True
1095350,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,ADMINISTRATIVE AIDE 2,393.0,59031.0,5098.0,SAN DIEGO,393.0,59031.0,5098.0,SAN_DIEGO_CITY,True
1095351,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,ADMINISTRATIVE AIDE 2,191.0,54528.0,11735.0,SAN DIEGO,191.0,54528.0,11735.0,SAN_DIEGO_CITY,True
1095352,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,AIR OPERATIONS CHIEF,88922.0,246670.0,43270.0,SAN DIEGO,88922.0,246670.0,43270.0,SAN_DIEGO_CITY,True
1095353,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,ASOC MGMT ANLYST,16277.0,107526.0,12778.0,SAN DIEGO,16277.0,107526.0,12778.0,SAN_DIEGO_CITY,True
1095354,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,ASOC MGMT ANLYST,81.0,62867.0,11695.0,SAN DIEGO,81.0,62867.0,11695.000000000002,SAN_DIEGO_CITY,True
1095355,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,ASST FIRE CHIEF,0.0,173374.0,22857.0,SAN DIEGO,0.0,173374.0,22857.0,SAN_DIEGO_CITY,True
1095356,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,ASST FIRE CHIEF,0.0,201638.0,20831.0,SAN DIEGO,0.0,201638.0,20831.0,SAN_DIEGO_CITY,True
1095357,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,ASST FIRE MARSHAL/CIV,13957.0,136402.0,20267.0,SAN DIEGO,13957.0,136402.0,20267.0,SAN_DIEGO_CITY,True
1095358,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,ASST FIRE MARSHAL/CIV,54827.0,177575.0,19594.0,SAN DIEGO,54827.0,177575.0,19594.0,SAN_DIEGO_CITY,True
1095359,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,ASST MGMT ANLYST,618.0,61115.0,6112.0,SAN DIEGO,618.0,61115.0,6112.0,SAN_DIEGO_CITY,True
1095360,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,ASST TO THE FIRE CHIEF,0.0,127085.0,34982.0,SAN DIEGO,0.0,127085.0,34982.0,SAN_DIEGO_CITY,True
1095361,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,BLDG SERVICE TECH,149.0,10611.0,1361.0,SAN DIEGO,149.0,10611.0,1361.0,SAN_DIEGO_CITY,True
1095362,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,CLERICAL ASST 2,0.0,48256.0,3346.0,SAN DIEGO,0.0,48256.0,3346.0,SAN_DIEGO_CITY,True
1095363,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,CLERICAL ASST 2,0.0,35653.0,13699.0,SAN DIEGO,0.0,35653.0,13699.0,SAN_DIEGO_CITY,True
1095364,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,CLERICAL ASST 2,0.0,32716.0,16297.0,SAN DIEGO,0.0,32716.0,16297.0,SAN_DIEGO_CITY,True
1095365,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,CLERICAL ASST 2,498.0,47547.0,3995.0,SAN DIEGO,498.0,47547.0,3995.0,SAN_DIEGO_CITY,True
1095366,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,CLERICAL ASST 2,0.0,2408.0,387.0,SAN DIEGO,0.0,2408.0,387.0,SAN_DIEGO_CITY,True
1095367,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,CLERICAL ASST 2,0.0,38836.0,2655.0,SAN DIEGO,0.0,38836.0,2655.0,SAN_DIEGO_CITY,True
1095368,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,CLERICAL ASST 2,0.0,39857.0,10083.0,SAN DIEGO,0.0,39857.0,10083.0,SAN_DIEGO_CITY,True
1095369,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,CLERICAL ASST 2,0.0,43296.0,2918.0,SAN DIEGO,0.0,43296.0,2918.0,SAN_DIEGO_CITY,True
1095370,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,CLERICAL ASST 2,0.0,6966.0,1331.0,SAN DIEGO,0.0,6966.0,1331.0,SAN_DIEGO_CITY,True
1095371,2018,CITY,1420572.0,SAN DIEGO,FIRE-RESCUE,CODE COMPLIANCE OFCR,140.0,54954.0,4483.0,SAN DIEGO,140.0,54954.0,4483.0,SAN_DIEGO_CITY,True
