,employer,type,2011,2012,2013,2014,2015,2016,2017,2018,adjusted_ot_pct_change
0,ALAMEDA,CITY,788908.6039859692,547407.8789950956,626922.9564383127,1236749.918854758,2300568.433319129,1345679.78377714,1417794.6639890666,1996646.0,97.65413181772487
2,ALBANY,CITY,571783.9200227617,770968.9461658405,638363.907764094,604750.2068971345,649009.9463371825,0.0,794677.0280270886,924343.0,58.298298364568744
3,ALHAMBRA,CITY,2379256.6584318425,2574230.0919144237,2434377.6836368944,2503065.92194681,2175469.9658969603,2959928.4575408213,3442536.418921346,3713556.0,53.306600112648226
5,ANAHEIM,CITY,6339836.929180795,7515434.090912657,10052613.332833953,10130655.309306568,10926465.802263116,11693885.600678314,12459291.738022197,11227272.0,48.24401701170646
6,ARCADIA,CITY,1299717.257616509,1232418.552915146,1307732.858295737,1468138.4175283862,1454626.3202006605,1245736.8813826267,1424297.712438805,1874836.0,39.173332399522955
8,ATASCADERO,CITY,332775.74533095636,503048.4932402415,649280.9941620128,447242.97626469994,200415.6292164697,526670.0622190186,222518.3779006201,117147.0,-48.212885785675674
10,AUBURN,CITY,186117.39740107316,240827.3119724383,245201.12358074667,290154.72400902276,474719.22593738,476255.52471802896,457783.67323351826,291021.0,36.1543665908623
11,BAKERSFIELD,CITY,0.0,0.0,4603193.575745736,4230044.937816808,4656156.079285448,4733895.357881229,4272833.720679665,3982626.0,94.15091467220901
12,BARSTOW,CITY,201365.40025073462,276719.2709042919,368974.4529462519,330646.0671845432,264288.6422197563,680844.2171936649,819053.2154658942,688034.0,147.18717324940732
15,BENICIA,CITY,823581.9306211906,1050280.2865057448,796412.6630064776,911512.3851970128,1053341.6183607082,824302.6934839401,1070936.7294427222,865954.0,4.648545655213581
16,BERKELEY,CITY,2211526.394418042,3132852.7725942335,1980633.0464892664,1955820.7624357927,2255030.213777915,3097196.2805626513,3615644.7412410257,3291801.0,55.23382440406126
17,BEVERLY HILLS,CITY,4249200.550473682,4368751.479494237,3780112.3074301253,4811983.628332827,5208970.337608691,4044118.269704634,4008327.2446679175,4279560.0,0.6309134001945216
19,BRAWLEY,CITY,129342.89495374303,140510.9437136859,148792.7302721103,149950.76998428628,281275.8188273415,381067.8224426787,0.0,368718.0,159.63579584909212
20,BREA,CITY,1180682.5886173588,1599276.2181677222,1415768.6815978917,1355273.0677632468,1662071.3816730448,1431381.1495331386,1689997.6433093995,1720692.0,39.84506327377086
21,BURBANK,CITY,4201035.213995793,4724704.9539143015,4525637.852371897,4765831.3038997045,4559715.658965389,5278995.090089039,5719122.759689133,4969948.0,16.13386494345769
22,CALEXICO,CITY,300787.20139237744,140597.03979215483,127695.84885622667,147505.84553257632,266299.4730293608,313990.72892457305,299478.2888625979,272518.0,-19.164800750987357
23,CALIFORNIA CITY,CITY,215696.89308212447,176019.01388102482,278372.7682104423,372824.99161935656,463043.05820679537,443522.58942030853,339075.37955695164,387021.0,45.95295668719345
25,CARLSBAD,CITY,1993472.920765185,1972433.5964790022,2529616.5431045205,2666409.1501208106,2826152.779382914,3113593.0894223913,3152315.8567191567,3254501.0,47.29312000664564
