employer,type,year,overtime,adjusted_overtime,wages
SANTA BARBARA,COUNTY,2011,5409777.0,6039116.70781412,27401985.0
SANTA BARBARA,COUNTY,2012,6529830.0,7141676.271200467,27346991.0
SANTA BARBARA,COUNTY,2013,6766535.0,7293725.040436652,27516185.0
SANTA BARBARA,COUNTY,2014,7879589.0,8357917.4904661765,29848178.0
SANTA BARBARA,COUNTY,2015,10524780.0,11150448.834724933,33337396.0
SANTA BARBARA,COUNTY,2016,11900373.0,12450749.19861087,36189531.0
SANTA BARBARA,COUNTY,2017,13225685.0,13548719.334591229,39404485.0
SANTA BARBARA,COUNTY,2018,13898752.0,13898752.0,41614709.0
