,employerfull,type,2011,2012,2013,2014,2015,2016,2017,2018,ot_pct_change
0,LOS ANGELES CITY,CITY,106442380.63131326,122766642.56165208,150689735.72045517,170170046.9950158,194577723.3383092,193805687.69056734,200297491.0561808,194037539.0,82.29349799314612
1,LOS ANGELES COUNTY,COUNTY,140594166.1801202,145007456.87385052,159648826.28865466,163014544.41060534,175704519.86221692,197369373.81093967,202569406.0199902,200371155.0,42.51740342006607
