,employer,type,2011,2012,2013,2014,2015,2016,2017,2018,adjusted_ot_pct_change
0,ALAMEDA,COUNTY,109526.85435162422,95914.2250189465,139605.69162978578,166923.10670958366,14141190.976381445,16068866.405054847,3622189.7911063973,17330063.0,15722.661120498986
1,CONTRA COSTA,COUNTY,12634878.733509976,11731774.074993249,9243987.933957772,10315447.048256285,10187409.199534208,10900928.516780762,11720915.046589416,12091086.0,-4.303901485557911
2,KERN,COUNTY,16458549.599069117,17259277.9315226,18377187.05896367,20964247.08222237,21866480.87492882,23074549.46519058,23263403.981870096,22889651.0,39.07453303962229
3,LOS ANGELES,CITY,106442380.63131326,122766642.56165208,150689735.72045514,170170046.99501583,194577723.33830917,193805687.69056734,200294563.25018373,194037539.0,82.29349799314612
4,LOS ANGELES,COUNTY,140240866.63858217,145084237.907854,159740059.62945583,163785259.9078218,178447435.0524437,201345695.1680543,207973598.06756243,206909700.0,47.538805884044876
5,ORANGE,COUNTY,106844.3043225052,111556.32504769284,80703.22458651167,119888.27592339147,52834.63249471558,357788.78995612625,222291.98002610967,148838.0,39.30363526982079
6,RIVERSIDE,COUNTY,93657.0535967529,73959.28752929086,92052.55344548567,112633.05542460801,108905.87622406833,86702.62571508333,188448.05884872715,138538.0,47.920519255800215
7,SACRAMENTO,CITY,0.0,0.0,0.0,0.0,0.0,0.0,13394905.028418735,16653584.0,inf
8,SAN DIEGO,CITY,22041793.553994603,33934226.85324531,34093770.862541124,34148512.26476328,32718810.79903977,34696198.920252316,39765716.13387326,43246387.0,96.20176050583923
9,SAN FRANCISCO,CITY,34262111.698131464,45861670.453322016,49112999.90257861,42040420.79050503,44087458.08444536,45939117.872357905,37779683.29335837,37164508.0,8.471154164227485
10,SAN JOAQUIN,COUNTY,31174.736626374266,97572.27449759141,62818.51906575033,30268.27078264396,39800.560677208814,43255.0579816422,120986.61436847258,27269.0,-12.528531269354678
11,SAN JOSE,CITY,8136397.5050702635,6009485.496829188,6430876.387792595,7989034.077702591,10660395.169831695,12269875.824309308,15828322.606311196,15754941.0,93.63534033559911
12,SAN MATEO,COUNTY,1064.9824085640996,2351.4553951758326,5981.330215447486,0.0,0.0,613.1017095334719,242.7886708550914,1072.0,0.6589396575444004
13,SANTA CLARA,COUNTY,6245884.047137226,5805416.354334172,4816502.0612169625,0.0,77.33964652324518,7814186.352739713,3613556.9635566245,4403230.0,-29.501893298544317
14,SONOMA,COUNTY,0.0,0.0,0.0,0.0,131051.5013100326,87768.75309053487,99870.14655270887,97626.0,inf
15,STANISLAUS,COUNTY,6263.748736324071,14974.942916626742,29780.535446455786,78812.48442991349,62900.440462076556,38418.250467694685,3676.660505058747,107592.0,1617.6934217693604
16,VENTURA,COUNTY,16889559.366419338,16787470.984032683,17426091.957936443,17697374.033104382,19340558.48445471,20672398.134762757,23112375.08665144,23366946.0,38.35142464675144
