index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,adjusted_overtime,adjusted_wages,adjusted_benefits,employer_full,fire
2487796,2018,COUNTY,3222498.0,ORANGE,SHERIFF-CORONER,CAPTAIN,58.0,232910.0,70908.0,ORANGE,58.0,232910.0,70908.0,ORANGE_COUNTY,True
2487799,2018,COUNTY,3222498.0,ORANGE,SHERIFF-CORONER,CAPTAIN,2282.0,157568.0,18255.0,ORANGE,2282.0,157568.0,18255.0,ORANGE_COUNTY,True
2490140,2018,COUNTY,3222498.0,ORANGE,SHERIFF-CORONER,LIEUTENANT,628.0,184597.0,79461.0,ORANGE,628.0,184597.0,79461.0,ORANGE_COUNTY,True
2490141,2018,COUNTY,3222498.0,ORANGE,SHERIFF-CORONER,LIEUTENANT,1336.0,150125.0,20215.0,ORANGE,1336.0,150125.0,20215.0,ORANGE_COUNTY,True
2490149,2018,COUNTY,3222498.0,ORANGE,SHERIFF-CORONER,LIEUTENANT,9045.0,174219.0,73475.0,ORANGE,9045.0,174219.0,73475.0,ORANGE_COUNTY,True
2490156,2018,COUNTY,3222498.0,ORANGE,SHERIFF-CORONER,LIEUTENANT,314.0,176706.0,79097.0,ORANGE,314.0,176706.0,79097.0,ORANGE_COUNTY,True
2490157,2018,COUNTY,3222498.0,ORANGE,SHERIFF-CORONER,LIEUTENANT,943.0,106520.0,21448.0,ORANGE,943.0,106520.0,21448.0,ORANGE_COUNTY,True
2490161,2018,COUNTY,3222498.0,ORANGE,SHERIFF-CORONER,LIEUTENANT,600.0,176231.0,75759.0,ORANGE,600.0,176231.0,75759.0,ORANGE_COUNTY,True
2490162,2018,COUNTY,3222498.0,ORANGE,SHERIFF-CORONER,LIEUTENANT,2485.0,93277.0,4824.0,ORANGE,2485.0,93277.0,4824.0,ORANGE_COUNTY,True
2490163,2018,COUNTY,3222498.0,ORANGE,SHERIFF-CORONER,LIEUTENANT,11219.0,175144.0,73216.0,ORANGE,11219.0,175144.0,73216.0,ORANGE_COUNTY,True
2490170,2018,COUNTY,3222498.0,ORANGE,SHERIFF-CORONER,LIEUTENANT,6937.0,178051.0,75000.0,ORANGE,6937.0,178051.0,75000.0,ORANGE_COUNTY,True
