index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,adjusted_overtime,adjusted_wages,adjusted_benefits,fire,employerfull
904083,2018,CITY,168101.0,CORONA,FIRE,BATTALION CHIEF,86312.0,267377.0,35588.0,RIVERSIDE,86312.0,267377.0,35588.0,True,CORONA_CITY
904084,2018,CITY,168101.0,CORONA,FIRE,BATTALION CHIEF,110547.0,276824.0,52788.0,RIVERSIDE,110547.0,276824.0,52788.0,True,CORONA_CITY
904085,2018,CITY,168101.0,CORONA,FIRE,BATTALION CHIEF,79745.0,225651.0,48797.0,RIVERSIDE,79745.0,225651.0,48797.0,True,CORONA_CITY
904086,2018,CITY,168101.0,CORONA,FIRE,DEPUTY FIRE CHIEF,1790.0,184347.0,55987.0,RIVERSIDE,1789.9999999999998,184347.0,55987.0,True,CORONA_CITY
904087,2018,CITY,168101.0,CORONA,FIRE,DEPUTY FIRE MARSHAL,23841.0,132127.0,37785.0,RIVERSIDE,23841.0,132127.0,37785.0,True,CORONA_CITY
904089,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,62931.0,181012.0,44422.0,RIVERSIDE,62931.0,181012.0,44422.0,True,CORONA_CITY
904090,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,79921.0,206925.0,45929.0,RIVERSIDE,79921.0,206925.0,45929.0,True,CORONA_CITY
904091,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,16870.0,140912.0,45343.0,RIVERSIDE,16870.0,140912.0,45343.0,True,CORONA_CITY
904092,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,61830.0,198263.0,26023.0,RIVERSIDE,61830.0,198263.0,26023.0,True,CORONA_CITY
904093,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,93998.0,229898.0,47775.0,RIVERSIDE,93998.0,229898.0,47775.0,True,CORONA_CITY
904094,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,68449.0,170583.0,40411.0,RIVERSIDE,68449.0,170583.0,40411.0,True,CORONA_CITY
904095,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,63619.0,160245.0,17757.0,RIVERSIDE,63619.0,160245.00000000003,17757.0,True,CORONA_CITY
904096,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,82773.0,214746.0,46899.0,RIVERSIDE,82773.0,214746.0,46899.0,True,CORONA_CITY
904097,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,101508.0,230200.0,46126.0,RIVERSIDE,101508.0,230200.0,46126.0,True,CORONA_CITY
904098,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,73725.0,186653.0,43002.0,RIVERSIDE,73725.0,186653.0,43002.0,True,CORONA_CITY
904099,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,105012.0,236567.0,47228.0,RIVERSIDE,105012.0,236567.0,47228.0,True,CORONA_CITY
904100,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,140543.0,279408.0,48138.0,RIVERSIDE,140543.0,279408.0,48138.0,True,CORONA_CITY
904101,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,73403.0,190115.0,43430.0,RIVERSIDE,73403.0,190115.0,43430.0,True,CORONA_CITY
904102,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,47412.0,134007.0,24220.0,RIVERSIDE,47412.0,134007.0,24220.0,True,CORONA_CITY
904103,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,0.0,155397.0,44627.0,RIVERSIDE,0.0,155397.0,44627.0,True,CORONA_CITY
904104,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,64626.0,178165.0,42840.0,RIVERSIDE,64626.0,178165.0,42840.0,True,CORONA_CITY
904105,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,95326.0,222386.0,46213.0,RIVERSIDE,95326.0,222386.0,46213.0,True,CORONA_CITY
904106,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,0.0,14450.0,649.0,RIVERSIDE,0.0,14450.0,649.0,True,CORONA_CITY
904107,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,57771.0,192488.0,34682.0,RIVERSIDE,57771.0,192488.0,34682.0,True,CORONA_CITY
904108,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,105122.0,233814.0,46263.0,RIVERSIDE,105122.0,233814.0,46263.0,True,CORONA_CITY
904109,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,109926.0,235390.0,45309.0,RIVERSIDE,109926.0,235390.0,45309.0,True,CORONA_CITY
904110,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,72355.0,197907.0,45223.0,RIVERSIDE,72355.0,197907.0,45223.0,True,CORONA_CITY
904111,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,137045.0,276528.0,48154.0,RIVERSIDE,137045.0,276528.0,48154.0,True,CORONA_CITY
904112,2018,CITY,168101.0,CORONA,FIRE,FIRE CAPTAIN,53397.0,187224.0,47627.0,RIVERSIDE,53397.0,187224.0,47627.0,True,CORONA_CITY
904113,2018,CITY,168101.0,CORONA,FIRE,FIRE CHIEF,0.0,128587.0,20119.0,RIVERSIDE,0.0,128587.0,20119.0,True,CORONA_CITY
904114,2018,CITY,168101.0,CORONA,FIRE,FIRE CHIEF,0.0,76164.0,7903.0,RIVERSIDE,0.0,76164.0,7903.0,True,CORONA_CITY
904115,2018,CITY,168101.0,CORONA,FIRE,FIRE ENGINEER,36232.0,151198.0,25251.0,RIVERSIDE,36232.0,151198.0,25251.0,True,CORONA_CITY
904116,2018,CITY,168101.0,CORONA,FIRE,FIRE ENGINEER,57729.0,155623.0,39042.0,RIVERSIDE,57729.0,155623.0,39042.0,True,CORONA_CITY
904117,2018,CITY,168101.0,CORONA,FIRE,FIRE ENGINEER,39924.0,148644.0,42005.0,RIVERSIDE,39924.0,148644.0,42005.0,True,CORONA_CITY
904118,2018,CITY,168101.0,CORONA,FIRE,FIRE ENGINEER,46015.0,143745.0,40184.0,RIVERSIDE,46015.0,143745.00000000003,40184.0,True,CORONA_CITY
904119,2018,CITY,168101.0,CORONA,FIRE,FIRE ENGINEER,59897.0,169699.0,20298.0,RIVERSIDE,59897.0,169699.0,20298.0,True,CORONA_CITY
904120,2018,CITY,168101.0,CORONA,FIRE,FIRE ENGINEER,42052.0,128421.0,36721.0,RIVERSIDE,42052.0,128421.0,36721.0,True,CORONA_CITY
904121,2018,CITY,168101.0,CORONA,FIRE,FIRE ENGINEER,62091.0,164235.0,40003.0,RIVERSIDE,62091.0,164235.0,40003.0,True,CORONA_CITY
904122,2018,CITY,168101.0,CORONA,FIRE,FIRE ENGINEER,61179.0,159388.0,39862.0,RIVERSIDE,61179.0,159388.0,39862.0,True,CORONA_CITY
904123,2018,CITY,168101.0,CORONA,FIRE,FIRE ENGINEER,58871.0,155976.0,38955.0,RIVERSIDE,58871.0,155976.0,38955.0,True,CORONA_CITY
