index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,adjusted_overtime,adjusted_wages,adjusted_benefits,employer_full,fire
2644248,2018,COUNTY,558972.0,STANISLAUS,BEHAVIORAL HEALTH & RECOVERY SVS,SENIOR SYSTEMS ENGINEER,15380.0,129333.0,56539.0,STANISLAUS,15380.0,129333.0,56539.0,STANISLAUS_COUNTY,True
2644580,2018,COUNTY,558972.0,STANISLAUS,CLERK/RECORDER,SENIOR SYSTEMS ENGINEER,9466.0,107499.0,52752.0,STANISLAUS,9466.0,107499.0,52752.0,STANISLAUS_COUNTY,True
2645921,2018,COUNTY,558972.0,STANISLAUS,ENVIRONMENTAL RESOURCES,SENIOR SYSTEMS ENGINEER,1140.0,102738.0,54804.0,STANISLAUS,1140.0,102738.0,54804.0,STANISLAUS_COUNTY,True
2646400,2018,COUNTY,558972.0,STANISLAUS,HEALTH SERVICES AGENCY,SENIOR SYSTEMS ENGINEER,12509.0,112432.0,52752.0,STANISLAUS,12509.0,112432.0,52752.0,STANISLAUS_COUNTY,True
2646984,2018,COUNTY,558972.0,STANISLAUS,PROBATION,SENIOR SYSTEMS ENGINEER,1103.0,81886.0,31467.0,STANISLAUS,1103.0,81886.0,31467.0,STANISLAUS_COUNTY,True
2647878,2018,COUNTY,558972.0,STANISLAUS,SHERIFF,LIEUTENANT,25.0,117930.0,77450.0,STANISLAUS,25.0,117930.0,77450.0,STANISLAUS_COUNTY,True
2647879,2018,COUNTY,558972.0,STANISLAUS,SHERIFF,LIEUTENANT,3.0,146603.0,65527.0,STANISLAUS,3.0,146603.0,65527.0,STANISLAUS_COUNTY,True
2647880,2018,COUNTY,558972.0,STANISLAUS,SHERIFF,LIEUTENANT,24336.0,152402.0,70468.0,STANISLAUS,24336.0,152402.0,70468.0,STANISLAUS_COUNTY,True
2647881,2018,COUNTY,558972.0,STANISLAUS,SHERIFF,LIEUTENANT,7086.0,112760.0,71060.0,STANISLAUS,7086.0,112760.0,71060.00000000001,STANISLAUS_COUNTY,True
2647882,2018,COUNTY,558972.0,STANISLAUS,SHERIFF,LIEUTENANT,5018.0,115289.0,70168.0,STANISLAUS,5018.0,115289.0,70168.0,STANISLAUS_COUNTY,True
2647901,2018,COUNTY,558972.0,STANISLAUS,SHERIFF,SENIOR SYSTEMS ENGINEER,10934.0,96157.0,44601.0,STANISLAUS,10934.0,96157.0,44601.0,STANISLAUS_COUNTY,True
2648068,2018,COUNTY,558972.0,STANISLAUS,STRATEGIC BUSINESS TECHNOLOGY,SENIOR SYSTEMS ENGINEER,8611.0,112858.0,54259.0,STANISLAUS,8611.0,112858.0,54259.0,STANISLAUS_COUNTY,True
2648069,2018,COUNTY,558972.0,STANISLAUS,STRATEGIC BUSINESS TECHNOLOGY,SENIOR SYSTEMS ENGINEER,3680.0,107384.0,54050.0,STANISLAUS,3680.0,107384.0,54050.0,STANISLAUS_COUNTY,True
2648070,2018,COUNTY,558972.0,STANISLAUS,STRATEGIC BUSINESS TECHNOLOGY,SENIOR SYSTEMS ENGINEER,7938.0,110128.0,52189.0,STANISLAUS,7938.0,110128.0,52189.0,STANISLAUS_COUNTY,True
2648174,2018,COUNTY,558972.0,STANISLAUS,WORKFORCE DEVELOPMENT,SENIOR SYSTEMS ENGINEER,363.0,111134.0,30840.0,STANISLAUS,363.0,111134.0,30840.0,STANISLAUS_COUNTY,True
3996636,2015,COUNTY,540214.0,STANISLAUS,DISTRICT ATTORNEY,LIEUTENANT,5656.0,101555.0,56221.0,STANISLAUS,5992.23343473253,107592.1616803858,59563.1817422379,STANISLAUS_COUNTY,True
3998536,2015,COUNTY,540214.0,STANISLAUS,SHERIFF,LIEUTENANT,20952.0,113124.0,53210.0,STANISLAUS,22197.53799938401,119848.90648350118,56373.1861849572,STANISLAUS_COUNTY,True
3998537,2015,COUNTY,540214.0,STANISLAUS,SHERIFF,LIEUTENANT,4326.0,112884.0,56837.0,STANISLAUS,4583.168641911761,119594.63915246585,60215.80122522857,STANISLAUS_COUNTY,True
3998538,2015,COUNTY,540214.0,STANISLAUS,SHERIFF,LIEUTENANT,107.0,111856.0,61999.0,STANISLAUS,113.36085175324978,118505.52741786455,65684.66773691338,STANISLAUS_COUNTY,True
3998540,2015,COUNTY,540214.0,STANISLAUS,SHERIFF,LIEUTENANT,2799.0,105826.0,45481.0,STANISLAUS,2965.3927481994965,112117.06072560196,48184.718678407036,STANISLAUS_COUNTY,True
3998542,2015,COUNTY,540214.0,STANISLAUS,SHERIFF,LIEUTENANT,2012.0,97031.0,35110.0,STANISLAUS,2131.6077918461547,102799.2224903699,37197.19163604298,STANISLAUS_COUNTY,True
3998545,2015,COUNTY,540214.0,STANISLAUS,SHERIFF,LIEUTENANT,23519.0,122041.0,55855.0,STANISLAUS,24917.13899424936,129295.99727867621,59175.42406240902,STANISLAUS_COUNTY,True
5310224,2012,COUNTY,524124.0,STANISLAUS,SHERIFF,LIEUTENANT,13510.0,100006.0,47813.0,STANISLAUS,14775.889483174647,109376.58058137409,52293.0868881591,STANISLAUS_COUNTY,True
5310226,2012,COUNTY,524124.0,STANISLAUS,SHERIFF,LIEUTENANT,182.0,104740.0,42685.0,STANISLAUS,199.0534334520937,114554.15725149612,46684.59234561879,STANISLAUS_COUNTY,True
6558050,2017,COUNTY,555624.0,STANISLAUS,SHERIFF,LIEUTENANT,2715.0,103930.0,65112.0,STANISLAUS,2781.3132547323758,106468.46650620105,66702.34572454308,STANISLAUS_COUNTY,True
6558052,2017,COUNTY,555624.0,STANISLAUS,SHERIFF,LIEUTENANT,19.0,125578.0,59507.0,STANISLAUS,19.46407065926893,128645.21396050914,60960.44488005874,STANISLAUS_COUNTY,True
6558055,2017,COUNTY,555624.0,STANISLAUS,SHERIFF,LIEUTENANT,855.0,118055.0,71784.0,STANISLAUS,875.8831796671018,120938.4664042102,73537.3078002611,STANISLAUS_COUNTY,True
6916081,2014,COUNTY,532297.0,STANISLAUS,ALLIANCE WORKNET,SENIOR SYSTEMS ENGINEER,138.0,101014.0,44277.0,STANISLAUS,146.3772556772101,107146.0297462152,46964.82427260747,STANISLAUS_COUNTY,True
6916640,2014,COUNTY,532297.0,STANISLAUS,BEHAVIORAL HEALTH & RECOVERY SERVICES,SENIOR SYSTEMS ENGINEER,5219.0,104005.0,44426.0,STANISLAUS,5535.818096951879,110318.59765730603,47122.8692805488,STANISLAUS_COUNTY,True
6916882,2014,COUNTY,532297.0,STANISLAUS,CHILD SUPPORT SERVICES,SENIOR SYSTEMS ENGINEER,7796.0,86011.0,38119.0,STANISLAUS,8269.254241011084,91232.27636269938,40433.00441419978,STANISLAUS_COUNTY,True
6916942,2014,COUNTY,532297.0,STANISLAUS,CLERK/RECORDER,SENIOR SYSTEMS ENGINEER,5364.0,86541.0,41735.0,STANISLAUS,5689.620285888079,91794.44988087997,44268.5127948432,STANISLAUS_COUNTY,True
6918035,2014,COUNTY,532297.0,STANISLAUS,DISTRICT ATTORNEY,LIEUTENANT,13491.0,95837.0,53046.0,STANISLAUS,14309.96779957421,101654.76124881726,56266.144236618005,STANISLAUS_COUNTY,True
6918140,2014,COUNTY,532297.0,STANISLAUS,ENVIRONMENTAL RESOURCES,SENIOR SYSTEMS ENGINEER,120.0,79101.0,40230.0,STANISLAUS,127.2845701540957,83902.80653132604,42672.15214416058,STANISLAUS_COUNTY,True
6918631,2014,COUNTY,532297.0,STANISLAUS,HEALTH SERVICES AGENCY,SENIOR SYSTEMS ENGINEER,244.0,83347.0,40644.0,STANISLAUS,258.8119593133279,88406.55890527846,43111.283911192215,STANISLAUS_COUNTY,True
6919365,2014,COUNTY,532297.0,STANISLAUS,SHERIFF,CAPTAIN,69.0,112882.0,65676.0,STANISLAUS,73.18862783860504,119734.47373445527,69662.84524533658,STANISLAUS_COUNTY,True
6919887,2014,COUNTY,532297.0,STANISLAUS,SHERIFF,LIEUTENANT,6181.0,93519.0,56701.0,STANISLAUS,6556.216067687214,99196.04763534064,60143.0201025615,STANISLAUS_COUNTY,True
6919890,2014,COUNTY,532297.0,STANISLAUS,SHERIFF,LIEUTENANT,7009.0,106633.0,34722.0,STANISLAUS,7434.479601750473,113106.12974368072,36829.7903740876,STANISLAUS_COUNTY,True
6919892,2014,COUNTY,532297.0,STANISLAUS,SHERIFF,LIEUTENANT,31.0,117580.0,53438.0,STANISLAUS,32.88184728980806,124717.6646559881,56681.94049912139,STANISLAUS_COUNTY,True
6919934,2014,COUNTY,532297.0,STANISLAUS,SHERIFF,SENIOR SYSTEMS ENGINEER,25396.0,121872.0,43701.0,STANISLAUS,26937.65786361179,129270.2094484996,46353.8583358678,STANISLAUS_COUNTY,True
6920082,2014,COUNTY,532297.0,STANISLAUS,STRATEGIC BUSINESS TECHNOLOGY,SENIOR SYSTEMS ENGINEER,1720.0,88777.0,40087.0,STANISLAUS,1824.412172208705,94166.18570475127,42520.47136472696,STANISLAUS_COUNTY,True
6920083,2014,COUNTY,532297.0,STANISLAUS,STRATEGIC BUSINESS TECHNOLOGY,SENIOR SYSTEMS ENGINEER,1088.0,99983.0,44202.0,STANISLAUS,1154.0467693971345,106052.44314764127,46885.27141626115,STANISLAUS_COUNTY,True
6920084,2014,COUNTY,532297.0,STANISLAUS,STRATEGIC BUSINESS TECHNOLOGY,SENIOR SYSTEMS ENGINEER,436.0,96072.0,43362.0,STANISLAUS,462.46727155988106,101904.02686536903,45994.27942518248,STANISLAUS_COUNTY,True
7270230,2011,COUNTY,519339.0,STANISLAUS,SHERIFF,LIEUTENANT,87.0,109782.0,48698.0,STANISLAUS,97.12103725899023,122553.35301570648,54363.221522279375,STANISLAUS_COUNTY,True
7270231,2011,COUNTY,519339.0,STANISLAUS,SHERIFF,LIEUTENANT,5524.0,91927.0,33206.0,STANISLAUS,6166.62769906508,102621.21370238153,37068.97888760953,STANISLAUS_COUNTY,True
9552158,2016,COUNTY,548057.0,STANISLAUS,CLERK/RECORDER,SENIOR SYSTEMS ENGINEER,12423.0,106766.0,43875.0,STANISLAUS,12997.546992379388,111703.78348131513,45904.15956617932,STANISLAUS_COUNTY,True
9552974,2016,COUNTY,548057.0,STANISLAUS,COMMUNITY SERVICES AGENCY,SENIOR SYSTEMS ENGINEER,171.0,95182.0,38406.0,STANISLAUS,178.9085193348527,99584.0391071927,40182.22569341728,STANISLAUS_COUNTY,True
9553449,2016,COUNTY,548057.0,STANISLAUS,ENVIRONMENTAL RESOURCES,SENIOR SYSTEMS ENGINEER,395.0,91246.0,43723.0,STANISLAUS,413.268217176999,95466.00441653785,45745.129771215004,STANISLAUS_COUNTY,True
9553952,2016,COUNTY,548057.0,STANISLAUS,HEALTH SERVICES AGENCY,SENIOR SYSTEMS ENGINEER,3817.0,99621.0,44082.0,STANISLAUS,3993.5311011762155,104228.3368693413,46120.73303695309,STANISLAUS_COUNTY,True
9555350,2016,COUNTY,548057.0,STANISLAUS,SHERIFF,SENIOR SYSTEMS ENGINEER,15855.0,112849.0,44721.0,STANISLAUS,16588.272362889416,118068.1140258409,46789.285924993856,STANISLAUS_COUNTY,True
9555506,2016,COUNTY,548057.0,STANISLAUS,STRATEGIC BUSINESS TECHNOLOGY,SENIOR SYSTEMS ENGINEER,720.0,103431.0,45558.0,STANISLAUS,753.2990287783273,108214.54422995995,47664.99604594866,STANISLAUS_COUNTY,True
9555507,2016,COUNTY,548057.0,STANISLAUS,STRATEGIC BUSINESS TECHNOLOGY,SENIOR SYSTEMS ENGINEER,1415.0,103495.0,45541.0,STANISLAUS,1480.4418412796294,108281.50414362914,47647.209818880285,STANISLAUS_COUNTY,True
9555508,2016,COUNTY,548057.0,STANISLAUS,STRATEGIC BUSINESS TECHNOLOGY,SENIOR SYSTEMS ENGINEER,1924.0,97780.0,42467.0,STANISLAUS,2012.9824046798635,102302.19310270117,44431.04146545726,STANISLAUS_COUNTY,True
10196376,2013,COUNTY,526042.0,STANISLAUS,DISTRICT ATTORNEY,LIEUTENANT,1156.0,89628.0,54223.0,STANISLAUS,1246.0655485776344,96611.04064698635,58447.58844336079,STANISLAUS_COUNTY,True
10198194,2013,COUNTY,526042.0,STANISLAUS,SHERIFF,LIEUTENANT,10181.0,92077.0,51751.0,STANISLAUS,10974.215700751642,99250.84560240731,55782.99152633319,STANISLAUS_COUNTY,True
10198195,2013,COUNTY,526042.0,STANISLAUS,SHERIFF,LIEUTENANT,4417.0,98262.0,53942.0,STANISLAUS,4761.134539850702,105917.72745184733,58144.69534721,STANISLAUS_COUNTY,True
10198199,2013,COUNTY,526042.0,STANISLAUS,SHERIFF,LIEUTENANT,186.0,111438.0,50795.0,STANISLAUS,200.49151560159171,120120.2877183343,54752.50825259597,STANISLAUS_COUNTY,True
10198201,2013,COUNTY,526042.0,STANISLAUS,SHERIFF,LIEUTENANT,11636.0,85272.0,50341.0,STANISLAUS,12542.576750215707,91915.65870096197,54263.136488708216,STANISLAUS_COUNTY,True
10198351,2013,COUNTY,526042.0,STANISLAUS,STANISLAUS REGIONAL 911,LIEUTENANT,52.0,90196.0,54390.0,STANISLAUS,56.051391458509514,97223.29430753314,58627.59964285255,STANISLAUS_COUNTY,True
