employer,type,year,overtime,adjusted_overtime,wages
KERN,COUNTY,2011,14743395.0,16458549.599069117,57517707.0
KERN,COUNTY,2012,15780630.0,17259277.9315226,57451244.0
KERN,COUNTY,2013,17048885.0,18377187.05896367,61590041.0
KERN,COUNTY,2014,19764451.0,20964247.08222237,66639788.0
KERN,COUNTY,2015,20639519.0,21866480.87492882,67112326.0
KERN,COUNTY,2016,22054556.0,23074549.46519058,66875884.0
KERN,COUNTY,2017,22708748.0,23263403.981870096,66618338.0
KERN,COUNTY,2018,22889651.0,22889651.0,69142624.0
