index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,basewages,adjusted_overtime,adjusted_wages,adjusted_benefits,adjusted_basewages,fire,employerfull
1187393,2018,CITY,148054.0,TORRANCE,FIRE,ADMIN ANALYST -TIER 1,0.0,64851.0,27819.0,LOS ANGELES,64851.0,0.0,64851.0,27819.0,64851.0,True,TORRANCE_CITY
1187394,2018,CITY,148054.0,TORRANCE,FIRE,ADMIN ANALYST -TIER 1,0.0,100002.0,29245.0,LOS ANGELES,100002.0,0.0,100002.0,29245.0,100002.0,True,TORRANCE_CITY
1187395,2018,CITY,148054.0,TORRANCE,FIRE,ADMIN. SERVICES MANAGER,0.0,135762.0,26225.0,LOS ANGELES,135762.0,0.0,135762.0,26225.0,135762.0,True,TORRANCE_CITY
1187396,2018,CITY,148054.0,TORRANCE,FIRE,ADMINISTRATIVE ASSISTANT,533.0,56871.0,25531.0,LOS ANGELES,56338.0,533.0,56871.0,25531.0,56338.0,True,TORRANCE_CITY
1187397,2018,CITY,148054.0,TORRANCE,FIRE,ADMINISTRATIVE ASSISTANT,3283.0,46735.0,14029.0,LOS ANGELES,43452.0,3283.0,46735.0,14029.0,43452.0,True,TORRANCE_CITY
1187398,2018,CITY,148054.0,TORRANCE,FIRE,ADMINISTRATIVE ASSISTANT,3833.0,55177.0,15568.0,LOS ANGELES,51344.0,3833.0,55177.0,15568.0,51344.0,True,TORRANCE_CITY
1187399,2018,CITY,148054.0,TORRANCE,FIRE,"AIDE, OFFICE",0.0,1320.0,0.0,LOS ANGELES,1320.0,0.0,1320.0,0.0,1320.0,True,TORRANCE_CITY
1187400,2018,CITY,148054.0,TORRANCE,FIRE,DEPUTY FIRE CHIEF,0.0,287556.0,139468.0,LOS ANGELES,287556.0,0.0,287556.0,139468.0,287556.0,True,TORRANCE_CITY
1187401,2018,CITY,148054.0,TORRANCE,FIRE,EMERGENCY MED.SVCS COORDINATOR,0.0,73932.0,21714.0,LOS ANGELES,73932.0,0.0,73932.0,21714.0,73932.0,True,TORRANCE_CITY
1187402,2018,CITY,148054.0,TORRANCE,FIRE,EMERGENCY MED.SVCS COORDINATOR,0.0,19120.0,3931.0,LOS ANGELES,19120.0,0.0,19120.0,3931.0,19120.0,True,TORRANCE_CITY
1187403,2018,CITY,148054.0,TORRANCE,FIRE,EMERGENCY SERVICES MANAGER,0.0,80562.0,15388.0,LOS ANGELES,80562.0,0.0,80562.0,15388.0,80562.0,True,TORRANCE_CITY
1187404,2018,CITY,148054.0,TORRANCE,FIRE,FIRE BATTALION CHIEF-MANAGER,8794.0,309229.0,148056.0,LOS ANGELES,300435.0,8794.0,309229.0,148056.0,300435.0,True,TORRANCE_CITY
1187405,2018,CITY,148054.0,TORRANCE,FIRE,FIRE BATTALION CHIEF-MANAGER,0.0,4871.0,2404.0,LOS ANGELES,4871.0,0.0,4871.0,2404.0,4871.0,True,TORRANCE_CITY
1187406,2018,CITY,148054.0,TORRANCE,FIRE,FIRE BATTALION CHIEF-MANAGER,45812.0,349429.0,157141.0,LOS ANGELES,303617.0,45812.0,349429.0,157141.0,303617.0,True,TORRANCE_CITY
1187407,2018,CITY,148054.0,TORRANCE,FIRE,FIRE BATTALION CHIEF-MANAGER,25920.0,308973.0,144029.0,LOS ANGELES,283053.0,25920.0,308973.0,144029.0,283053.0,True,TORRANCE_CITY
1187408,2018,CITY,148054.0,TORRANCE,FIRE,FIRE BATTALION CHIEF-MANAGER,3725.0,335248.0,145778.0,LOS ANGELES,331523.0,3725.0,335248.0,145778.0,331523.0,True,TORRANCE_CITY
1187409,2018,CITY,148054.0,TORRANCE,FIRE,FIRE BATTALION CHIEF-MANAGER,7003.0,236993.0,135202.0,LOS ANGELES,229990.0,7003.0,236993.0,135202.0,229990.0,True,TORRANCE_CITY
1187410,2018,CITY,148054.0,TORRANCE,FIRE,FIRE BATTALION CHIEF-MANAGER,0.0,7224.0,3152.0,LOS ANGELES,7224.0,0.0,7224.000000000001,3152.0,7224.000000000001,True,TORRANCE_CITY
1187411,2018,CITY,148054.0,TORRANCE,FIRE,FIRE BATTALION CHIEF-MANAGER,6974.0,312768.0,154518.0,LOS ANGELES,305794.0,6974.000000000001,312768.0,154518.0,305794.0,True,TORRANCE_CITY
1187412,2018,CITY,148054.0,TORRANCE,FIRE,FIRE CADET,0.0,5120.0,0.0,LOS ANGELES,5120.0,0.0,5120.0,0.0,5120.0,True,TORRANCE_CITY
1187413,2018,CITY,148054.0,TORRANCE,FIRE,FIRE CADET,0.0,42.0,0.0,LOS ANGELES,42.0,0.0,42.0,0.0,42.0,True,TORRANCE_CITY
1187414,2018,CITY,148054.0,TORRANCE,FIRE,FIRE CADET,0.0,1456.0,0.0,LOS ANGELES,1456.0,0.0,1456.0,0.0,1456.0,True,TORRANCE_CITY
1187415,2018,CITY,148054.0,TORRANCE,FIRE,FIRE CADET,0.0,5843.0,1117.0,LOS ANGELES,5843.0,0.0,5843.0,1117.0,5843.0,True,TORRANCE_CITY
1187416,2018,CITY,148054.0,TORRANCE,FIRE,FIRE CAPTAIN,94800.0,268921.0,108078.0,LOS ANGELES,174121.0,94800.0,268921.0,108078.0,174121.0,True,TORRANCE_CITY
1187417,2018,CITY,148054.0,TORRANCE,FIRE,FIRE CAPTAIN,88616.0,258743.0,97828.0,LOS ANGELES,170127.0,88616.0,258743.0,97828.0,170127.0,True,TORRANCE_CITY
1187418,2018,CITY,148054.0,TORRANCE,FIRE,FIRE CAPTAIN,75288.0,217922.0,90292.0,LOS ANGELES,142634.0,75288.0,217922.0,90292.0,142634.0,True,TORRANCE_CITY
1187419,2018,CITY,148054.0,TORRANCE,FIRE,FIRE CAPTAIN,28870.0,171638.0,89115.0,LOS ANGELES,142768.0,28870.0,171638.0,89115.0,142768.0,True,TORRANCE_CITY
1187420,2018,CITY,148054.0,TORRANCE,FIRE,FIRE CAPTAIN,58023.0,204972.0,96838.0,LOS ANGELES,146949.0,58023.0,204972.0,96838.0,146949.0,True,TORRANCE_CITY
