index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,adjusted_overtime,adjusted_wages,adjusted_benefits,employer_full,fire
7387386,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,BUSINESS SERVICES DEPARTMENT,ASSISTANT PURCHASING AGENT,319.0,103569.0,14064.0,ORANGE,319.0,103569.0,14064.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387388,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,BUSINESS SERVICES DEPARTMENT,ASSISTANT PURCHASING AGENT,4250.0,81274.0,21945.0,ORANGE,4250.0,81274.0,21945.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387442,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,COMMAND AND EMERGENCY PLANNING,FIRE BATTALION CHIEF,86404.0,275676.0,74125.0,ORANGE,86404.0,275676.0,74125.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387443,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,COMMAND AND EMERGENCY PLANNING,FIRE BATTALION CHIEF,71446.0,253359.0,74580.0,ORANGE,71446.0,253359.0,74580.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387444,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,COMMAND AND EMERGENCY PLANNING,FIRE BATTALION CHIEF,184602.0,365143.0,73109.0,ORANGE,184602.0,365143.0,73109.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387445,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,COMMAND AND EMERGENCY PLANNING,FIRE CAPTAIN,83526.0,239298.0,66664.0,ORANGE,83526.0,239298.0,66664.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387486,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,COMMAND AND EMERGENCY PLANNING,FIRE DIVISION CHIEF,169938.0,380528.0,79592.0,ORANGE,169938.0,380528.0,79592.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387491,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,COMMUNITY RISK REDUCTION DEPARTMENT,ASSISTANT FIRE MARSHAL,58979.0,195004.0,42487.0,ORANGE,58979.0,195004.0,42487.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387493,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,COMMUNITY RISK REDUCTION DEPARTMENT,ASSISTANT FIRE MARSHAL,13700.0,139898.0,32158.0,ORANGE,13700.0,139898.0,32158.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
7387494,2018,SPECIAL DISTRICT,0.0,ORANGE COUNTY FIRE AUTHORITY,COMMUNITY RISK REDUCTION DEPARTMENT,ASSISTANT FIRE MARSHAL,306.0,140961.0,34800.0,ORANGE,306.0,140961.0,34800.0,ORANGE_COUNTY_FIRE_AUTHORITY_SPECIAL_DISTRICT,True
