index,year,type,population,employer,department,position,overtime,wages,benefits,employercounty,adjusted_overtime,adjusted_wages,adjusted_benefits,employerfull,fire
934240,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,3688.0,19546.0,3814.0,LOS ANGELES,3688.0,19546.0,3814.0,GLENDALE_CITY,True
934241,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,10947.0,30140.0,4628.0,LOS ANGELES,10947.0,30139.999999999996,4628.0,GLENDALE_CITY,True
934242,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,4083.0,21942.0,4315.0,LOS ANGELES,4083.0,21942.0,4315.0,GLENDALE_CITY,True
934243,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,7091.0,25034.0,4395.0,LOS ANGELES,7091.0,25034.0,4395.0,GLENDALE_CITY,True
934244,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,5856.0,16783.0,2569.0,LOS ANGELES,5856.0,16783.0,2569.0,GLENDALE_CITY,True
934245,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,9967.0,29171.0,7157.0,LOS ANGELES,9967.0,29171.0,7157.0,GLENDALE_CITY,True
934246,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,4865.0,19526.0,5841.0,LOS ANGELES,4865.0,19526.0,5841.0,GLENDALE_CITY,True
934247,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,11718.0,24042.0,3192.0,LOS ANGELES,11718.0,24042.0,3192.0,GLENDALE_CITY,True
934248,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,1406.0,9164.0,2875.0,LOS ANGELES,1406.0,9164.0,2875.0,GLENDALE_CITY,True
934249,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,1329.0,9384.0,3577.0,LOS ANGELES,1329.0,9384.0,3577.0,GLENDALE_CITY,True
934250,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,813.0,9391.0,2222.0,LOS ANGELES,813.0,9391.0,2222.0,GLENDALE_CITY,True
934251,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,4659.0,15354.0,4164.0,LOS ANGELES,4659.0,15354.0,4164.0,GLENDALE_CITY,True
934252,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,3384.0,14130.0,2783.0,LOS ANGELES,3384.0,14130.0,2783.0,GLENDALE_CITY,True
934253,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,1209.0,11684.0,2713.0,LOS ANGELES,1209.0,11684.0,2713.0,GLENDALE_CITY,True
934254,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,5752.0,17604.0,3070.0,LOS ANGELES,5752.0,17604.0,3070.0,GLENDALE_CITY,True
934255,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,1055.0,8712.0,3542.0,LOS ANGELES,1055.0,8712.0,3542.0,GLENDALE_CITY,True
934256,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,352.0,8655.0,2150.0,LOS ANGELES,352.0,8655.0,2150.0,GLENDALE_CITY,True
934257,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,7285.0,17798.0,4213.0,LOS ANGELES,7284.999999999999,17798.0,4213.0,GLENDALE_CITY,True
934258,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,1247.0,7224.0,1548.0,LOS ANGELES,1247.0,7224.000000000001,1548.0,GLENDALE_CITY,True
934259,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,5536.0,36054.0,2321.0,LOS ANGELES,5536.0,36054.0,2321.0,GLENDALE_CITY,True
934260,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,1423.0,3007.0,358.0,LOS ANGELES,1423.0,3007.0,358.0,GLENDALE_CITY,True
934261,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,2033.0,5150.0,704.0,LOS ANGELES,2033.0,5150.0,704.0,GLENDALE_CITY,True
934262,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,2540.0,17960.0,3682.0,LOS ANGELES,2540.0,17960.0,3682.0,GLENDALE_CITY,True
934263,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,12805.0,32982.0,4535.0,LOS ANGELES,12805.0,32982.0,4535.000000000001,GLENDALE_CITY,True
934264,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,0.0,7102.0,1539.0,LOS ANGELES,0.0,7102.0,1539.0,GLENDALE_CITY,True
934265,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,25041.0,52605.0,6837.0,LOS ANGELES,25041.0,52605.0,6837.0,GLENDALE_CITY,True
934266,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,20667.0,52903.0,7612.0,LOS ANGELES,20667.0,52903.0,7612.0,GLENDALE_CITY,True
934267,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,20558.0,53985.0,7912.0,LOS ANGELES,20558.0,53985.0,7912.0,GLENDALE_CITY,True
934268,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,18084.0,36552.0,6842.0,LOS ANGELES,18084.0,36552.0,6842.0,GLENDALE_CITY,True
934269,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,3914.0,11250.0,1857.0,LOS ANGELES,3914.0,11250.0,1857.0,GLENDALE_CITY,True
934270,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,18375.0,46232.0,10674.0,LOS ANGELES,18375.0,46232.0,10674.0,GLENDALE_CITY,True
934271,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,5055.0,37340.0,8484.0,LOS ANGELES,5055.0,37340.0,8484.0,GLENDALE_CITY,True
934272,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,14952.0,30168.0,8807.0,LOS ANGELES,14952.0,30168.0,8807.0,GLENDALE_CITY,True
934273,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,2349.0,8388.0,1363.0,LOS ANGELES,2349.0,8388.0,1363.0,GLENDALE_CITY,True
934274,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,10479.0,21088.0,3703.0,LOS ANGELES,10479.0,21088.0,3703.0,GLENDALE_CITY,True
934275,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,7612.0,13937.0,2242.0,LOS ANGELES,7612.0,13937.0,2242.0,GLENDALE_CITY,True
934276,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,4918.0,36350.0,10478.0,LOS ANGELES,4918.0,36350.0,10478.0,GLENDALE_CITY,True
934277,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,11340.0,27270.0,4984.0,LOS ANGELES,11340.0,27270.0,4984.0,GLENDALE_CITY,True
934278,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR,7251.0,41999.0,9570.0,LOS ANGELES,7251.0,41999.0,9570.000000000002,GLENDALE_CITY,True
934279,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR COORD,0.0,12103.0,6741.0,LOS ANGELES,0.0,12103.0,6741.0,GLENDALE_CITY,True
934280,2018,CITY,206283.0,GLENDALE,FIRE,AMBULANCE OPERATOR COORD,0.0,17720.0,4209.0,LOS ANGELES,0.0,17720.0,4209.0,GLENDALE_CITY,True
934281,2018,CITY,206283.0,GLENDALE,FIRE,ASST FIRE MARSHAL,0.0,149298.0,47345.0,LOS ANGELES,0.0,149298.0,47345.0,GLENDALE_CITY,True
934282,2018,CITY,206283.0,GLENDALE,FIRE,CITY RESOURCE SPECIALIST,0.0,11888.0,155.0,LOS ANGELES,0.0,11888.0,155.0,GLENDALE_CITY,True
934283,2018,CITY,206283.0,GLENDALE,FIRE,CITY RESOURCE SPECIALIST,0.0,68324.0,16314.0,LOS ANGELES,0.0,68324.0,16314.0,GLENDALE_CITY,True
934284,2018,CITY,206283.0,GLENDALE,FIRE,DEPUTY FIRE CHIEF 40 HR,1220.0,237674.0,119299.0,LOS ANGELES,1220.0,237674.0,119299.0,GLENDALE_CITY,True
934285,2018,CITY,206283.0,GLENDALE,FIRE,DEPUTY FIRE CHIEF 40 HR,0.0,197163.0,100108.0,LOS ANGELES,0.0,197163.0,100108.0,GLENDALE_CITY,True
934286,2018,CITY,206283.0,GLENDALE,FIRE,EXECUTIVE ADMIN/VERDUGO FIRE,0.0,7635.0,1860.0,LOS ANGELES,0.0,7635.0,1860.0,GLENDALE_CITY,True
934287,2018,CITY,206283.0,GLENDALE,FIRE,FIRE BATTALION CHIEF,27927.0,200123.0,96401.0,LOS ANGELES,27927.0,200123.0,96401.0,GLENDALE_CITY,True
934288,2018,CITY,206283.0,GLENDALE,FIRE,FIRE BATTALION CHIEF,56247.0,232401.0,80748.0,LOS ANGELES,56247.0,232401.0,80748.0,GLENDALE_CITY,True
934289,2018,CITY,206283.0,GLENDALE,FIRE,FIRE BATTALION CHIEF,24297.0,211818.0,101059.0,LOS ANGELES,24297.0,211818.0,101059.0,GLENDALE_CITY,True
934290,2018,CITY,206283.0,GLENDALE,FIRE,FIRE BATTALION CHIEF 40 HR,5788.0,184331.0,98470.0,LOS ANGELES,5788.0,184331.0,98470.0,GLENDALE_CITY,True
934291,2018,CITY,206283.0,GLENDALE,FIRE,FIRE BATTALION CHIEF 40 HR,37626.0,238694.0,107797.0,LOS ANGELES,37626.0,238694.0,107797.0,GLENDALE_CITY,True
934292,2018,CITY,206283.0,GLENDALE,FIRE,FIRE BATTALION CHIEF 40 HR,45460.0,236430.0,108054.0,LOS ANGELES,45460.0,236430.0,108054.0,GLENDALE_CITY,True
934293,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,74192.0,216224.0,70040.0,LOS ANGELES,74192.0,216224.0,70040.0,GLENDALE_CITY,True
934294,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,1985.0,11533.0,3197.0,LOS ANGELES,1985.0,11533.0,3197.0,GLENDALE_CITY,True
934295,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,0.0,195.0,3183.0,LOS ANGELES,0.0,195.0,3183.0,GLENDALE_CITY,True
934296,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,88886.0,219156.0,64873.0,LOS ANGELES,88886.0,219156.0,64873.0,GLENDALE_CITY,True
934297,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,163225.0,304680.0,83159.0,LOS ANGELES,163225.0,304680.0,83159.0,GLENDALE_CITY,True
934298,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,46999.0,151925.0,80466.0,LOS ANGELES,46999.0,151925.0,80466.0,GLENDALE_CITY,True
934299,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,107963.0,239559.0,78385.0,LOS ANGELES,107963.0,239559.0,78385.0,GLENDALE_CITY,True
934300,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,44726.0,180052.0,83423.0,LOS ANGELES,44726.0,180052.0,83423.0,GLENDALE_CITY,True
934301,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,68241.0,207606.0,83423.0,LOS ANGELES,68241.0,207606.0,83423.0,GLENDALE_CITY,True
934302,2018,CITY,206283.0,GLENDALE,FIRE,FIRE CAPTAIN,140982.0,285382.0,70689.0,LOS ANGELES,140982.0,285382.0,70689.0,GLENDALE_CITY,True
