name,year,prop100k
Ahn,2000,3.01
Ahn,2010,3.58
Bae,2000,1.5
Bae,2010,2.1
Cha,2000,2.85
Cha,2010,3.3
Chang,2000,25.86
Chang,2010,27.78
Cho,2000,9.38
Cho,2010,11.35
Choe,2000,2.57
Choe,2010,2.64
Choi,2000,13.49
Choi,2010,17.22
Chun,2000,4.13
Chun,2010,4.45
Chung,2000,13.5
Chung,2010,14.61
Ha,2000,4.81
Ha,2010,6.16
Hahn,2000,14.22
Hahn,2010,13.65
Han,2000,7.53
Han,2010,10.12
Hong,2000,8.9
Hong,2010,10.74
Hwang,2000,5.05
Hwang,2010,6.07
Im,2000,1.42
Im,2010,1.66
Jang,2000,2.14
Jang,2010,3.09
Jun,2000,1.16
Jun,2010,1.38
Jung,2000,6.45
Jung,2010,8.14
Kang,2000,8.74
Kang,2010,10.92
Kim,2000,71.94
Kim,2010,88.94
Ko,2000,3.89
Ko,2010,4.51
Koh,2000,1.07
Koh,2010,1.22
Kwak,2000,1.36
Kwak,2010,1.58
Kwon,2000,3.49
Kwon,2010,4.49
Lee,2000,224.59
Lee,2010,234.94
Lim,2000,10.17
Lim,2010,12.55
Min,2000,1.86
Min,2010,2.37
Moon,2000,15.59
Moon,2010,15.43
Nam,2000,1.64
Nam,2010,2.12
Oh,2000,4.95
Oh,2010,6.2
Pak,2000,3.66
Pak,2010,3.68
Park,2000,30.36
Park,2010,36.17
Rhee,2000,1.28
Rhee,2010,1.38
Shim,2000,1.5
Shim,2010,1.68
Shin,2000,5.88
Shin,2010,7.37
Sohn,2000,1.5
Sohn,2010,1.63
Son,2000,2.91
Son,2010,3.42
Song,2000,6.25
Song,2010,8.51
Suh,2000,2.0
Suh,2010,2.4
Sung,2000,2.02
Sung,2010,2.5
Yang,2000,26.92
Yang,2010,35.95
Yi,2000,5.65
Yi,2010,6.08
Yim,2000,2.01
Yim,2010,2.08
Yoo,2000,3.65
Yoo,2010,4.48
Yoon,2000,4.29
Yoon,2010,5.4
Yu,2000,13.45
Yu,2010,17.64
Yun,2000,2.57
Yun,2010,3.03
