name,2000,2010,change
Aaron,5.52,5.52,0.0
Abad,1.78,2.19,23.03
Abarca,2.16,3.17,46.76
Abate,1.44,1.47,2.08
Abbas,1.19,1.69,42.02
Abbey,1.85,1.75,-5.41
Abbott,19.14,17.88,-6.58
Abdalla,,1.09,
Abdallah,1.07,1.4,30.84
Abdi,,2.54,
Abdullah,2.17,2.82,29.95
Abe,1.11,1.0,-9.91
Abel,6.76,6.26,-7.4
Abell,2.54,2.49,-1.97
Abercrombie,2.25,2.18,-3.11
Abernathy,6.0,5.58,-7.0
Abeyta,2.09,2.05,-1.91
Ables,1.83,1.7,-7.1
Abner,1.88,1.89,0.53
Abney,3.61,3.37,-6.65
Abraham,9.54,10.61,11.22
Abrahamson,1.8,1.68,-6.67
Abram,1.9,1.87,-1.58
Abrams,9.25,8.66,-6.38
Abramson,1.85,1.65,-10.81
Abrego,2.0,2.61,30.5
Abreu,4.82,6.1,26.56
Absher,1.21,1.15,-4.96
Abshire,1.71,1.62,-5.26
Acevedo,14.17,17.41,22.87
Aceves,2.78,3.34,20.14
Acker,3.81,3.57,-6.3
Ackerman,9.22,8.61,-6.62
Ackerson,1.18,1.11,-5.93
Ackley,2.56,2.41,-5.86
Acord,1.29,1.18,-8.53
Acosta,28.35,35.06,23.67
Acree,1.6,1.53,-4.38
Acton,1.73,1.66,-4.05
Acuna,4.65,5.66,21.72
Adair,6.66,6.34,-4.8
Adam,4.53,4.6,1.55
Adamczyk,1.02,,
Adame,4.39,5.49,25.06
Adames,1.22,1.56,27.87
Adamo,1.3,1.24,-4.62
Adams,153.13,145.05,-5.28
Adamski,1.35,1.21,-10.37
Adamson,5.96,5.6,-6.04
Adan,,1.21,
Adcock,4.65,4.27,-8.17
Addington,1.83,1.68,-8.2
Addis,1.25,1.21,-3.2
Addison,6.11,6.16,0.82
Adelman,1.51,1.4,-7.28
Aden,1.03,1.6,55.34
Adkins,26.52,24.95,-5.92
Adkison,1.11,1.08,-2.7
Adkisson,1.08,1.01,-6.48
Adler,6.04,5.56,-7.95
Adorno,1.18,1.28,8.47
Adrian,1.94,1.87,-3.61
Agarwal,,1.84,
Agee,3.93,3.68,-6.36
Agnew,3.58,3.34,-6.7
Agosto,1.68,1.9,13.1
Agrawal,,1.13,
Aguayo,3.66,4.37,19.4
Aguero,1.77,2.17,22.6
Aguiar,2.6,2.84,9.23
Aguila,1.6,2.07,29.37
Aguilar,46.86,63.23,34.93
Aguilera,8.04,10.71,33.21
Aguillon,,1.04,
Aguinaga,1.26,1.63,29.37
Aguirre,21.84,26.96,23.44
Agustin,1.48,2.16,45.95
Ahearn,1.69,1.57,-7.1
Ahern,2.98,2.79,-6.38
Ahlers,1.02,,
Ahmad,4.22,5.52,30.81
Ahmed,9.86,16.38,66.13
Ahn,3.01,3.58,18.94
Aho,1.3,1.31,0.77
Ahrens,3.67,3.45,-5.99
Ahumada,1.36,1.67,22.79
Aiello,3.29,3.03,-7.9
Aiken,4.45,4.34,-2.47
Aikens,1.64,1.67,1.83
Ainsworth,3.37,3.1,-8.01
Aitken,1.54,1.47,-4.55
Aker,1.17,1.16,-0.85
Akers,9.03,8.57,-5.09
Akhtar,,1.44,
Akin,3.11,2.92,-6.11
Akins,6.25,6.06,-3.04
Alam,1.65,2.69,63.03
Alamo,,1.17,
Alanis,2.81,3.74,33.1
Alaniz,5.25,5.63,7.24
Alarcon,4.75,6.38,34.32
Alas,1.0,1.48,48.0
Alatorre,1.24,1.61,29.84
Alba,3.66,4.52,23.5
Albanese,2.33,2.17,-6.87
Albano,2.02,1.99,-1.49
Albarran,1.54,2.16,40.26
Albaugh,1.11,1.05,-5.41
Albers,3.53,3.31,-6.23
Albert,11.55,11.02,-4.59
