name,pct_week_8,pct_week_9,pct_week_10,pct_week_11,pct_week_12,pct_week_13,pct_week_14,pct_week_15
 Agoura Hills,21.82,21.82,23.79,28.7,33.08,38.91,42.45,47.18
 Alhambra,18.68,18.68,20.93,26.57,31.19,37.35,40.67,45.1
 Arcadia,20.9,20.9,22.85,27.74,31.99,37.66,41.27,46.08
 Artesia,20.83,20.83,22.23,25.73,29.82,35.27,38.27,42.27
 Avalon,10.0,10.0,10.16,10.57,10.44,10.27,10.34,10.43
 Azusa,12.6,12.6,13.95,17.34,21.16,26.25,28.48,31.45
 Baldwin Park,13.35,13.35,14.98,19.06,23.46,29.32,32.1,35.81
 Bell,8.72,8.72,10.17,13.8,17.49,22.41,25.5,29.62
 Bell Gardens,8.87,8.87,10.23,13.63,16.9,21.25,23.83,27.27
 Bellflower,13.14,13.14,14.53,18.01,21.64,26.47,28.89,32.12
 Beverly Hills,32.02,32.02,33.79,38.21,41.32,45.46,48.13,51.69
 Bradbury,16.22,16.22,17.45,20.54,22.53,25.19,30.29,37.09
 Burbank,15.93,15.93,17.63,21.89,26.07,31.65,35.3,40.17
 Calabasas,26.78,26.78,28.52,32.88,36.88,42.22,45.78,50.52
 Carson,21.0,21.0,22.64,26.73,30.51,35.55,38.22,41.79
 Cerritos,27.06,27.06,28.99,33.8,38.41,44.55,47.77,52.07
 Claremont,23.06,23.06,25.17,30.43,34.07,38.93,41.63,45.23
 Commerce,13.65,13.65,15.76,21.05,25.45,31.32,34.47,38.66
 Compton,7.96,7.96,9.03,11.71,14.69,18.67,20.79,23.61
 Covina,17.5,17.5,19.4,24.14,28.88,35.2,37.78,41.23
 Cudahy,7.0,7.0,8.37,11.78,15.02,19.34,22.01,25.56
 Culver City,22.67,22.67,24.87,30.36,35.38,42.08,46.62,52.67
 Diamond Bar,19.36,19.36,21.21,25.84,30.96,37.78,41.11,45.56
 Downey,15.39,15.39,17.35,22.25,26.49,32.15,34.94,38.67
 Duarte,22.01,22.01,23.76,28.15,32.67,38.7,41.1,44.29
 El Monte,12.2,12.2,13.81,17.83,22.25,28.15,30.92,34.62
 El Segundo,16.14,16.14,18.12,23.06,27.58,33.6,38.07,44.03
 Gardena,18.19,18.19,19.85,24.0,27.8,32.87,35.55,39.12
 Glendale,17.11,17.11,18.45,21.81,24.69,28.53,31.03,34.37
 Glendora,20.56,20.56,22.31,26.68,30.9,36.52,38.82,41.88
 Hawaiian Gardens,9.04,9.04,10.13,12.86,16.39,21.09,24.12,28.17
 Hawthorne,11.24,11.24,12.64,16.14,19.86,24.83,27.27,30.53
 Hermosa Beach,18.44,18.44,20.19,24.55,29.23,35.46,40.44,47.08
 Hidden Hills,25.38,25.38,26.66,29.86,32.75,36.6,40.35,45.34
 Huntington Park,9.21,9.21,10.53,13.84,17.36,22.05,24.69,28.2
 Industry,70.91,70.91,77.22,92.99,92.99,,,
 Inglewood,11.22,11.22,12.78,16.68,20.4,25.37,27.68,30.76
 Irwindale,14.69,14.69,16.5,21.04,28.11,37.54,41.14,45.94
 La Canada Flintridge,28.25,28.25,30.16,34.95,38.9,44.16,47.84,52.74
 La Habra Heights,10.69,10.69,11.92,14.98,17.02,19.73,21.61,24.12
 La Mirada,17.4,17.4,19.1,23.36,27.48,32.98,35.88,39.75
 La Puente,11.47,11.47,12.94,16.6,21.04,26.95,29.48,32.86
 La Verne,20.94,20.94,22.76,27.3,31.19,36.37,38.74,41.89
 Lakewood,17.94,17.94,19.73,24.2,28.52,34.29,37.1,40.85
 Lancaster,9.85,9.85,10.91,13.57,16.9,21.34,23.37,26.07
 Lawndale,9.94,9.94,11.43,15.16,19.2,24.59,27.43,31.21
 Lomita,16.66,16.66,18.45,22.94,26.89,32.15,34.72,38.15
