name,pct_week_15,total_pop
Los Angeles - Cheviot Hills,63.66,8640
Los Angeles - Rancho Park,62.71,6367
Los Angeles - Century City,59.68,12434
Los Angeles - Pacific Palisades,56.17,18049
Los Angeles - Playa Vista,55.74,14094
Rolling Hills Estates,55.39,9447
Los Angeles - Encino,54.11,48064
Los Angeles - Beverly Crest,54.03,10869
Sierra Madre,53.69,10930
San Marino,53.29,13218
