area,vaccinations,pop_2019,vaccinations_pct,update_date
City of Agoura Hills,5008,17447,28.7,2021-03-25
City of Alhambra,18947,71313,26.6,2021-03-25
City of Arcadia,13777,49666,27.7,2021-03-25
City of Artesia,3571,13877,25.7,2021-03-25
City of Avalon,317,3000,10.6,2021-03-25
City of Azusa,6903,39805,17.3,2021-03-25
City of Baldwin Park,11103,58253,19.1,2021-03-25
City of Bell,3691,26746,13.8,2021-03-25
City of Bell Gardens,4205,30840,13.6,2021-03-25
City of Bellflower,10726,59564,18,2021-03-25
City of Beverly Hills,11333,29659,38.2,2021-03-25
City of Bradbury,190,925,20.5,2021-03-25
City of Burbank,19107,87289,21.9,2021-03-25
City of Calabasas,6573,19988,32.9,2021-03-25
City of Carson,20118,75272,26.7,2021-03-25
City of Cerritos,14738,43608,33.8,2021-03-25
City of Claremont,9626,31632,30.4,2021-03-25
City of Commerce,2058,9779,21,2021-03-25
City of Compton,8294,70809,11.7,2021-03-25
City of Covina,9334,38659,24.1,2021-03-25
City of Cudahy,2059,17477,11.8,2021-03-25
City of Culver City,9969,32840,30.4,2021-03-25
City of Diamond Bar,12562,48623,25.8,2021-03-25
City of Downey,19642,88272,22.3,2021-03-25
City of Duarte,4969,17654,28.1,2021-03-25
City of El Monte,15840,88826,17.8,2021-03-25
City of El Segundo,3233,14019,23.1,2021-03-25
City of Gardena,11599,48335,24,2021-03-25
City of Glendale,37775,173192,21.8,2021-03-25
City of Glendora,11440,42883,26.7,2021-03-25
City of Hawaiian Gardens,1380,10728,12.9,2021-03-25
City of Hawthorne,10619,65780,16.1,2021-03-25
City of Hermosa Beach,4023,16389,24.5,2021-03-25
City of Hidden Hills,487,1631,29.9,2021-03-25
City of Huntington Park,6030,43564,13.8,2021-03-25
City of Industry,358,385,93,2021-03-25
City of Inglewood,14407,86385,16.7,2021-03-25
City of Irwindale,255,1212,21,2021-03-25
City of La Canada Flintridge,6222,17805,34.9,2021-03-25
City of La Habra Heights,716,4779,15,2021-03-25
City of La Mirada,9531,40803,23.4,2021-03-25
City of La Puente,5155,31049,16.6,2021-03-25
City of La Verne,7623,27927,27.3,2021-03-25
City of Lakewood,15661,64711,24.2,2021-03-25
City of Lancaster,16306,120142,13.6,2021-03-25
City of Lawndale,3871,25528,15.2,2021-03-25
City of Lomita,3778,16469,22.9,2021-03-25
City of Long Beach,81544,369335,22.1,2021-03-25
City of Lynwood,7487,51504,14.5,2021-03-25
City of Malibu,2530,10697,23.7,2021-03-25
City of Manhattan Beach,8774,28733,30.5,2021-03-25
City of Maywood,2757,20131,13.7,2021-03-25
City of Monrovia,7524,30249,24.9,2021-03-25
City of Montebello,10935,49946,21.9,2021-03-25
City of Monterey Park,14537,51545,28.2,2021-03-25
City of Norwalk,16493,82126,20.1,2021-03-25
City of Palmdale,16055,117298,13.7,2021-03-25
City of Palos Verdes Estates,4088,11696,35,2021-03-25
City of Paramount,5963,40656,14.7,2021-03-25
City of Pasadena,34819,117771,29.6,2021-03-25
City of Pico Rivera,11078,49558,22.4,2021-03-25
City of Pomona,19002,115688,16.4,2021-03-25
City of Rancho Palos Verdes,12486,36530,34.2,2021-03-25
City of Redondo Beach,13773,54241,25.4,2021-03-25
City of Rolling Hills,591,1722,34.3,2021-03-25
City of Rolling Hills Estates,2663,7093,37.5,2021-03-25
City of Rosemead,10276,44628,23,2021-03-25
City of San Dimas,7750,29065,26.7,2021-03-25
City of San Fernando,3164,18698,16.9,2021-03-25
