name,pct_week_9,pct_week_10,pct_week_11,pct_week_12,pct_week_13,pct_week_14,pct_week_15
 Agoura Hills,21.82,21.82,28.7,28.7,38.91,38.91,47.18
 Alhambra,18.68,18.68,26.57,26.57,37.35,37.35,45.1
 Arcadia,20.9,20.9,27.74,27.74,37.66,37.66,46.08
 Artesia,20.83,20.83,25.73,25.73,35.27,35.27,42.27
 Avalon,10.0,10.0,10.57,10.57,10.27,10.27,10.43
 Azusa,12.6,12.6,17.34,17.34,26.25,26.25,31.45
 Baldwin Park,13.35,13.35,19.06,19.06,29.32,29.32,35.81
 Bell,8.72,8.72,13.8,13.8,22.41,22.41,29.62
 Bell Gardens,8.87,8.87,13.63,13.63,21.25,21.25,27.27
 Bellflower,13.14,13.14,18.01,18.01,26.47,26.47,32.12
 Beverly Hills,32.02,32.02,38.21,38.21,45.46,45.46,51.69
 Bradbury,16.22,16.22,20.54,20.54,25.19,25.19,37.09
 Burbank,15.93,15.93,21.89,21.89,31.65,31.65,40.17
 Calabasas,26.78,26.78,32.88,32.88,42.22,42.22,50.52
 Carson,21.0,21.0,26.73,26.73,35.55,35.55,41.79
 Cerritos,27.06,27.06,33.8,33.8,44.55,44.55,52.07
 Claremont,23.06,23.06,30.43,30.43,38.93,38.93,45.23
 Commerce,13.65,13.65,21.05,21.05,31.32,31.32,38.66
 Compton,7.96,7.96,11.71,11.71,18.67,18.67,23.61
 Covina,17.5,17.5,24.14,24.14,35.2,35.2,41.23
 Cudahy,7.0,7.0,11.78,11.78,19.34,19.34,25.56
 Culver City,22.67,22.67,30.36,30.36,42.08,42.08,52.67
 Diamond Bar,19.36,19.36,25.84,25.84,37.78,37.78,45.56
 Downey,15.39,15.39,22.25,22.25,32.15,32.15,38.67
 Duarte,22.01,22.01,28.15,28.15,38.7,38.7,44.29
 El Monte,12.2,12.2,17.83,17.83,28.15,28.15,34.62
 El Segundo,16.14,16.14,23.06,23.06,33.6,33.6,44.03
 Gardena,18.19,18.19,24.0,24.0,32.87,32.87,39.12
 Glendale,17.11,17.11,21.81,21.81,28.53,28.53,34.37
 Glendora,20.56,20.56,26.68,26.68,36.52,36.52,41.88
 Hawaiian Gardens,9.04,9.04,12.86,12.86,21.09,21.09,28.17
 Hawthorne,11.24,11.24,16.14,16.14,24.83,24.83,30.53
 Hermosa Beach,18.44,18.44,24.55,24.55,35.46,35.46,47.08
 Hidden Hills,25.38,25.38,29.86,29.86,36.6,36.6,45.34
 Huntington Park,9.21,9.21,13.84,13.84,22.05,22.05,28.2
 Industry,70.91,70.91,92.99,92.99,,,
 Inglewood,11.22,11.22,16.68,16.68,25.37,25.37,30.76
 Irwindale,14.69,14.69,21.04,21.04,37.54,37.54,45.94
 La Canada Flintridge,28.25,28.25,34.95,34.95,44.16,44.16,52.74
 La Habra Heights,10.69,10.69,14.98,14.98,19.73,19.73,24.12
 La Mirada,17.4,17.4,23.36,23.36,32.98,32.98,39.75
 La Puente,11.47,11.47,16.6,16.6,26.95,26.95,32.86
 La Verne,20.94,20.94,27.3,27.3,36.37,36.37,41.89
 Lakewood,17.94,17.94,24.2,24.2,34.29,34.29,40.85
 Lancaster,9.85,9.85,13.57,13.57,21.34,21.34,26.07
 Lawndale,9.94,9.94,15.16,15.16,24.59,24.59,31.21
 Lomita,16.66,16.66,22.94,22.94,32.15,32.15,38.15
 Long Beach,16.49,16.49,22.08,22.08,32.57,32.57,38.02
 Lynwood,9.84,9.84,14.54,14.54,23.46,23.46,30.62
 Malibu,18.78,18.78,23.65,23.65,31.39,31.39,38.38
 Manhattan Beach,24.22,24.22,30.54,30.54,41.84,41.84,51.79
 Maywood,9.02,9.02,13.7,13.7,22.46,22.46,28.99
 Monrovia,18.08,18.08,24.87,24.87,34.91,34.91,42.33
 Montebello,14.86,14.86,21.89,21.89,31.11,31.11,37.03
 Monterey Park,19.9,19.9,28.2,28.2,39.32,39.32,47.17
 Norwalk,14.17,14.17,20.08,20.08,29.7,29.7,35.92
 Palmdale,9.49,9.49,13.69,13.69,23.13,23.13,28.72
 Palos Verdes Estates,29.18,29.18,34.95,34.95,43.53,43.53,51.26
 Paramount,9.82,9.82,14.67,14.67,22.46,22.46,27.78
 Pasadena,22.16,22.16,29.57,29.57,40.5,40.5,47.65
 Pico Rivera,15.39,15.39,22.35,22.35,33.02,33.02,39.29
 Pomona,11.84,11.84,16.43,16.43,24.37,24.37,27.43
 Rancho Palos Verdes,27.82,27.82,34.18,34.18,42.66,42.66,50.23
