area,population,week_8,week_9,week_10,week_11,week_12,week_13,week_14,change_week8_to_14
City of Agoura Hills,17447.0,65.46,152.74,166.5,200.9,231.53,272.37,155.64,138.0
City of Agoura Hills,18019.0,,,,,,,47.18,
City of Alhambra,71313.0,56.04,130.76,146.54,185.99,218.33,261.45,149.4,167.0
City of Alhambra,72940.0,,,,,,,45.1,
City of Arcadia,49666.0,62.7,146.3,159.98,194.18,223.94,263.62,150.64,140.0
City of Arcadia,51103.0,,,,,,,46.08,
City of Artesia,13877.0,62.49,145.81,155.61,180.11,208.73,246.89,141.08,126.0
City of Artesia,14266.0,,,,,,,42.27,
City of Avalon,3000.0,30.0,70.0,71.14,73.99,73.09,71.89,41.08,37.0
City of Avalon,3077.0,,,,,,,10.43,
City of Azusa,39805.0,37.8,88.2,97.68,121.38,148.11,183.75,105.0,178.0
City of Azusa,41247.0,,,,,,,31.45,
City of Baldwin Park,58253.0,40.05,93.45,104.87,133.42,164.2,205.24,117.28,193.0
City of Baldwin Park,60553.0,,,,,,,35.81,
City of Bell,26746.0,26.16,61.04,71.2,96.6,122.43,156.87,89.64,243.0
City of Bell,27886.0,,,,,,,29.62,
City of Bell Gardens,30840.0,26.61,62.09,71.61,95.41,118.27,148.75,85.0,219.0
City of Bell Gardens,32283.0,,,,,,,27.27,
City of Bellflower,59564.0,39.42,91.98,101.72,126.07,151.45,185.29,105.88,169.0
City of Bellflower,61727.0,,,,,,,32.12,
City of Beverly Hills,29659.0,96.06,224.14,236.52,267.47,289.22,318.22,181.84,89.0
City of Beverly Hills,30382.0,,,,,,,51.69,
City of Bradbury,925.0,48.66,113.54,122.18,143.78,157.73,176.33,100.76,107.0
City of Bradbury,941.0,,,,,,,37.09,
City of Burbank,87289.0,47.79,111.51,123.43,153.23,182.51,221.55,126.6,165.0
City of Burbank,89490.0,,,,,,,40.17,
City of Calabasas,19988.0,80.34,187.46,199.66,230.16,258.18,295.54,168.88,110.0
City of Calabasas,20686.0,,,,,,,50.52,
City of Carson,75272.0,63.0,147.0,158.46,187.11,213.57,248.85,142.2,126.0
City of Carson,77526.0,,,,,,,41.79,
City of Cerritos,43608.0,81.18,189.42,202.9,236.6,268.85,311.85,178.2,120.0
City of Cerritos,44733.0,,,,,,,52.07,
City of Claremont,31632.0,69.18,161.42,176.16,213.01,238.51,272.51,155.72,125.0
City of Claremont,32385.0,,,,,,,45.23,
City of Commerce,9779.0,40.95,95.55,110.35,147.35,178.16,219.24,125.28,206.0
City of Commerce,10126.0,,,,,,,38.66,
City of Compton,70809.0,23.88,55.72,63.22,81.97,102.85,130.69,74.68,213.0
City of Compton,73961.0,,,,,,,23.61,
City of Covina,38659.0,52.5,122.5,135.78,168.98,202.16,246.4,140.8,168.0
City of Covina,39838.0,,,,,,,41.23,
City of Cudahy,17477.0,21.0,49.0,58.56,82.46,105.14,135.38,77.36,268.0
City of Cudahy,18295.0,,,,,,,25.56,
City of Culver City,32840.0,68.01,158.69,174.07,212.52,247.68,294.56,168.32,147.0
City of Culver City,33638.0,,,,,,,52.67,
City of Diamond Bar,48623.0,58.08,135.52,148.48,180.88,216.7,264.46,151.12,160.0
City of Diamond Bar,49867.0,,,,,,,45.56,
City of Downey,88272.0,46.17,107.73,121.45,155.75,185.45,225.05,128.6,179.0
City of Downey,91339.0,,,,,,,38.67,
City of Duarte,17654.0,66.03,154.07,166.35,197.05,228.7,270.9,154.8,134.0
City of Duarte,18158.0,,,,,,,44.29,
City of El Monte,88826.0,36.6,85.4,96.66,124.81,155.77,197.05,112.6,208.0
City of El Monte,92175.0,,,,,,,34.62,
City of El Segundo,14019.0,48.42,112.98,126.82,161.42,193.04,235.2,134.4,178.0
City of El Segundo,14398.0,,,,,,,44.03,
City of Gardena,48335.0,54.57,127.33,138.95,168.0,194.61,230.09,131.48,141.0
City of Gardena,49730.0,,,,,,,39.12,
City of Glendale,173192.0,51.33,119.77,129.17,152.67,172.83,199.71,114.12,122.0
City of Glendale,177007.0,,,,,,,34.37,
City of Glendora,42883.0,61.68,143.92,156.16,186.76,216.28,255.64,146.08,137.0
City of Glendora,44071.0,,,,,,,41.88,
City of Hawaiian Gardens,10728.0,27.12,63.28,70.92,90.02,114.71,147.63,84.36,211.0
City of Hawaiian Gardens,11169.0,,,,,,,28.17,
City of Hawthorne,65780.0,33.72,78.68,88.48,112.98,139.05,173.81,99.32,195.0
City of Hawthorne,68128.0,,,,,,,30.53,
City of Hermosa Beach,16389.0,55.32,129.08,141.3,171.85,204.58,248.22,141.84,156.0
City of Hermosa Beach,16777.0,,,,,,,47.08,
City of Hidden Hills,1631.0,76.14,177.66,186.62,209.02,229.24,256.2,146.4,92.0
