name,pct_week_8,pct_week_15,total_pop,totalpop_17andunder_percent,totalpop_65andup_percent,nonwhite_percentage,majority_white,majority_hispanic,median_householdincome,change_week8_to_15
Los Angeles - University Park,6.46,25.15,25962.486833595252,0.1196997168350922,0.06109862558347221,0.7854049211847479,False,False,24656.25697,289.0
Unincorporated - Littlerock/Pearblossom,5.59,21.74,6786.857582577381,0.2841083123670932,0.13955118039867906,0.7005747398184812,False,True,48752.94395,289.0
Los Angeles - Thai Town,7.21,27.97,9314.899543604412,0.10736754328483784,0.13028174567973502,0.5276632630321734,False,False,42919.83666,288.0
Unincorporated - Florence-Firestone,6.76,25.36,63373.648602640234,0.31763638164545904,0.06866162030519828,0.995204821025797,False,True,44489.45377,275.0
Unincorporated - Lennox,7.29,27.16,19025.32284556028,0.28587596853400604,0.06412091727410515,0.9837107633041556,False,True,51161.26784,273.0
Los Angeles - Alsace,8.49,29.92,10053.53274702968,0.20961154160423195,0.08914585704940466,0.9390444095930396,False,True,43093.107019999996,252.0
Los Angeles - Green Meadows,6.82,23.61,21718.39853052517,0.30890720227086177,0.07479533867808244,0.9943377352315532,False,True,41366.2288,246.0
Los Angeles - Florence-Firestone,6.59,22.81,48257.717134197956,0.31944199047652805,0.05525630985327135,0.9945134692922049,False,True,40483.50613,246.0
Los Angeles - Vernon Central,6.52,22.51,50398.002680667356,0.3236916980393169,0.06257399857707738,0.9966212740481571,False,True,40567.66783,245.0
Los Angeles - Echo Park,12.06,41.02,13606.416087973172,0.13464248731694714,0.1067887460557074,0.6082511165651934,False,False,80221.86168999999,240.0
