name,pct_week_9,pct_week_15,total_pop,totalpop_17andunder_percent,totalpop_65andup_percent,nonwhite_percentage,majority_white,majority_hispanic,median_householdincome,change_week9_to_15,name_clean
Los Angeles - Westwood,19.74,35.76,55923,0.0889213978076892,0.11981650250330107,0.48889963775207507,True,False,73222.64454,81.0,Westwood
Rancho Palos Verdes,27.82,50.23,38343,0.21377476378040866,0.2485900042478658,0.5012858192904719,False,False,134930.4724,81.0,Rancho Palos Verdes
Rolling Hills Estates,31.19,55.39,9447,0.22246823958797,0.24761914075431865,0.4343396637877149,True,False,165694.1008,78.0,Rolling Hills Estates
Palos Verdes Estates,29.18,51.26,11153,0.2134553795298378,0.27092409513032706,0.34275446824105793,True,False,192218.4708,76.0,Palos Verdes Estates
Los Angeles - Encino,30.77,54.11,48064,0.20717572148745567,0.1994721253372936,0.2423643972617523,True,False,96824.75157000001,76.0,Encino
Los Angeles - Century City,34.26,59.68,12434,0.17737924775917938,0.2340115616926797,0.31678770128016265,True,False,119661.6992,74.0,Century City
Los Angeles - Cheviot Hills,37.08,63.66,8640,0.211283283159284,0.2022830654690088,0.2699497430908885,True,False,139097.5358,72.0,Cheviot Hills
Los Angeles - Beverly Crest,32.56,54.03,10869,0.1960943625973988,0.23750503405297765,0.1341454401041171,True,False,181638.5865,66.0,Beverly Crest
Beverly Hills,32.02,51.69,34265,0.2025199237480436,0.21360430761096305,0.22205156534171636,True,False,109123.4294,61.0,Beverly Hills
Los Angeles - Bel Air,34.3,52.68,7089,0.2099386870347938,0.30349280792863464,0.2311939123969233,True,False,200555.1398,54.0,Bel Air
