id,name,streetaddress,city,state,zip,slug,latitude,longitude,telephone,utcoffset
29639.0,California Pizza Kitchen Memorial City,"303 Memorial City Mall, #610",Houston,TX,77024,california-pizza-kitchen-memorial-city,29.7809,-95.542595,(713) 365-9473,-6.0
29579.0,California Pizza Kitchen Oakbrook,551 Oakbrook Center,Oak Brook,IL,60523,california-pizza-kitchen-oakbrook,41.8522885,-87.9518108,(630) 571-7800,-6.0
29576.0,California Pizza Kitchen Old Orchard,"4999 Old Orchard Road, Suite G-2",Skokie,IL,60077,california-pizza-kitchen-old-orchard,42.0615688,-87.7478839,(847) 673-1144,-6.0
29580.0,California Pizza Kitchen Schaumburg,1550 E. Golf Road,Schaumburg,IL,60173,california-pizza-kitchen-schaumburg,42.0510476,-88.0401578,(847) 413-9200,-6.0
29574.0,California Pizza Kitchen Northbrook Court,"1515 Lake Cook Road, Space 1022",Northbrook,IL,60062,california-pizza-kitchen-northbrook-court,42.15065,-87.81715,(847) 897-5106,-6.0
29573.0,California Pizza Kitchen Deer Park,20502 N. Rand Road,Deer Park,IL,60010,california-pizza-kitchen-deer-park,42.1609259,-88.0518544,(847) 550-0273,-6.0
29578.0,California Pizza Kitchen Geneva Commons,1202 Commons Drive,Geneva,IL,60134,california-pizza-kitchen-geneva-commons,41.893837,-88.341481,(630) 845-1731,-6.0
29617.0,California Pizza Kitchen Atlas Park,"71-03 80th Street, Suite 7101",Glendale,NY,11385,california-pizza-kitchen-atlas-park,40.708294,-73.869272,(718) 894-9400,-5.0
29609.0,California Pizza Kitchen Paramus,1 Garden State Plaza ,Paramus,NJ,07652,california-pizza-kitchen-paramus,40.91878,-74.07718,(201) 587-0005,-5.0
29621.0,California Pizza Kitchen Walt Whitman,"160 Route 110, Sp. 1074",Huntington Station,NY,11746,california-pizza-kitchen-walt-whitman,40.8236464,-73.4107946,(631) 423-7565,-5.0
29610.0,California Pizza Kitchen Short Hills Mall,"1200 Morris Turnpike, Unit 8270",Short Hills,NJ,07078,california-pizza-kitchen-short-hills-mall,40.74028,-74.36358,(973) 379-3700,-5.0
29607.0,California Pizza Kitchen Bridgewater Commons,400 Commons Way #1090,Bridgewater,NJ,08807,california-pizza-kitchen-bridgewater-commons,40.5855,-74.61944,(908) 566-1225,-5.0
29508.0,California Pizza Kitchen 7th Street,735 S. Figueroa St. Space 305,Los Angeles,CA,90017,california-pizza-kitchen-7th-street,34.0491079,-118.2606566,(213) 228-8500,-8.0
29511.0,California Pizza Kitchen Hollywood,"6801 Hollywood Blvd., Sp D-2-225",Hollywood,CA,90028,california-pizza-kitchen-hollywood,34.10285,-118.33931,(323) 460-2080,-8.0
29474.0,California Pizza Kitchen Culver Center,10704 Venice Blvd.,Culver City,CA,90232,california-pizza-kitchen-culver-center,34.018270034605656,-118.40693543079631,(310) 287-2727,-8.0
29472.0,California Pizza Kitchen Beverly Hills,207 S. Beverly Drive,Beverly Hills,CA,90212,california-pizza-kitchen-beverly-hills,34.06478283789405,-118.39935425354795,(310) 275-1101,-8.0
29510.0,California Pizza Kitchen Glendale,101 N. Brand Blvd.,Glendale,CA,91203,california-pizza-kitchen-glendale,34.1471992,-118.2557336,(818) 507-1558,-8.0
38536.0,California Pizza Kitchen Century City,10250 Santa Monica Blvd,Los Angeles,CA,90067,california-pizza-kitchen-century-city,34.05902,-118.41996,(424) 363-1235,-8.0
29475.0,California Pizza Kitchen Marina Del Rey,13345 Fiji Way,Marina Del Rey,CA,90292,california-pizza-kitchen-marina-del-rey,33.9778406,-118.4377168,(310) 301-1563,-8.0
