Rk,Season,Team,Lg,GP,W,L,WL%,ERA,G,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB
1,2022,Los Angeles Dodgers,NL,130,90,40,.692,2.84,130,1,1,36,1159.2,897,410,366,114,324,9,1154,34,3,34,4683,148,3.34,1.053,7.0,0.9,2.5,9.0,3.56
2,2021,Los Angeles Dodgers,NL,162,106,56,.654,3.03,162,1,0,56,1452.0,1107,561,489,161,486,43,1599,52,9,52,5948,140,3.52,1.097,6.9,1.0,3.0,9.9,3.29
3,2020,Los Angeles Dodgers,NL,60,43,17,.717,3.02,60,0,0,15,538.2,424,213,181,66,145,4,517,24,0,24,2172,146,3.81,1.056,7.1,1.1,2.4,8.6,3.57
4,2019,Los Angeles Dodgers,NL,162,106,56,.654,3.39,162,3,1,44,1445.2,1201,613,545,185,392,24,1519,40,7,40,5913,123,3.67,1.102,7.5,1.2,2.4,9.5,3.88
5,2018,Los Angeles Dodgers,NL,163,92,71,.564,3.40,163,0,0,48,1476.0,1279,610,557,179,422,39,1565,39,10,39,6096,115,3.55,1.152,7.8,1.1,2.6,9.5,3.71
6,2017,Los Angeles Dodgers,NL,162,104,58,.642,3.38,162,2,0,51,1444.2,1226,580,543,184,442,33,1549,40,10,40,5925,123,3.67,1.155,7.6,1.1,2.8,9.6,3.50
7,2016,Los Angeles Dodgers,NL,162,91,71,.562,3.70,162,3,3,47,1453.1,1266,638,598,165,464,51,1510,58,5,58,6014,109,3.62,1.190,7.8,1.0,2.9,9.4,3.25
8,2015,Los Angeles Dodgers,NL,162,92,70,.568,3.46,162,6,3,47,1445.2,1317,595,555,145,395,32,1396,52,10,52,5932,107,3.43,1.184,8.2,0.9,2.5,8.7,3.53
9,2014,Los Angeles Dodgers,NL,162,94,68,.580,3.40,162,7,3,47,1464.2,1338,617,554,142,429,35,1373,64,4,64,6075,103,3.53,1.206,8.2,0.9,2.6,8.4,3.20
10,2013,Los Angeles Dodgers,NL,162,92,70,.568,3.25,162,7,4,46,1450.1,1321,582,524,127,460,44,1292,66,3,66,6032,110,3.49,1.228,8.2,0.8,2.9,8.0,2.81
11,2012,Los Angeles Dodgers,NL,162,86,76,.531,3.35,162,2,2,40,1450.0,1277,597,540,122,539,62,1276,46,2,46,6068,114,3.64,1.252,7.9,0.8,3.3,7.9,2.37
12,2011,Los Angeles Dodgers,NL,161,82,79,.509,3.56,161,7,2,40,1432.1,1287,612,567,132,507,48,1265,50,7,50,5997,104,3.62,1.253,8.1,0.8,3.2,7.9,2.50
13,2010,Los Angeles Dodgers,NL,162,80,82,.494,4.01,162,4,4,41,1441.2,1323,692,643,134,539,75,1274,58,8,58,6141,97,3.76,1.292,8.3,0.8,3.4,8.0,2.36
14,2009,Los Angeles Dodgers,NL,162,95,67,.586,3.41,162,1,1,44,1473.1,1265,611,559,127,584,68,1272,76,2,76,6182,118,3.83,1.255,7.7,0.8,3.6,7.8,2.18
15,2008,Los Angeles Dodgers,NL,162,84,78,.519,3.68,162,5,4,35,1447.1,1381,648,592,123,480,58,1205,47,4,47,6127,114,3.66,1.286,8.6,0.8,3.0,7.5,2.51
16,2007,Los Angeles Dodgers,NL,162,82,80,.506,4.20,162,4,0,43,1450.0,1443,727,677,146,518,34,1184,44,5,44,6196,106,4.08,1.352,9.0,0.9,3.2,7.3,2.29
17,2006,Los Angeles Dodgers,NL,162,88,74,.543,4.23,162,1,0,40,1460.1,1524,751,686,152,492,40,1068,54,8,54,6289,107,4.16,1.381,9.4,0.9,3.0,6.6,2.17
18,2005,Los Angeles Dodgers,NL,162,71,91,.438,4.38,162,6,4,40,1427.2,1434,755,695,182,471,34,1004,36,6,36,6113,94,4.34,1.334,9.0,1.1,3.0,6.3,2.13
19,2004,Los Angeles Dodgers,NL,162,93,69,.574,4.01,162,2,2,51,1453.1,1386,684,647,178,521,47,1066,43,2,43,6155,103,4.34,1.312,8.6,1.1,3.2,6.6,2.05
20,2003,Los Angeles Dodgers,NL,162,85,77,.525,3.16,162,3,3,58,1457.2,1254,556,511,127,526,35,1289,50,5,50,6001,128,3.58,1.221,7.7,0.8,3.2,8.0,2.45
21,2002,Los Angeles Dodgers,NL,162,92,70,.568,3.69,162,4,2,56,1457.2,1311,643,598,165,555,45,1132,33,3,33,6139,103,4.09,1.280,8.1,1.0,3.4,7.0,2.04
22,2001,Los Angeles Dodgers,NL,162,86,76,.531,4.25,162,3,1,46,1450.2,1387,744,685,184,524,37,1212,44,11,44,6201,94,4.20,1.317,8.6,1.1,3.3,7.5,2.31
23,2000,Los Angeles Dodgers,NL,162,86,76,.531,4.10,162,9,3,36,1445.0,1379,729,659,176,600,22,1154,60,6,60,6249,106,4.49,1.370,8.6,1.1,3.7,7.2,1.92
24,1999,Los Angeles Dodgers,NL,162,77,85,.475,4.45,162,8,3,37,1453.0,1438,787,718,192,594,26,1077,53,9,53,6317,97,4.71,1.398,8.9,1.2,3.7,6.7,1.81
25,1998,Los Angeles Dodgers,NL,162,83,79,.512,3.81,162,16,6,47,1447.1,1332,678,612,135,587,26,1178,46,9,46,6168,106,4.04,1.326,8.3,0.8,3.7,7.3,2.01
26,1997,Los Angeles Dodgers,NL,162,88,74,.543,3.63,162,6,1,45,1459.2,1325,645,588,163,546,36,1232,36,14,36,6191,107,4.07,1.282,8.2,1.0,3.4,7.6,2.26
27,1996,Los Angeles Dodgers,NL,162,90,72,.556,3.48,162,6,4,50,1466.1,1378,652,567,125,534,66,1212,39,22,39,6223,112,3.80,1.304,8.5,0.8,3.3,7.4,2.27
28,1995,Los Angeles Dodgers,NL,144,78,66,.542,3.67,144,16,9,37,1295.0,1188,609,528,125,462,45,1060,49,12,49,5481,103,3.90,1.274,8.3,0.9,3.2,7.4,2.29
29,1994,Los Angeles Dodgers,NL,114,58,56,.509,4.17,114,14,4,20,1014.0,1041,509,470,90,354,36,732,42,7,42,4369,95,4.01,1.376,9.2,0.8,3.1,6.5,2.07
30,1993,Los Angeles Dodgers,NL,162,81,81,.500,3.50,162,17,6,36,1472.2,1406,662,573,103,567,68,1043,47,20,47,6274,109,3.73,1.340,8.6,0.6,3.5,6.4,1.84
31,1992,Los Angeles Dodgers,NL,162,63,99,.389,3.41,162,18,11,29,1438.1,1401,636,545,82,553,95,981,64,10,64,6192,102,3.45,1.359,8.8,0.5,3.5,6.1,1.77
32,1991,Los Angeles Dodgers,NL,162,93,69,.574,3.07,162,15,7,40,1458.0,1312,565,497,96,500,77,1028,48,12,48,6089,117,3.43,1.243,8.1,0.6,3.1,6.3,2.06
33,1990,Los Angeles Dodgers,NL,162,86,76,.531,3.74,162,29,12,29,1442.0,1364,685,599,137,478,49,1021,63,10,63,6082,99,3.75,1.277,8.5,0.9,3.0,6.4,2.14
34,1989,Los Angeles Dodgers,NL,160,77,83,.481,2.95,160,25,14,36,1463.2,1278,536,479,95,504,73,1052,53,14,53,6034,117,3.31,1.217,7.9,0.6,3.1,6.5,2.09
35,1988,Los Angeles Dodgers,NL,162,94,67,.584,2.96,162,32,15,49,1463.1,1291,544,482,84,473,61,1029,43,30,43,6050,114,3.17,1.205,7.9,0.5,2.9,6.3,2.18
36,1987,Los Angeles Dodgers,NL,162,73,89,.451,3.72,162,29,7,32,1455.0,1415,675,601,130,565,62,1097,54,18,54,6238,108,3.80,1.361,8.8,0.8,3.5,6.8,1.94
37,1986,Los Angeles Dodgers,NL,162,73,89,.451,3.76,162,35,7,25,1454.1,1428,679,608,115,499,79,1051,51,10,51,6199,92,3.49,1.325,8.8,0.7,3.1,6.5,2.11
38,1985,Los Angeles Dodgers,NL,162,95,67,.586,3.00,162,37,16,36,1465.0,1280,579,489,102,462,56,979,42,10,42,6043,115,3.28,1.189,7.9,0.6,2.8,6.0,2.12
39,1984,Los Angeles Dodgers,NL,162,79,83,.488,3.17,162,39,13,27,1460.2,1381,600,515,76,499,81,1033,41,11,41,6134,111,3.14,1.287,8.5,0.5,3.1,6.4,2.07
40,1983,Los Angeles Dodgers,NL,163,91,71,.562,3.11,163,27,10,40,1464.0,1336,609,506,97,495,78,1000,38,12,38,6132,116,3.34,1.251,8.2,0.6,3.0,6.1,2.02
41,1982,Los Angeles Dodgers,NL,162,88,74,.543,3.28,162,37,13,28,1488.2,1356,612,542,81,468,89,932,35,10,35,6185,107,3.19,1.225,8.2,0.5,2.8,5.6,1.99
42,1981,Los Angeles Dodgers,NL,110,63,47,.573,3.01,110,26,15,24,997.0,904,356,333,54,302,38,603,19,1,19,4099,112,3.06,1.210,8.2,0.5,2.7,5.4,2.00
43,1980,Los Angeles Dodgers,NL,163,92,71,.564,3.26,163,24,15,42,1472.2,1358,591,534,105,480,48,835,32,15,32,6117,109,3.59,1.248,8.3,0.6,2.9,5.1,1.74
44,1979,Los Angeles Dodgers,NL,162,79,83,.488,3.87,162,30,5,34,1443.2,1425,717,620,101,555,53,811,44,11,44,6197,94,3.76,1.372,8.9,0.6,3.5,5.1,1.46
45,1978,Los Angeles Dodgers,NL,162,95,67,.586,3.12,162,46,13,38,1440.1,1362,573,500,107,440,43,800,35,8,35,6008,113,3.43,1.251,8.5,0.7,2.7,5.0,1.82
46,1977,Los Angeles Dodgers,NL,162,98,64,.605,3.22,162,34,11,39,1475.1,1393,582,528,119,438,31,930,35,4,35,6122,120,3.49,1.241,8.5,0.7,2.7,5.7,2.12
47,1976,Los Angeles Dodgers,NL,162,92,70,.568,3.02,162,47,16,28,1471.0,1330,543,493,97,479,31,747,32,3,32,6085,112,3.52,1.230,8.1,0.6,2.9,4.6,1.56
