Rk,Season,Team,Lg,GP,W,L,WL%,Bat#,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GIDP,HBP,SH,SF,IBB,LOB,R/Gm
1,2022,Los Angeles Dodgers,NL,130,90,40,.692,29,5023,4442,694,1158,692,271,25,170,661,84,14,490,1085,.261,.337,.448,.785,114,1989,75,43,1,45,16,928,5.3
2,2021,Los Angeles Dodgers,NL,162,106,56,.654,61,6239,5445,830,1330,822,247,24,237,799,65,17,613,1408,.244,.330,.429,.759,101,2336,96,104,32,45,36,1169,5.1
3,2020,Los Angeles Dodgers,NL,60,43,17,.717,19,2316,2042,349,523,302,97,6,118,327,29,8,228,471,.256,.338,.483,.821,119,986,46,30,3,12,7,401,5.8
4,2019,Los Angeles Dodgers,NL,162,106,56,.654,46,6282,5493,886,1414,813,302,20,279,861,57,10,607,1356,.257,.338,.472,.810,111,2593,100,81,55,45,47,1124,5.5
5,2018,Los Angeles Dodgers,NL,163,92,71,.564,52,6358,5572,804,1394,830,296,33,235,756,75,24,647,1436,.250,.333,.442,.774,109,2461,119,61,39,39,47,1163,4.9
6,2017,Los Angeles Dodgers,NL,162,104,58,.642,52,6191,5408,770,1347,794,312,20,221,730,77,28,649,1380,.249,.334,.437,.771,104,2362,119,64,31,38,41,1146,4.8
7,2016,Los Angeles Dodgers,NL,162,91,71,.562,55,6164,5518,725,1376,894,272,21,189,680,45,26,525,1321,.249,.319,.409,.728,95,2257,120,58,30,32,31,1106,4.5
8,2015,Los Angeles Dodgers,NL,162,92,70,.568,55,6090,5385,667,1346,870,263,26,187,638,59,34,563,1258,.250,.326,.413,.739,106,2222,135,60,49,30,31,1121,4.1
9,2014,Los Angeles Dodgers,NL,162,94,68,.580,48,6231,5560,718,1476,1002,302,38,134,686,138,50,519,1246,.265,.333,.406,.738,110,2256,119,61,47,43,30,1159,4.4
10,2013,Los Angeles Dodgers,NL,162,92,70,.568,49,6145,5491,649,1447,1011,281,17,138,618,78,28,476,1146,.264,.326,.396,.722,103,2176,130,57,71,48,45,1175,4.0
11,2012,Los Angeles Dodgers,NL,162,86,76,.531,50,6091,5438,637,1369,961,269,23,116,607,104,44,481,1156,.252,.317,.374,.690,91,2032,139,52,82,38,49,1112,3.9
12,2011,Los Angeles Dodgers,NL,161,82,79,.509,48,6094,5436,644,1395,1013,237,28,117,613,126,40,498,1087,.257,.322,.375,.697,95,2039,101,45,71,43,61,1165,4.0
13,2010,Los Angeles Dodgers,NL,162,80,82,.494,49,6140,5426,667,1368,949,270,29,120,621,92,50,533,1184,.252,.322,.379,.700,92,2056,123,46,85,50,57,1142,4.1
14,2009,Los Angeles Dodgers,NL,162,95,67,.586,47,6385,5592,780,1511,1049,278,39,145,739,116,48,607,1068,.270,.346,.412,.758,104,2302,141,63,78,44,76,1224,4.8
15,2008,Los Angeles Dodgers,NL,162,84,78,.519,46,6194,5506,700,1455,1018,271,29,137,659,126,43,543,1032,.264,.333,.399,.732,93,2195,153,43,64,38,62,1161,4.3
