Rk,Team,Date,,Opp,Result,PA,AB,R,H,1B,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB
1,LAD,2022-08-30,@,NYM,W 4-3,43,34,4,7,4,3,0,0,4,0,0,8,5,.206,.372,.294,.666,10,0,1,0,0,1
2,LAD,2022-08-29,@,MIA,W 3-2 (10),41,37,3,7,5,1,0,1,3,0,0,4,11,.189,.268,.297,.566,11,1,0,0,0,0
3,LAD,2022-08-28,@,MIA,W 8-1,44,39,8,14,9,3,0,2,7,1,0,4,9,.359,.432,.590,1.022,23,1,1,0,0,0
4,LAD,2022-08-27,@,MIA,L 1-2,34,32,1,6,4,1,0,1,1,0,0,2,10,.188,.235,.313,.548,10,0,0,0,0,0
5,LAD,2022-08-26,@,MIA,W 10-6 (10),51,45,10,16,10,4,0,2,10,1,0,5,8,.356,.412,.578,.990,26,1,0,0,1,0
6,LAD,2022-08-24,,MIL,W 12-6,43,35,12,13,6,6,0,1,12,0,0,6,6,.371,.442,.629,1.070,22,1,0,0,2,0
7,LAD,2022-08-23,,MIL,W 10-1,42,36,10,11,6,4,0,1,10,1,0,4,6,.306,.405,.500,.905,18,1,2,0,0,0
8,LAD,2022-08-22,,MIL,L 0-4,36,33,0,8,8,0,0,0,0,0,0,3,7,.242,.306,.242,.548,8,1,0,0,0,0
9,LAD,2022-08-21,,MIA,W 10-3,44,39,10,16,10,3,1,2,9,2,0,4,10,.410,.477,.692,1.170,27,0,1,0,0,0
10,LAD,2022-08-20,,MIA,W 7-0,38,35,7,12,9,1,0,2,7,0,0,3,9,.343,.395,.543,.938,19,1,0,0,0,0
11,LAD,2022-08-19,,MIA,W 2-1,33,30,2,6,3,2,1,0,2,1,0,3,9,.200,.273,.333,.606,10,1,0,0,0,1
12,LAD,2022-08-18,@,MIL,L 3-5,36,32,3,6,4,1,1,0,3,0,0,4,12,.188,.278,.281,.559,9,1,0,0,0,0
13,LAD,2022-08-17,@,MIL,W 2-1,33,30,2,6,3,1,0,2,2,1,1,3,7,.200,.273,.433,.706,13,2,0,0,0,0
14,LAD,2022-08-16,@,MIL,L 4-5 (11),44,41,4,8,4,1,0,3,4,0,0,3,15,.195,.250,.439,.689,18,0,0,0,0,0
15,LAD,2022-08-15,@,MIL,W 4-0,39,33,4,6,2,2,0,2,4,0,0,4,7,.182,.282,.424,.706,14,0,1,0,1,0
16,LAD,2022-08-14,@,KCR,L 0-4,34,29,0,3,2,1,0,0,0,1,0,4,14,.103,.235,.138,.373,4,1,1,0,0,0
17,LAD,2022-08-13,@,KCR,W 13-3,48,42,13,16,9,1,0,6,12,0,0,6,8,.381,.458,.833,1.292,35,0,0,0,0,0
18,LAD,2022-08-12,@,KCR,W 8-3,42,34,8,8,5,2,0,1,7,0,0,7,5,.235,.357,.382,.739,13,1,0,0,1,0
19,LAD,2022-08-10,,MIN,W 8-5,37,33,8,10,3,4,0,3,8,2,1,3,9,.303,.351,.697,1.048,23,0,0,0,1,1
20,LAD,2022-08-09,,MIN,W 10-3,41,39,10,15,6,8,0,1,10,1,0,2,8,.385,.415,.667,1.081,26,0,0,0,0,0
21,LAD,2022-08-07,,SDP,W 4-0,35,35,4,11,6,3,0,2,4,1,0,0,7,.314,.314,.571,.886,20,0,0,0,0,0
22,LAD,2022-08-06,,SDP,W 8-3,37,33,8,10,6,2,0,2,8,2,0,1,4,.303,.324,.545,.870,18,0,1,0,2,0
23,LAD,2022-08-05,,SDP,W 8-1,39,36,8,12,8,4,0,0,7,1,0,2,9,.333,.385,.444,.829,16,0,1,0,0,0
24,LAD,2022-08-04,@,SFG,W 5-3,37,35,5,8,4,2,0,2,5,0,0,2,14,.229,.270,.457,.727,16,0,0,0,0,0
25,LAD,2022-08-03,@,SFG,W 3-0,37,32,3,6,5,1,0,0,3,2,0,4,10,.188,.270,.219,.489,7,0,0,0,1,0
26,LAD,2022-08-02,@,SFG,W 9-5,41,37,9,13,8,2,2,1,9,0,1,1,9,.351,.366,.595,.960,22,1,1,0,2,0
27,LAD,2022-08-01,@,SFG,W 8-2,40,35,8,11,4,5,0,2,8,0,0,3,5,.314,.375,.629,1.004,22,2,1,0,1,0
28,LAD,2022-07-31,@,COL,W 7-3,41,37,7,12,7,4,0,1,6,1,0,3,5,.324,.366,.514,.879,19,1,0,0,1,0
29,LAD,2022-07-30,@,COL,L 3-5,35,34,3,7,3,3,0,1,3,1,0,0,7,.206,.229,.382,.611,13,0,1,0,0,0
30,LAD,2022-07-29,@,COL,W 5-4,45,36,5,10,5,2,1,2,5,1,0,7,7,.278,.400,.556,.956,20,1,1,0,1,0
31,LAD,2022-07-28,@,COL,W 13-0,47,42,13,14,9,5,0,0,11,2,0,5,8,.333,.404,.452,.857,19,1,0,0,0,0
32,LAD,2022-07-27,,WSN,W 7-1,39,32,7,11,7,4,0,0,7,0,0,7,5,.344,.462,.469,.930,15,3,0,0,0,0
33,LAD,2022-07-26,,WSN,L 3-8,37,33,3,6,3,1,0,2,3,0,0,3,8,.182,.243,.394,.637,13,0,0,0,1,0
34,LAD,2022-07-25,,WSN,L 1-4,37,36,1,8,6,1,0,1,1,0,0,1,8,.222,.243,.333,.577,12,0,0,0,0,0
35,LAD,2022-07-24,,SFG,W 7-4,39,35,7,12,7,5,0,0,7,0,1,3,6,.343,.410,.486,.896,17,0,1,0,0,0
36,LAD,2022-07-23,,SFG,W 4-2,35,31,4,7,2,1,1,3,4,0,0,3,9,.226,.314,.613,.927,19,0,1,0,0,0
37,LAD,2022-07-22,,SFG,W 5-1,37,31,5,8,7,0,0,1,5,0,1,5,4,.258,.378,.355,.733,11,1,1,0,0,0
38,LAD,2022-07-21,,SFG,W 9-6,38,34,9,10,2,5,1,2,9,1,0,4,9,.294,.368,.676,1.045,23,0,0,0,0,1
39,LAD,2022-07-16,@,LAA,W 7-1,37,33,7,7,2,1,0,4,7,0,0,4,11,.212,.297,.606,.903,20,0,0,0,0,0
40,LAD,2022-07-15,@,LAA,W 9-1,45,38,9,13,10,1,2,0,9,0,0,6,7,.342,.422,.474,.896,18,0,0,0,1,0
41,LAD,2022-07-14,@,STL,W 4-0,36,31,4,8,4,3,0,1,4,0,1,2,3,.258,.361,.452,.813,14,1,3,0,0,0
42,LAD,2022-07-13,@,STL,W 7-6,46,37,7,12,8,3,0,1,7,0,0,6,11,.324,.435,.486,.921,18,0,2,0,1,0
43,LAD,2022-07-12,@,STL,L 6-7,43,36,6,10,6,2,0,2,6,0,0,6,7,.278,.381,.500,.881,18,1,0,0,0,0
44,LAD,2022-07-10,,CHC,W 11-9,45,37,11,14,10,3,0,1,9,1,0,7,8,.378,.467,.541,1.007,20,1,0,0,1,0
45,LAD,2022-07-09,,CHC,W 4-2,35,34,4,10,8,1,0,1,4,0,1,1,5,.294,.314,.412,.726,14,0,0,0,0,0
46,LAD,2022-07-08,,CHC,W 4-3 (10),40,33,4,6,3,1,1,1,3,1,0,5,11,.182,.300,.364,.664,12,0,1,0,1,1
47,LAD,2022-07-07,,CHC,W 5-3,32,30,5,7,1,2,0,4,5,0,0,0,6,.233,.281,.700,.981,21,0,2,0,0,0
48,LAD,2022-07-06,,COL,W 2-1,37,31,2,8,8,0,0,0,1,1,0,5,4,.258,.378,.258,.636,8,2,1,0,0,0
49,LAD,2022-07-05,,COL,W 5-2,35,30,5,8,4,1,1,2,5,1,0,5,10,.267,.371,.567,.938,17,2,0,0,0,0
50,LAD,2022-07-04,,COL,W 5-3,35,32,5,8,5,2,0,1,5,0,0,3,7,.250,.314,.406,.721,13,0,0,0,0,0
51,LAD,2022-07-03,,SDP,L 2-4,40,32,2,8,5,3,0,0,2,0,0,4,6,.250,.375,.344,.719,11,1,3,0,1,0
52,LAD,2022-07-02,,SDP,W 7-2,36,31,7,8,3,2,0,3,7,0,0,3,10,.258,.306,.613,.918,19,0,0,0,2,0
53,LAD,2022-07-01,,SDP,W 5-1,38,33,5,10,4,4,0,2,5,2,0,4,17,.303,.368,.606,.974,20,0,0,0,1,0
54,LAD,2022-06-30,,SDP,W 3-1,29,28,3,5,2,0,1,2,3,0,0,1,12,.179,.207,.464,.671,13,0,0,0,0,0
55,LAD,2022-06-29,@,COL,W 8-4,42,36,8,11,7,1,0,3,8,0,0,5,6,.306,.381,.583,.964,21,1,0,0,1,0
56,LAD,2022-06-28,@,COL,L 4-7,38,35,4,9,5,1,0,3,4,2,0,3,9,.257,.316,.543,.859,19,0,0,0,0,0
57,LAD,2022-06-27,@,COL,L 0-4,29,29,0,3,2,1,0,0,0,0,0,0,5,.103,.103,.138,.241,4,0,0,0,0,0
58,LAD,2022-06-26,@,ATL,W 5-3 (11),48,45,5,12,9,3,0,0,5,3,0,3,13,.267,.313,.333,.646,15,0,0,0,0,2
59,LAD,2022-06-25,@,ATL,L 3-5,37,35,3,9,7,1,0,1,3,2,0,2,16,.257,.297,.371,.669,13,1,0,0,0,0
60,LAD,2022-06-24,@,ATL,W 4-1,40,35,4,9,7,1,0,1,4,0,0,4,11,.257,.325,.371,.696,13,0,0,0,1,0
61,LAD,2022-06-23,@,CIN,W 10-5,44,39,10,16,8,3,0,5,10,1,0,4,8,.410,.455,.872,1.326,34,0,0,0,1,0
62,LAD,2022-06-22,@,CIN,W 8-4,43,34,8,9,6,2,0,1,8,0,0,5,11,.265,.372,.412,.784,14,0,2,0,2,0
63,LAD,2022-06-21,@,CIN,W 8-2,43,39,8,17,11,4,1,1,8,0,0,1,6,.436,.429,.667,1.095,26,1,0,1,2,0
64,LAD,2022-06-19,,CLE,L 3-5,36,34,3,8,5,2,0,1,2,2,0,2,13,.235,.278,.382,.660,13,1,0,0,0,0
65,LAD,2022-06-18,,CLE,W 7-1,42,35,7,11,6,3,1,1,6,0,0,6,10,.314,.405,.543,.948,19,0,0,0,1,0
66,LAD,2022-06-17,,CLE,L 1-2 (10),41,38,1,8,5,2,0,1,1,1,0,3,6,.211,.268,.342,.610,13,1,0,0,0,0
67,LAD,2022-06-15,,LAA,W 4-1,33,30,4,6,4,0,0,2,4,2,0,3,8,.200,.273,.400,.673,12,0,0,0,0,0
68,LAD,2022-06-14,,LAA,W 2-0,32,27,2,3,1,1,0,1,2,1,0,5,8,.111,.250,.259,.509,7,0,0,0,0,0
69,LAD,2022-06-12,@,SFG,L 0-2,36,32,0,5,2,3,0,0,0,0,0,4,10,.156,.250,.250,.500,8,0,0,0,0,0
70,LAD,2022-06-11,@,SFG,L 2-3,43,40,2,13,11,1,0,1,2,0,0,3,5,.325,.372,.425,.797,17,1,0,0,0,0
71,LAD,2022-06-10,@,SFG,L 2-7,35,33,2,6,4,1,0,1,2,0,0,2,6,.182,.229,.303,.532,10,0,0,0,0,0
72,LAD,2022-06-09,@,CHW,W 11-9,46,39,11,12,7,4,0,1,10,1,1,7,15,.308,.413,.487,.900,19,0,0,0,0,1
73,LAD,2022-06-08,@,CHW,W 4-1,34,33,4,6,3,0,0,3,4,0,0,1,9,.182,.206,.455,.660,15,0,0,0,0,0
74,LAD,2022-06-07,@,CHW,L 0-4,33,30,0,5,5,0,0,0,0,2,0,3,9,.167,.242,.167,.409,5,2,0,0,0,0
75,LAD,2022-06-05,,NYM,L 4-5 (10),40,39,4,9,4,3,0,2,4,1,0,0,7,.231,.231,.462,.692,18,0,0,0,0,0
76,LAD,2022-06-04,,NYM,L 4-9,38,33,4,6,5,1,0,0,4,1,0,5,10,.182,.289,.212,.502,7,1,0,0,0,0
77,LAD,2022-06-03,,NYM,W 6-1,35,33,6,8,5,0,0,3,6,1,0,2,11,.242,.286,.515,.801,17,0,0,0,0,0
78,LAD,2022-06-02,,NYM,W 2-0,34,32,2,9,7,2,0,0,2,2,0,2,4,.281,.324,.344,.667,11,0,0,0,0,0
79,LAD,2022-06-01,,PIT,L 4-8,38,35,4,12,8,3,0,1,4,0,0,3,7,.343,.395,.514,.909,18,2,0,0,0,0
80,LAD,2022-05-31,,PIT,L 3-5,38,30,3,4,3,0,0,1,2,1,0,7,11,.133,.316,.233,.549,7,0,1,0,0,0
81,LAD,2022-05-30,,PIT,L 5-6,40,37,5,10,3,4,0,3,5,0,0,3,10,.270,.325,.622,.947,23,1,0,0,0,0
82,LAD,2022-05-29,@,ARI,W 3-1,32,30,3,4,3,0,0,1,3,0,0,2,5,.133,.188,.233,.421,7,0,0,0,0,0
83,LAD,2022-05-28,@,ARI,W 3-2,36,32,3,10,6,3,0,1,3,1,1,3,9,.313,.361,.500,.861,16,0,0,0,1,0
84,LAD,2022-05-27,@,ARI,W 6-4,37,34,6,8,4,0,1,3,6,1,0,3,4,.235,.297,.559,.856,19,1,0,0,0,0
85,LAD,2022-05-26,@,ARI,W 14-1,54,50,14,24,14,7,1,2,14,0,0,4,2,.480,.519,.780,1.299,39,1,0,0,0,0
86,LAD,2022-05-25,@,WSN,L 0-1,36,32,0,6,4,2,0,0,0,2,0,4,9,.188,.278,.250,.528,8,1,0,0,0,1
87,LAD,2022-05-24,@,WSN,W 9-4,44,36,9,9,5,0,0,4,9,0,0,7,9,.250,.386,.583,.970,21,0,1,0,0,0
88,LAD,2022-05-23,@,WSN,W 10-1,45,39,10,12,7,4,1,0,10,1,0,5,8,.308,.400,.462,.862,18,0,1,0,0,0
89,LAD,2022-05-22,@,PHI,L 3-4 (10),42,37,3,6,3,1,0,2,3,1,0,5,14,.162,.262,.351,.613,13,1,0,0,0,2
90,LAD,2022-05-21,@,PHI,W 7-4,43,39,7,13,8,2,0,3,6,0,1,4,12,.333,.395,.615,1.011,24,0,0,0,0,1
