county,dem,rep,other,total_votes,dem_pct,rep_pct,other_pct,year
Alameda,617659,136309,16102,770070,0.8,0.18,0.02,2020
Alpine,476,244,21,741,0.64,0.33,0.03,2020
Amador,8153,13585,566,22304,0.37,0.61,0.03,2020
Butte,50426,48730,2910,102066,0.49,0.48,0.03,2020
Calaveras,10046,16518,600,27164,0.37,0.61,0.02,2020
Colusa,3239,4559,163,7961,0.41,0.57,0.02,2020
Contra Costa,416386,152877,12053,581316,0.72,0.26,0.02,2020
Del Norte,4677,6461,315,11453,0.41,0.56,0.03,2020
El Dorado,51621,61838,2700,116159,0.44,0.53,0.02,2020
Fresno,193025,164464,7428,364917,0.53,0.45,0.02,2020
Glenn,3995,7063,239,11297,0.35,0.63,0.02,2020
Humboldt,44768,21770,2305,68843,0.65,0.32,0.03,2020
Imperial,34678,20847,1218,56743,0.61,0.37,0.02,2020
Inyo,4634,4620,230,9484,0.49,0.49,0.02,2020
Kern,133366,164484,7442,305292,0.44,0.54,0.02,2020
Kings,18699,24072,1090,43861,0.43,0.55,0.02,2020
Lake,14941,13123,748,28812,0.52,0.46,0.03,2020
Lassen,2799,8970,218,11987,0.23,0.75,0.02,2020
Los Angeles,3028885,1145530,89950,4264365,0.71,0.27,0.02,2020
Madera,23168,29378,1186,53732,0.43,0.55,0.02,2020
Marin,128288,24612,2930,155830,0.82,0.16,0.02,2020
Mariposa,4088,5950,242,10280,0.4,0.58,0.02,2020
Mendocino,28782,13267,1291,43340,0.66,0.31,0.03,2020
Merced,48991,39397,2166,90554,0.54,0.44,0.02,2020
Modoc,1150,3109,84,4343,0.26,0.72,0.02,2020
Mono,4013,2513,212,6738,0.6,0.37,0.03,2020
Monterey,113953,46299,3671,163923,0.7,0.28,0.02,2020
Napa,49817,20676,1657,72150,0.69,0.29,0.02,2020
Nevada,36359,26779,1612,64750,0.56,0.41,0.02,2020
Orange,814009,676498,31606,1522113,0.53,0.44,0.02,2020
Placer,106869,122488,5727,235084,0.45,0.52,0.02,2020
Plumas,4561,6445,254,11260,0.41,0.57,0.02,2020
Riverside,528340,449144,19672,997156,0.53,0.45,0.02,2020
Sacramento,440808,259405,18227,718440,0.61,0.36,0.03,2020
San Benito,17628,10590,612,28830,0.61,0.37,0.02,2020
San Bernardino,455859,366257,19014,841130,0.54,0.44,0.02,2020
San Diego,964650,600094,37399,1602143,0.6,0.37,0.02,2020
San Francisco,378156,56417,8980,443553,0.85,0.13,0.02,2020
San Joaquin,161137,121098,6257,288492,0.56,0.42,0.02,2020
San Luis Obispo,88310,67436,3968,159714,0.55,0.42,0.02,2020
San Mateo,291496,75584,7171,374251,0.78,0.2,0.02,2020
Santa Barbara,129963,65736,4640,200339,0.65,0.33,0.02,2020
Santa Clara,617967,214612,18162,850741,0.73,0.25,0.02,2020
Santa Cruz,114246,26937,3654,144837,0.79,0.19,0.03,2020
Shasta,30000,60789,2141,92930,0.32,0.65,0.02,2020
Sierra,730,1142,59,1931,0.38,0.59,0.03,2020
Siskiyou,9593,13290,589,23472,0.41,0.57,0.03,2020
Solano,131639,69306,4932,205877,0.64,0.34,0.02,2020
Sonoma,199938,61825,6554,268317,0.75,0.23,0.02,2020
Stanislaus,105841,104145,4968,214954,0.49,0.48,0.02,2020
Sutter,17367,24375,902,42644,0.41,0.57,0.02,2020
Tehama,8911,19141,679,28731,0.31,0.67,0.02,2020
Trinity,2851,3188,220,6259,0.46,0.51,0.04,2020
Tulare,66105,77579,3201,146885,0.45,0.53,0.02,2020
Tuolumne,11978,17689,741,30408,0.39,0.58,0.02,2020
Ventura,251388,162207,9230,422825,0.59,0.38,0.02,2020
Yolo,67598,27292,2404,97294,0.69,0.28,0.02,2020
Yuba,11230,17676,890,29796,0.38,0.59,0.03,2020
