country_led,idacr,leader,gender,entry,exit,startdate,enddate,days_in_office,years_in_office,months_in_office,startyear,endyear,birth_country,birth_adm1,birth_adm1,birth_adm1,birth_adm1,continent,latitude,longitude,geoname,foreign_leader,ethnicity1,ethnicity2,ethnicity_geoepr1,ethnicity_geoepr2,ethnicitysource1,ethnicitysource2,ethnicity_precision,yrborn,birthdate,uid,id_0,id_1,id_2,gid_0,gid_1,gid_2,edu_name,edu_r,birthplace_comment,ethnicity_comment
Australia,AUL,Rudd,M,Regular,Regular,2007-12-03,2010-06-24,934 days,2.56,31.0,2007,2010,Australia,Queensland,Sunshine Coast,Queensland,Sunshine Coast,Oceania,-26.626129150390625,152.95941162109375,Nambour,0,English-Irish,.,Whites,.,https://www.news.com.au/news/convict-roots-of-rudds-family-tree/news-story/79309063e559db4b42509955f695b0b7,.,2,1957,1957-09-21,338584,15,7,236,AUS,AUS.7_1,AUS.7.62_1,Bachelor´s degree in sinology,6,.,.
Australia,AUL,Rudd,M,Regular,Regular,2013-06-27,2013-09-18,83 days,0.23,3.0,2013,2013,Australia,Queensland,Sunshine Coast,Queensland,Sunshine Coast,Oceania,-26.626129150390625,152.95941162109375,Nambour,0,English-Irish,.,Whites,.,https://www.news.com.au/news/convict-roots-of-rudds-family-tree/news-story/79309063e559db4b42509955f695b0b7,.,2,1957,1957-09-21,338584,15,7,236,AUS,AUS.7_1,AUS.7.62_1,Bachelor´s degree in sinology,6,.,.
Austria,AUS,Kurz,M,Regular,Regular,2017-12-18,2019-05-28,526 days,1.44,17.0,2017,2019,Austria,Wien,Wien,Wien,Wien,Europe,48.16667175292969,16.333330154418945,Meidling,0,Austrian,Danube-Swabian/Serb,.,.,https://en.wikipedia.org/wiki/Sebastian_Kurz,https://ethnicelebs.com/sebastian-kurz,2,1986,1986-08-27,67927,16,9,96,AUT,AUT.9_1,AUT.9.1_1,Secondary school diploma (Matura),4,.,.
Austria,AUS,Kurz,M,Regular,Still in Office,2020-01-07,2020-12-31,359 days,0.98,12.0,2020,2020,Austria,Wien,Wien,Wien,Wien,Europe,48.16667175292969,16.333330154418945,Meidling,0,Austrian,Danube-Swabian/Serb,.,.,https://en.wikipedia.org/wiki/Sebastian_Kurz,https://ethnicelebs.com/sebastian-kurz,.,1986,1986-08-27,67927,16,9,96,AUT,AUT.9_1,AUT.9.1_1,Secondary school diploma (Matura),4,.,.
Chile,CHL,Michelle Bachelet,F,Regular,Regular,2006-03-11,2010-03-11,1461 days,4.0,48.0,2006,2010,Chile,Región Metropolitana de Santiago,Santiago,Región Metropolitana de Santiago,Santiago,Americas,-33.447486877441406,-70.67367553710938,Santiago de Chile,0,Spaniard,French,Whites/mestizos,Whites/mestizos,https://ethnicelebs.com/michelle-bachelet,.,2,1951,1951-09-29,29320,48,14,45,CHL,CHL.14_1,CHL.14.5_1,PhD in medicine,8,.,.
Chile,CHL,Michelle Bachelet,F,Regular,Regular,2014-03-11,2018-03-11,1461 days,4.0,48.0,2014,2018,Chile,Región Metropolitana de Santiago,Santiago,Región Metropolitana de Santiago,Santiago,Americas,-33.447486877441406,-70.67367553710938,Santiago de Chile,0,Spaniard,French,Whites/mestizos,Whites/mestizos,https://ethnicelebs.com/michelle-bachelet,.,2,1951,1951-09-29,29320,48,14,45,CHL,CHL.14_1,CHL.14.5_1,PhD in medicine,8,.,.
Costa Rica,COS,Arias,M,Regular,Regular,1986-05-08,1990-05-08,1461 days,4.0,48.0,1986,1990,Costa Rica,Heredia,Heredia,Heredia,Heredia,Americas,10.002360343933105,-84.11650848388672,Heredia,0,Spaniard,Native,Whites/mestizos,Indigenous peoples,https://ticotimes.net/Immigrationcr/,.,3,1941,1941-09-13,13280,56,4,38,CRI,CRI.4_1,CRI.4.4_1,PhD in political science,8,.,.
Costa Rica,COS,Arias,M,Regular,Regular,2006-05-08,2010-05-08,1461 days,4.0,48.0,2006,2010,Costa Rica,Heredia,Heredia,Heredia,Heredia,Americas,10.002360343933105,-84.11650848388672,Heredia,0,Spaniard,Native,Whites/mestizos,Indigenous peoples,https://ticotimes.net/Immigrationcr/,.,3,1941,1941-09-13,13280,56,4,38,CRI,CRI.4_1,CRI.4.4_1,PhD in political science,8,.,.
Denmark,DEN,Lars L<U+FFFD>kke Rasmussen,M,Regular,Regular,2009-04-05,2011-10-03,911 days,2.5,30.0,2009,2011,Denmark,Syddanmark,Vejle,Syddanmark,Vejle,Europe,55.70927047729492,9.535699844360352,Vejle,0,Dane,.,Danes,.,http://ethnicelebs.com/lars-lokke-rasmussen,.,2,1964,1964-05-15,36887,64,5,99,DNK,DNK.5_1,DNK.5.22_1,Master´s degree in law,7,.,.
Denmark,DEN,Lars L<U+FFFD>kke Rasmussen,M,Regular,Regular,2015-06-28,2019-06-27,1460 days,4.0,48.0,2015,2019,Denmark,Syddanmark,Vejle,Syddanmark,Vejle,Europe,55.70927047729492,9.535699844360352,Vejle,0,Dane,.,Danes,.,http://ethnicelebs.com/lars-lokke-rasmussen,.,2,1964,1964-05-15,36887,64,5,99,DNK,DNK.5_1,DNK.5.22_1,Master´s degree in law,7,.,.
Estonia,EST,Vahi,M,Regular,Regular,1992-01-30,1992-10-08,252 days,0.69,8.0,1992,1992,Estonia,Valga,Karula,Valga,Karula,Europe,57.77907943725586,26.271509170532227,Kaagjärve,0,Estonian,.,Estonians,.,https://ethnicelebs.com/tiit-vahi,.,3,1947,1947-01-10,35758,73,14,185,EST,EST.14_1,EST.14.3_1,Degree in engineering,7,.,.
Estonia,EST,Laar,M,Regular,Regular,1992-10-28,1994-11-08,741 days,2.03,24.0,1992,1994,Estonia,Viljandi,Viljandi,Viljandi,Viljandi,Europe,58.3638916015625,25.59000015258789,Viljandi,0,Estonian,.,Estonians,.,http://ethnicelebs.com/mart-laar,.,3,1960,1960-04-22,34411,73,15,209,EST,EST.15_1,EST.15.14_1,PhD in history,8,.,.
Estonia,EST,Vahi,M,Regular,Regular,1995-04-17,1997-03-17,700 days,1.92,23.0,1995,1997,Estonia,Valga,Karula,Valga,Karula,Europe,57.77907943725586,26.271509170532227,Kaagjärve,0,Estonian,.,Estonians,.,https://ethnicelebs.com/tiit-vahi,.,3,1947,1947-01-10,35758,73,14,185,EST,EST.14_1,EST.14.3_1,Degree in engineering,7,.,.
Estonia,EST,Laar,M,Regular,Regular,1999-03-25,2002-01-28,1040 days,2.85,34.0,1999,2002,Estonia,Viljandi,Viljandi,Viljandi,Viljandi,Europe,58.3638916015625,25.59000015258789,Viljandi,0,Estonian,.,Estonians,.,http://ethnicelebs.com/mart-laar,.,3,1960,1960-04-22,34411,73,15,209,EST,EST.15_1,EST.15.14_1,PhD in history,8,.,.
Greece,GRC,A. Papandreou,M,Regular,Regular,1981-10-21,1989-07-02,2811 days,7.7,92.0,1981,1989,Greece,Aegean,North Aegean,Aegean,North Aegean,Europe,38.400001525878906,26.016666412353516,Chios,0,Greek,Polish-Lithuanian,Greeks,.,https://www.independent.co.uk/news/people/obituary-andreas-papandreou-1338574.html,http://pages.interlog.com/~mineykok/zdrada.html,2,1919,1919-02-05,120698,89,1,1,GRC,GRC.1_1,GRC.1.1_1,PhD in economics,8,.,.
