flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
546466581,11116973,N72EX,,N72EX,,LGB,AVX,AVX,
546503885,11116973,N72EX,,N72EX,,LGB,AVX,AVX,
546463259,11116973,N72EX,,N72EX,,AVX,LGB,LGB,
546335482,11116973,N72EX,,N72EX,,LGB,AVX,AVX,
546333202,11116973,N72EX,,N72EX,,,LGB,LGB,
546484081,11116973,N72EX,,N72EX,,LGB,AVX,AVX,
546469590,11116973,N72EX,,N72EX,,,LGB,LGB,
546506649,11116973,N72EX,,N72EX,,,LGB,LGB,
546458563,11116973,N72EX,,N72EX,,LGB,LGB,LGB,
546499942,11116973,N72EX,,N72EX,,LGB,LGB,LGB,
