flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
576767889,11116973,N72EX,,N72EX,,,LGB,LGB,
576787564,11116973,N72EX,,N72EX,,,,,
576746327,11116973,N72EX,,N72EX,,LGB,AVX,AVX,
576726697,11116973,N72EX,,N72EX,,LGB,LGB,LGB,
576785008,11116973,N72EX,,N72EX,,LGB,AVX,AVX,
576795060,11116973,N72EX,,N72EX,,LGB,,,
576737813,11116973,N72EX,,N72EX,,,LGB,LGB,
576792438,11116973,N72EX,,N72EX,,,LGB,LGB,
576728431,11116973,N72EX,,N72EX,,LGB,AVX,AVX,
576779582,11116973,N72EX,,N72EX,,LGB,LGB,LGB,
576764897,11116973,N72EX,,N72EX,,LGB,AVX,AVX,
576749485,11116973,N72EX,,N72EX,,,LGB,LGB,
