flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
552493604,11116973,N72EX,,N72EX,,LGB,AVX,AVX,
552542918,11116973,N72EX,,N72EX,,SMO,CLD,CLD,
552358556,11116973,N72EX,,N72EX,,VNY,LGB,LGB,
552485984,11116973,N72EX,,N72EX,,LGB,LGB,LGB,
552510800,11116973,N72EX,,N72EX,,LGB,AVX,AVX,
552353255,11116973,N72EX,,N72EX,,SNA,VNY,VNY,
552553433,11116973,N72EX,,N72EX,,,LGB,LGB,
552505662,11116973,N72EX,,N72EX,,,LGB,LGB,
552531544,11116973,N72EX,,N72EX,,LGB,SMO,SMO,
552475787,11116973,N72EX,,N72EX,,LGB,LGB,LGB,
