flight_id,aircraft_id,reg,equip,callsign,flight,schd_from,schd_to,real_to,reserved
564212970,11116973,N72EX,,N72EX,,LGB,LGB,LGB,
564283963,11116973,N72EX,,N72EX,,LGB,AVX,AVX,
564265371,11116973,N72EX,,N72EX,,,LGB,LGB,
564208802,11116973,N72EX,,N72EX,,LGB,LGB,LGB,
564245226,11116973,N72EX,,N72EX,,LGB,AVX,AVX,
564249006,11116973,N72EX,,N72EX,,,,,
564229153,11116973,N72EX,,N72EX,,LGB,,,
564300694,11116973,N72EX,,N72EX,,,LGB,LGB,
564221281,11116973,N72EX,,N72EX,,LGB,,,
564290834,11116973,N72EX,,N72EX,,LGB,AVX,AVX,
564297550,11116973,N72EX,,N72EX,,LGB,AVX,AVX,
564287123,11116973,N72EX,,N72EX,,,LGB,LGB,
564269009,11116973,N72EX,,N72EX,,LGB,AVX,AVX,
564236421,11116973,N72EX,,N72EX,,LGB,AVX,AVX,
564294041,11116973,N72EX,,N72EX,,,LGB,LGB,
