name,year,change,pop,pop_per_rep,reps
California,1910,3,2376561,216051,11
California,1920,0,3426031,311457,11
California,1930,9,5668241,283412,20
California,1940,3,6907387,300321,23
California,1950,7,10586223,352874,30
California,1960,8,15717204,413611,38
California,1970,5,20098863,467415,43
California,1980,2,23668562,525968,45
California,1990,7,29839250,573832,52
California,2000,1,33930798,640204,53
California,2010,0,37341989,704566,53
California,2020,-1,39576757,761091,52
