Order,Title,Author,Pages,URL,gender,type,Subgenre,Avg GoodReads Rating,Started,date,Faves
1,How to Do Nothing,Jenny Odell,240,https://www.goodreads.com/author/show/18614151.Jenny_Odell,F,Non-Fiction,Self Help,3.97,12/25,1/6/20,
2,Becoming Wise,Krista Tippett,288,https://www.goodreads.com/book/show/25894085-becoming-wise,F,Non-Fiction,Spirituality,4.15,1/1,1/12,Y
3,Rework ,"Jason Fried, David Hansson",279,https://www.goodreads.com/book/show/6732019-rework?from_search=true&qid=TeHru4l6OG&rank=1,M,Non-Fiction,Business,3.94,1/12,1/17,
4,Minor Feelings,Cathy Park Hong,224,https://www.goodreads.com/book/show/47544177-minor-feelings?from_search=true&qid=YwgnVM0MaX&rank=1,F,Non-Fiction,Essays,4.53,1/14,1/26,
5,The Idiot,Elif Batuman,423,https://www.goodreads.com/book/show/30962053-the-idiot,F,Fiction,historical,3.63,1/25,2/2,
6,If I Had Your Face,Frances Cha,288,https://www.goodreads.com/book/show/47548925-if-i-had-your-face?from_search=true&qid=c3Iw9aiNTi&rank=1,F,Fiction,Contemporary,3.97,2/2,2/6,
7,Topics of Conversation,Miranda Popkey,224,https://www.goodreads.com/book/show/45754997-topics-of-conversation?from_search=true&qid=F1d5R6meaf&rank=1,F,Fiction,Contemporary,2.83,2/6,2/12,
8,Bluets,Maggie Nelson,98,https://www.goodreads.com/book/show/6798263-bluets,F,Non-Fiction,Poetry,4.26,2/12,2/16,
9,I Believe in a Thing Called Love,Maurene Goo,336,https://www.goodreads.com/book/show/31145133-i-believe-in-a-thing-called-love,F,Fiction,Young Adult,3.66,2/23,3/11,
10,Untamed,Glennon Doyle,352,https://www.goodreads.com/book/show/52129515-untamed,F,Non-Fiction,Memoir,4.46,3/7,3/12,
11,"Red, White and Royal Blue",Casey McQuiston,421,https://www.goodreads.com/book/show/41150487-red-white-royal-blue,F,Fiction,Romance,4.31,3/12,3/20,
12,Bird by Bird: Some Instructions on Writing and Life,Anne Lamott,237,https://www.goodreads.com/book/show/12543.Bird_by_Bird,F,Non-Fiction,Writing,4.23,3/21,3/31,Y
13,Cleanness,Garth Greenwell,240,https://www.goodreads.com/book/show/45892271-cleanness?ac=1&from_search=true&qid=ornMVFsX93&rank=2,M,Fiction,Contemporary,4.05,3/31,4/6,
14,The Bridges of Madison County,Robert James Waller,221,https://www.goodreads.com/book/show/83674.The_Bridges_of_Madison_County,M,Fiction,Contemporary,3.61,4/8,4/11,
15,Super Attractor,Gabrielle Bernstein,248,https://www.goodreads.com/book/show/43496426-super-attractor?from_search=true&from_srp=true&qid=sRtfi9Txub&rank=1,F,Non-Fiction,Self Help,4.18,4/11,4/22,
16,Felix Ever After,Kacen Callender,354,https://www.goodreads.com/book/show/51931067-felix-ever-after?from_search=true&from_srp=true&qid=ssQYTzSgHg&rank=1,M,Fiction,Young Adult,4.46,5/12,5/14,
17,Days of Distraction,Alexandra Chang,312,https://www.goodreads.com/book/show/52973514-days-of-distraction?from_search=true&from_srp=true&qid=zLGt916iHW&rank=1,F,Fiction,Contemporary,3.66,4/12,5/17,
18,"wow, no thank you.",Samantha Irby,288,https://www.goodreads.com/book/show/52844646-wow-no-thank-you,F,Non-Fiction,Essays,4.13,4/5,6/15,Y
19,How Much of These Hills Is Gold,C. Pam Zhang,288,https://www.goodreads.com/book/show/45895362-how-much-of-these-hills-is-gold?from_search=true&from_srp=true&qid=rMvIru31RB&rank=1,F,Fiction,historical,3.86,5/22,6/1,
20,Between the World and Me,Tanehisi Coates,152,https://www.goodreads.com/book/show/25489625-between-the-world-and-me?from_search=true&from_srp=true&qid=xvQajzPDjC&rank=1,M,Non-Fiction,Current Events,4.52,6/15,6/24,Y
21,Where the Crawdads Sing,Delia Owens,384,https://www.goodreads.com/book/show/36809135-where-the-crawdads-sing?ac=1&from_search=true&qid=TifR2MzIpW&rank=1,F,Fiction,Contemporary,4.47,6/22,6/29,
22,Boys and Sex,Peggy Ornstein,304,https://www.goodreads.com/book/show/43452877-boys-sex?from_search=true&from_srp=true&qid=TwPIaowNSU&rank=1,F,Non-Fiction,Current Events,4.24,4/12,7/3,
