date, pm25, pm10, o3, no2, so2, co
2022/2/2, 59, 22, 34, 4, 3, 
2022/2/3, 57, 22, 35, 4, 2, 
2022/2/4, 55, 22, 35, 4, 5, 
2022/2/5, 57, 17, 35, 3, 2, 
2022/2/6, 50, 20, 36, 4, 2, 
2022/2/7, 56, 25, 34, 5, 2, 
2022/2/8, 56, 26, 33, 8, 3, 
2022/2/9, 63, 44, 33, 10, 4, 
2022/2/10, 97, 65, 57, 13, 4, 
2022/2/11, 150, 43, 36, 7, 2, 
2022/2/12, 81, 46, 37, 9, 3, 
2022/2/13, 105, 47, 35, 6, 2, 
2022/2/14, 95, 34, 35, 4, 2, 
2022/2/15, 66, 22, 36, 5, 3, 
2022/2/16, 68, 24, 33, 5, 3, 
2022/2/17, 67, , , , , 
2022/1/4, 71, 43, 24, 13, 4, 
2022/1/5, 86, 60, 39, 16, 5, 
2022/1/6, 118, 45, 26, 14, 4, 
2022/1/7, 92, 66, 21, 17, 6, 
2022/1/8, 119, 48, 29, 11, 4, 
2022/1/9, 110, 33, 29, 7, 3, 
2022/1/10, 68, 19, 29, 5, 3, 
2022/1/11, 52, 46, 25, 13, 4, 
2022/1/12, 88, 38, 27, 9, 3, 
2022/1/13, 66, 34, 24, 10, 6, 
2022/1/14, 74, 55, 18, 16, 6, 
2022/1/15, 100, 34, 27, 6, 3, 
2022/1/16, 64, 36, 22, 12, 5, 
2022/1/17, 77, 34, 25, 10, 4, 
2022/1/18, 70, 45, 25, 13, 6, 
2022/1/19, 78, 45, 27, 9, 2, 
2022/1/20, 82, 66, 20, 14, 2, 
2022/1/21, 151, 64, 18, 14, 3, 
2022/1/22, 153, 74, 16, 19, 3, 
2022/1/23, 169, 91, 25, 22, 5, 
2022/1/24, 188, 88, 38, 22, 4, 
2022/1/25, 183, 26, 30, 6, 2, 
2022/1/26, 64, 24, 28, 5, 3, 
2022/1/27, 65, 23, 30, 5, 5, 
2022/1/28, 70, 20, 46, 5, 3, 
2022/1/29, 58, 29, 33, 6, 3, 
2022/1/30, 70, 38, 30, 6, 3, 
2022/1/31, 84, 27, 31, 2, 2, 
2022/2/1, 50, 20, 35, 3, 2, 
2021/10/2, 56, 50, 46, 7, 6, 
2021/10/3, 89, 50, 54, 8, 7, 
2021/10/4, 98, 13, 22, 8, 1, 
2021/10/5, 55, 18, 23, 8, 2, 
2021/10/6, 67, 11, 24, 6, 2, 
2021/10/7, 68, 37, 25, 11, 2, 
2021/10/8, 72, 35, 35, 7, 2, 
2021/10/9, 70, 46, 34, 9, 16, 
2021/10/10, 90, 23, 30, 4, 1, 
2021/10/11, 58, 33, 30, 10, 1, 
2021/10/12, 66, 35, 31, 9, 2, 
2021/10/13, 67, 37, 29, 13, 2, 
2021/10/14, 84, 40, 59, 14, 2, 
2021/10/15, 83, 22, 29, 4, 9, 
2021/10/16, 70, 18, 28, 4, 1, 
2021/10/17, 55, 43, 26, 12, 5, 
2021/10/18, 70, 43, 32, 7, 2, 
2021/10/19, 74, 32, 28, 9, 9, 
2021/10/20, 71, 41, 46, 9, 5, 
2021/10/21, 76, 28, 32, 7, 4, 
2021/10/22, 70, 41, 32, 12, 5, 
2021/10/23, 79, 50, 30, 14, 3, 
2021/10/24, 86, 65, 30, 18, 4, 
2021/10/25, 110, 72, 40, 19, 5, 
2021/10/26, 127, 50, 32, 9, 3, 
2021/10/27, 86, 38, 30, 10, 3, 
2021/10/28, 63, 53, 29, 14, 4, 
2021/10/29, 92, 72, 33, 17, 5, 
2021/10/30, 123, 55, 31, 9, 4, 
2021/10/31, 87, 35, 29, 6, 2, 
2021/11/1, 65, 49, 27, 11, 3, 
2021/11/2, 85, 77, 24, 17, 4, 
2021/11/3, 147, 75, 34, 18, 4, 
2021/11/4, 127, 68, 33, 16, 5, 
2021/11/5, 100, 67, 44, 14, 7, 
2021/11/6, 124, 67, 26, 6, 7, 
2021/11/7, 85, 19, 27, 4, 8, 
2021/11/8, 63, 15, 31, 4, 6, 
2021/11/9, 51, 14, 30, 4, 5, 
2021/11/10, 56, 12, 33, 4, 4, 
2021/11/11, 57, 19, 29, 6, 7, 
2021/11/12, 66, 40, 28, 9, 24, 
2021/11/13, 79, 57, 29, 11, 6, 
2021/11/14, 94, 63, 32, 8, 5, 
2021/11/15, 99, 79, 25, 16, 5, 
2021/11/16, 119, 90, 22, 16, 6, 
2021/11/17, 129, 81, 27, 16, 6, 
2021/11/18, 131, 63, 30, 13, 8, 
2021/11/19, 111, 46, 26, 12, 4, 
2021/11/20, 88, 56, 20, 12, 6, 
2021/11/21, 93, 153, 29, 3, 3, 
2021/11/22, 102, 34, 26, 4, 5, 
2021/11/23, 62, 44, 22, 13, 8, 
2021/11/24, 83, 68, 23, 14, 6, 
2021/11/25, 101, 65, 25, 12, 6, 
2021/11/26, 100, 36, 25, 9, 5, 
2021/11/27, 79, 57, 18, 16, 5, 
2021/11/28, 105, 101, 23, 28, 7, 
2021/11/29, 168, 34, 28, 7, 4, 
2021/11/30, 65, 24, 27, 3, 7, 
2021/12/1, 57, 33, 23, 9, 6, 
2021/12/2, 73, 50, 30, 8, 6, 
2021/12/3, 75, 39, 30, 8, 8, 
2021/12/4, 66, 47, 21, 12, 9, 
2021/12/5, 82, 65, 29, 16, 10, 
2021/12/6, 106, 27, 28, 4, 6, 
2021/12/7, 51, 41, 24, 12, 6, 
2021/12/8, 74, 58, 18, 18, 9, 
2021/12/9, 109, 86, 12, 26, 8, 
2021/12/10, 151, 50, 24, 12, 6, 
2021/12/11, 91, 32, 28, 5, 4, 
2021/12/12, 53, 20, 28, 5, 6, 
2021/12/13, 47, 41, 21, 10, 5, 
2021/12/14, 75, 58, 27, 12, 4, 
2021/12/15, 104, 64, 32, 13, 6, 
2021/12/16, 92, 44, 30, 3, 3, 
2021/12/17, 58, 29, 25, 8, 6, 
2021/12/18, 59, 44, 31, 10, 5, 
2021/12/19, 69, 61, 27, 12, 5, 
2021/12/20, 86, 72, 27, 10, 4, 
2021/12/21, 89, 67, 22, 15, 6, 
2021/12/22, 107, 58, 27, 13, 4, 
2021/12/23, 103, 39, 27, 6, 4, 
2021/12/24, 71, 17, 27, 5, 9, 
2021/12/25, 46, 15, 27, 5, 8, 
2021/12/26, 42, 36, 24, 9, 5, 
2021/12/27, 65, 46, 21, 12, 7, 
2021/12/28, 81, 52, 29, 11, 6, 
2021/12/29, 76, 44, 31, 5, 5, 
2021/12/30, 51, 38, 30, 6, 4, 
2021/12/31, 63, 51, 24, 14, 6, 
2022/1/1, 89, 48, 29, 9, 7, 
2022/1/2, 83, 40, 22, 11, 5, 
2022/1/3, 81, 37, 28, 8, 3, 
2021/7/2, 68, 31, 62, 7, 4, 2
2021/7/3, 59, 18, 61, 8, 3, 3
2021/7/4, 52, 23, 56, 10, 2, 2
2021/7/5, 49, 26, 54, 9, 2, 3
2021/7/6, 51, 22, 55, 7, 3, 4
2021/7/7, 54, 351, 500, 171, 169, 2
2021/7/8, 366, 877, 500, 438, 438, 10
2021/7/9, 878, 959, 500, 479, 479, 2
2021/7/10, 960, 50, 94, 7, 4, 
2021/7/11, 80, 46, 90, 7, 3, 
2021/7/12, 85, 14, 29, 6, 3, 
2021/7/13, 45, 13, 30, 7, 3, 
2021/7/14, 53, 22, 67, 4, 3, 
2021/7/15, 40, 45, 71, 6, 4, 
2021/7/16, 78, 33, 62, 7, 2, 
2021/7/17, 52, 24, 37, 6, 5, 
2021/7/18, 51, 20, 41, 5, 2, 
2021/7/19, 50, 31, 49, 5, 3, 
2021/7/20, 56, 43, 57, 6, 5, 
2021/7/21, 73, 37, 46, 5, 2, 
2021/7/22, 60, 16, 27, 3, 2, 
2021/7/23, 33, 26, 55, 6, 3, 
2021/7/24, 52, 39, 50, 5, 3, 
2021/7/25, 65, 48, 51, 6, 2, 
2021/7/26, 84, 39, 52, 8, 2, 
2021/7/27, 82, 22, 37, 5, 2, 
2021/7/28, 48, 36, 43, 8, 4, 
2021/7/29, 60, 27, 39, 7, 3, 
2021/7/30, 58, 26, 47, 6, 2, 
2021/7/31, 50, 28, 54, 4, 3, 
2021/8/1, 52, 22, 35, 2, 3, 
2021/8/2, 45, 28, 49, 5, 3, 
2021/8/3, 44, 47, 53, 7, 4, 
2021/8/4, 62, 37, 71, 7, 4, 
2021/8/5, 72, 30, 44, 6, 3, 
2021/8/6, 58, 57, 66, 7, 2, 
2021/8/7, 122, 64, 90, 6, 3, 
2021/8/8, 137, 22, 47, 3, 1, 
2021/8/9, 49, 16, 61, 3, 1, 
2021/8/10, 34, 28, 46, 4, 2, 
2021/8/11, 60, 57, 61, 8, 3, 
2021/8/12, 126, 55, 81, 7, 4, 
2021/8/13, 110, 54, 84, 7, 4, 
2021/8/14, 109, 51, 73, 6, 3, 
2021/8/15, 105, 38, 61, 6, 2, 
2021/8/16, 91, 53, 85, 10, 2, 
2021/8/17, 113, 38, 65, 6, 2, 
2021/8/18, 75, 35, 55, 7, 2, 
2021/8/19, 64, 17, 44, 6, 3, 
2021/8/20, 64, 20, 37, 5, 2, 
2021/8/21, 59, 25, 50, 5, 2, 
2021/8/22, 55, 62, 66, 8, 4, 
2021/8/23, 84, 53, 60, 5, 3, 
2021/8/24, 89, 15, 35, 5, 1, 
2021/8/25, 54, 12, 33, 6, 1, 
2021/8/26, 47, 16, 25, 7, 2, 
2021/8/27, 34, 17, 31, 5, 2, 
2021/8/28, 52, 25, 30, 8, 3, 
2021/8/29, 51, 30, 58, 6, 4, 
2021/8/30, 52, 45, 63, 7, 3, 
2021/8/31, 87, 46, 71, 9, 4, 
2021/9/1, 86, 37, 69, 7, 3, 
2021/9/2, 77, 25, 52, 6, 2, 
2021/9/3, 53, 37, 63, 9, 3, 
2021/9/4, 70, 34, 48, 9, 2, 
2021/9/5, 88, 14, 42, 4, 2, 
2021/9/6, 64, 14, 33, 4, 1, 
2021/9/7, 61, 9, 13, 1, 1, 
2021/9/8, 26, 1, , , , 
2021/9/9, 1, 20, 46, 5, 2, 
2021/9/10, 42, 35, 55, 8, 9, 
2021/9/11, 62, 47, 73, 10, 7, 
2021/9/12, 78, 52, 75, 9, 2, 
2021/9/13, 104, 41, 38, 10, 2, 
2021/9/14, 89, 39, 51, 7, 2, 
2021/9/15, 79, 40, 34, 10, 2, 
