fips,county_name,state_abbr,population,year
04013,Maricopa County,AZ,2122101,1990
06037,Los Angeles County,CA,8863164,1990
32003,Clark County,NV,741459,1990
48201,Harris County,TX,2818199,1990
06059,Orange County,CA,2410556,1990
06065,Riverside County,CA,1170413,1990
12011,Broward County,FL,1255488,1990
48113,Dallas County,TX,1852810,1990
12086,Miami-Dade County,FL,1937094,1990
06073,San Diego County,CA,2498016,1990
06071,San Bernardino County,CA,1418380,1990
36081,Queens County,NY,1951598,1990
48439,Tarrant County,TX,1170103,1990
17031,Cook County,IL,5105067,1990
12099,Palm Beach County,FL,863518,1990
48453,Travis County,TX,576407,1990
13135,Gwinnett County,GA,352910,1990
53033,King County,WA,1507319,1990
48085,Collin County,TX,264036,1990
12095,Orange County,FL,677491,1990
48029,Bexar County,TX,1185394,1990
37183,Wake County,NC,423380,1990
48215,Hidalgo County,TX,383545,1990
06085,Santa Clara County,CA,1497577,1990
37119,Mecklenburg County,NC,511433,1990
06067,Sacramento County,CA,1041219,1990
04019,Pima County,AZ,666880,1990
49035,Salt Lake County,UT,725956,1990
13121,Fulton County,GA,648951,1990
12057,Hillsborough County,FL,834054,1990
36047,Kings County,NY,2300664,1990
06001,Alameda County,CA,1279182,1990
13067,Cobb County,GA,447745,1990
48121,Denton County,TX,273525,1990
51059,Fairfax County,VA,818584,1990
06013,Contra Costa County,CA,803732,1990
17197,Will County,IL,357313,1990
53061,Snohomish County,WA,465642,1990
41067,Washington County,OR,311554,1990
06019,Fresno County,CA,667490,1990
48157,Fort Bend County,TX,225421,1990
36005,Bronx County,NY,1203789,1990
17097,Lake County,IL,516418,1990
17043,DuPage County,IL,781666,1990
13089,DeKalb County,GA,545837,1990
08041,El Paso County,CO,397014,1990
06029,Kern County,CA,543477,1990
24031,Montgomery County,MD,757027,1990
08035,Douglas County,CO,60391,1990
53053,Pierce County,WA,586203,1990
48339,Montgomery County,TX,182201,1990
26125,Oakland County,MI,1083592,1990
48491,Williamson County,TX,139551,1990
39049,Franklin County,OH,961437,1990
53011,Clark County,WA,238053,1990
12031,Duval County,FL,672971,1990
12071,Lee County,FL,335113,1990
49049,Utah County,UT,263590,1990
12021,Collier County,FL,152099,1990
08001,Adams County,CO,265038,1990
36103,Suffolk County,NY,1321864,1990
08005,Arapahoe County,CO,391511,1990
20091,Johnson County,KS,355054,1990
16001,Ada County,ID,205775,1990
08059,Jefferson County,CO,438430,1990
48141,El Paso County,TX,591610,1990
08031,Denver County,CO,467610,1990
17089,Kane County,IL,317471,1990
32031,Washoe County,NV,254667,1990
06111,Ventura County,CA,669016,1990
27053,Hennepin County,MN,1032431,1990
51107,Loudoun County,VA,86129,1990
06077,San Joaquin County,CA,480628,1990
27037,Dakota County,MN,275227,1990
12105,Polk County,FL,405382,1990
34023,Middlesex County,NJ,671780,1990
34029,Ocean County,NJ,433203,1990
12117,Seminole County,FL,287529,1990
12009,Brevard County,FL,398978,1990
17111,McHenry County,IL,183241,1990
41051,Multnomah County,OR,583887,1990
06099,Stanislaus County,CA,370522,1990
35001,Bernalillo County,NM,480577,1990
06061,Placer County,CA,172796,1990
48061,Cameron County,TX,260120,1990
18057,Hamilton County,IN,108936,1990
26081,Kent County,MI,500631,1990
37081,Guilford County,NC,347420,1990
12127,Volusia County,FL,370712,1990
24033,Prince George's County,MD,729268,1990
42091,Montgomery County,PA,678111,1990
47157,Shelby County,TN,826330,1990
29183,St. Charles County,MO,212907,1990
26099,Macomb County,MI,717400,1990
06097,Sonoma County,CA,388222,1990
12103,Pinellas County,FL,851659,1990
25017,Middlesex County,MA,1398468,1990
08013,Boulder County,CO,225339,1990
08069,Larimer County,CO,186136,1990
51153,Prince William County,VA,215686,1990
12097,Osceola County,FL,107728,1990
36085,Richmond County,NY,378977,1990
12083,Marion County,FL,194833,1990
12101,Pasco County,FL,281131,1990
47149,Rutherford County,TN,118570,1990
04021,Pinal County,AZ,116379,1990
18097,Marion County,IN,797159,1990
24003,Anne Arundel County,MD,427239,1990
34025,Monmouth County,NJ,553124,1990
24005,Baltimore County,MD,692134,1990
04015,Mohave County,AZ,93497,1990
40109,Oklahoma County,OK,599611,1990
13151,Henry County,GA,58741,1990
24027,Howard County,MD,187328,1990
40143,Tulsa County,OK,503341,1990
48479,Webb County,TX,133239,1990
04025,Yavapai County,AZ,107714,1990
41005,Clackamas County,OR,278850,1990
45045,Greenville County,SC,320167,1990
55025,Dane County,WI,367085,1990
47037,Davidson County,TN,510784,1990
34003,Bergen County,NJ,825380,1990
12069,Lake County,FL,152104,1990
10003,New Castle County,DE,441946,1990
06081,San Mateo County,CA,649623,1990
34035,Somerset County,NJ,240279,1990
42029,Chester County,PA,376396,1990
53063,Spokane County,WA,361364,1990
42017,Bucks County,PA,541174,1990
41047,Marion County,OR,228483,1990
06107,Tulare County,CA,311921,1990
55133,Waukesha County,WI,304715,1990
05007,Benton County,AR,97499,1990
34017,Hudson County,NJ,553099,1990
27163,Washington County,MN,145896,1990
09001,Fairfield County,CT,827645,1990
13063,Clayton County,GA,182052,1990
27003,Anoka County,MN,243641,1990
13117,Forsyth County,GA,44083,1990
06095,Solano County,CA,340421,1990
25009,Essex County,MA,670080,1990
04027,Yuma County,AZ,106895,1990
06075,San Francisco County,CA,723959,1990
45051,Horry County,SC,144053,1990
12081,Manatee County,FL,211707,1990
13057,Cherokee County,GA,90204,1990
49011,Davis County,UT,187941,1990
51041,Chesterfield County,VA,209274,1990
26139,Ottawa County,MI,187768,1990
48039,Brazoria County,TX,191707,1990
36061,New York County,NY,1487536,1990
20173,Sedgwick County,KS,403662,1990
08123,Weld County,CO,131821,1990
34027,Morris County,NJ,421353,1990
36119,Westchester County,NY,874866,1990
45063,Lexington County,SC,167611,1990
12115,Sarasota County,FL,277776,1990
42071,Lancaster County,PA,422822,1990
19153,Polk County,IA,327140,1990
51550,Chesapeake city,VA,151976,1990
36059,Nassau County,NY,1287348,1990
31055,Douglas County,NE,416444,1990
12073,Leon County,FL,192493,1990
48027,Bell County,TX,191088,1990
22103,St. Tammany Parish,LA,144508,1990
47093,Knox County,TN,335749,1990
53067,Thurston County,WA,161238,1990
06053,Monterey County,CA,355660,1990
47187,Williamson County,TN,81021,1990
24021,Frederick County,MD,150208,1990
33011,Hillsborough County,NH,336073,1990
39165,Warren County,OH,113909,1990
51087,Henrico County,VA,217881,1990
05143,Washington County,AR,113409,1990
01117,Shelby County,AL,99358,1990
13139,Hall County,GA,95428,1990
10005,Sussex County,DE,113229,1990
39041,Delaware County,OH,66929,1990
42089,Monroe County,PA,95709,1990
12111,St. Lucie County,FL,150171,1990
53035,Kitsap County,WA,189731,1990
42133,York County,PA,339574,1990
01003,Baldwin County,AL,98280,1990
49053,Washington County,UT,48560,1990
37063,Durham County,NC,181835,1990
16027,Canyon County,ID,90076,1990
39017,Butler County,OH,291479,1990
26093,Livingston County,MI,115645,1990
25027,Worcester County,MA,709705,1990
37101,Johnston County,NC,81306,1990
41017,Deschutes County,OR,74958,1990
37067,Forsyth County,NC,265878,1990
13223,Paulding County,GA,41611,1990
41039,Lane County,OR,282912,1990
37129,New Hanover County,NC,120284,1990
26161,Washtenaw County,MI,282937,1990
15003,Honolulu County,HI,836231,1990
37179,Union County,NC,84211,1990
12109,St. Johns County,FL,83829,1990
28033,DeSoto County,MS,67910,1990
35013,Dona Ana County,NM,135510,1990
53073,Whatcom County,WA,127780,1990
16055,Kootenai County,ID,69795,1990
49057,Weber County,UT,158330,1990
01089,Madison County,AL,238912,1990
25023,Plymouth County,MA,435276,1990
42011,Berks County,PA,336523,1990
31109,Lancaster County,NE,213641,1990
24025,Harford County,MD,182132,1990
12001,Alachua County,FL,181596,1990
12113,Santa Rosa County,FL,81608,1990
34031,Passaic County,NJ,453060,1990
25001,Barnstable County,MA,186605,1990
13077,Coweta County,GA,53853,1990
21067,Fayette County,KY,225366,1990
06039,Madera County,CA,88090,1990
45079,Richland County,SC,285720,1990
41029,Jackson County,OR,146389,1990
12019,Clay County,FL,105986,1990
45013,Beaufort County,SC,86425,1990
47125,Montgomery County,TN,100498,1990
25021,Norfolk County,MA,616087,1990
02020,Anchorage Borough,AK,226338,1990
40027,Cleveland County,OK,174253,1990
53077,Yakima County,WA,188823,1990
36071,Orange County,NY,307647,1990
45091,York County,SC,131497,1990
06025,Imperial County,CA,109303,1990
51177,Spotsylvania County,VA,57403,1990
48167,Galveston County,TX,217399,1990
22033,East Baton Rouge Parish,LA,380105,1990
29077,Greene County,MO,207949,1990
51810,Virginia Beach city,VA,393069,1990
55009,Brown County,WI,194594,1990
06047,Merced County,CA,178403,1990
37025,Cabarrus County,NC,98935,1990
48209,Hays County,TX,65614,1990
27139,Scott County,MN,57846,1990
12033,Escambia County,FL,262798,1990
33015,Rockingham County,NH,245845,1990
37021,Buncombe County,NC,174821,1990
51179,Stafford County,VA,61236,1990
18003,Allen County,IN,300836,1990
12015,Charlotte County,FL,110975,1990
29047,Clay County,MO,153411,1990
48041,Brazos County,TX,121862,1990
35049,Santa Fe County,NM,98928,1990
06017,El Dorado County,CA,125995,1990
53005,Benton County,WA,112560,1990
06083,Santa Barbara County,CA,369608,1990
37097,Iredell County,NC,92931,1990
12053,Hernando County,FL,101115,1990
48251,Johnson County,TX,97165,1990
06079,San Luis Obispo County,CA,217162,1990
13113,Fayette County,GA,62415,1990
39103,Medina County,OH,122354,1990
34039,Union County,NJ,493819,1990
21111,Jefferson County,KY,664937,1990
21015,Boone County,KY,57589,1990
37051,Cumberland County,NC,274566,1990
18063,Hendricks County,IN,75717,1990
15001,Hawaii County,HI,120317,1990
25005,Bristol County,MA,506325,1990
34005,Burlington County,NJ,395066,1990
34001,Atlantic County,NJ,224327,1990
28121,Rankin County,MS,87161,1990
06031,Kings County,CA,101469,1990
01081,Lee County,AL,87146,1990
39153,Summit County,OH,514990,1990
39025,Clermont County,OH,150187,1990
15009,Maui County,HI,100374,1990
06113,Yolo County,CA,141092,1990
24013,Carroll County,MD,123372,1990
47165,Sumner County,TN,103281,1990
18081,Johnson County,IN,88109,1990
45083,Spartanburg County,SC,226800,1990
12091,Okaloosa County,FL,143776,1990
29099,Jefferson County,MO,171380,1990
18039,Elkhart County,IN,156198,1990
35043,Sandoval County,NM,63319,1990
48139,Ellis County,TX,85167,1990
48091,Comal County,TX,51832,1990
05045,Faulkner County,AR,60006,1990
25025,Suffolk County,MA,663906,1990
37147,Pitt County,NC,107924,1990
06087,Santa Cruz County,CA,229734,1990
12085,Martin County,FL,100900,1990
22055,Lafayette Parish,LA,164762,1990
17201,Winnebago County,IL,252913,1990
44007,Providence County,RI,596270,1990
27123,Ramsey County,MN,485765,1990
34021,Mercer County,NJ,325824,1990
34015,Gloucester County,NJ,230082,1990
12017,Citrus County,FL,93515,1990
46099,Minnehaha County,SD,123809,1990
48309,McLennan County,TX,189123,1990
37135,Orange County,NC,93851,1990
28047,Harrison County,MS,165365,1990
48187,Guadalupe County,TX,64873,1990
37151,Randolph County,NC,106546,1990
48367,Parker County,TX,64785,1990
53057,Skagit County,WA,79555,1990
48423,Smith County,TX,151309,1990
37035,Catawba County,NC,118412,1990
13073,Columbia County,GA,66031,1990
37085,Harnett County,NC,67822,1990
24009,Calvert County,MD,51372,1990
08077,Mesa County,CO,93145,1990
29019,Boone County,MO,112379,1990
51085,Hanover County,VA,63306,1990
19113,Linn County,IA,168767,1990
29189,St. Louis County,MO,993529,1990
12061,Indian River County,FL,90208,1990
37001,Alamance County,NC,108213,1990
48355,Nueces County,TX,291145,1990
23005,Cumberland County,ME,243135,1990
27141,Sherburne County,MN,41945,1990
47065,Hamilton County,TN,285536,1990
27019,Carver County,MN,47915,1990
35045,San Juan County,NM,91605,1990
55131,Washington County,WI,95328,1990
37019,Brunswick County,NC,50985,1990
23031,York County,ME,164587,1990
13297,Walton County,GA,38586,1990
42019,Butler County,PA,152013,1990
12119,Sumter County,FL,31577,1990
29095,Jackson County,MO,633232,1990
29043,Christian County,MO,32644,1990
45003,Aiken County,SC,120940,1990
13153,Houston County,GA,89208,1990
55059,Kenosha County,WI,128181,1990
36055,Monroe County,NY,713968,1990
22063,Livingston Parish,LA,70526,1990
36087,Rockland County,NY,265475,1990
27171,Wright County,MN,68710,1990
17113,McLean County,IL,129180,1990
12005,Bay County,FL,126994,1990
49005,Cache County,UT,70183,1990
01097,Mobile County,AL,378643,1990
47189,Wilson County,TN,67675,1990
12035,Flagler County,FL,28701,1990
13097,Douglas County,GA,71120,1990
06007,Butte County,CA,182120,1990
42077,Lehigh County,PA,291130,1990
35061,Valencia County,NM,45235,1990
28089,Madison County,MS,53794,1990
36027,Dutchess County,NY,259462,1990
37057,Davidson County,NC,126677,1990
45007,Anderson County,SC,145196,1990
55087,Outagamie County,WI,140510,1990
38017,Cass County,ND,102874,1990
13217,Newton County,GA,41808,1990
04003,Cochise County,AZ,97624,1990
47155,Sevier County,TN,51043,1990
13015,Bartow County,GA,55911,1990
31153,Sarpy County,NE,102583,1990
48303,Lubbock County,TX,222636,1990
42095,Northampton County,PA,247105,1990
53025,Grant County,WA,54758,1990
37089,Henderson County,NC,69285,1990
47009,Blount County,TN,85969,1990
04017,Navajo County,AZ,77658,1990
09009,New Haven County,CT,804219,1990
37159,Rowan County,NC,110605,1990
08037,Eagle County,CO,21928,1990
04005,Coconino County,AZ,96591,1990
02170,Matanuska-Susitna Borough,AK,39683,1990
48021,Bastrop County,TX,38263,1990
41071,Yamhill County,OR,65551,1990
24017,Charles County,MD,101154,1990
36091,Saratoga County,NY,181276,1990
05125,Saline County,AR,64183,1990
39045,Fairfield County,OH,103461,1990
48257,Kaufman County,TX,52220,1990
12055,Highlands County,FL,68432,1990
55127,Walworth County,WI,75000,1990
26147,St. Clair County,MI,145607,1990
51013,Arlington County,VA,170936,1990
18141,St. Joseph County,IN,247052,1990
08101,Pueblo County,CO,123051,1990
42041,Cumberland County,PA,195257,1990
22005,Ascension Parish,LA,58214,1990
18157,Tippecanoe County,IN,130598,1990
42103,Pike County,PA,27966,1990
29037,Cass County,MO,63808,1990
20045,Douglas County,KS,81798,1990
37155,Robeson County,NC,105179,1990
18127,Porter County,IN,128932,1990
27109,Olmsted County,MN,106470,1990
48397,Rockwall County,TX,25604,1990
48291,Liberty County,TX,52726,1990
30031,Gallatin County,MT,50463,1990
06041,Marin County,CA,230096,1990
39089,Licking County,OH,128300,1990
30063,Missoula County,MT,78687,1990
51510,Alexandria city,VA,111183,1990
45077,Pickens County,SC,93894,1990
01051,Elmore County,AL,49210,1990
54003,Berkeley County,WV,59253,1990
06069,San Benito County,CA,36697,1990
55139,Winnebago County,WI,140320,1990
13013,Barrow County,GA,29721,1990
33013,Merrimack County,NH,120005,1990
06089,Shasta County,CA,147036,1990
28059,Jackson County,MS,115243,1990
13185,Lowndes County,GA,75981,1990
13247,Rockdale County,GA,54091,1990
30111,Yellowstone County,MT,113419,1990
29165,Platte County,MO,57867,1990
21227,Warren County,KY,76673,1990
13045,Carroll County,GA,71422,1990
37125,Moore County,NC,59013,1990
10001,Kent County,DE,110993,1990
48375,Potter County,TX,97874,1990
48181,Grayson County,TX,95021,1990
05131,Sebastian County,AR,99590,1990
40131,Rogers County,OK,55170,1990
22019,Calcasieu Parish,LA,168134,1990
34013,Essex County,NJ,778206,1990
37071,Gaston County,NC,175093,1990
30029,Flathead County,MT,59218,1990
26077,Kalamazoo County,MI,223411,1990
26005,Allegan County,MI,90509,1990
17093,Kendall County,IL,39413,1990
13051,Chatham County,GA,216935,1990
45019,Charleston County,SC,295039,1990
19103,Johnson County,IA,96119,1990
47179,Washington County,TN,92315,1990
22105,Tangipahoa Parish,LA,85709,1990
50007,Chittenden County,VT,131761,1990
48213,Henderson County,TX,58543,1990
01115,St. Clair County,AL,50009,1990
