date,begin,end,plane,flight_time,leave_sched,leave_actual,land_sched,land_actual,,,
12-Aug-21,Lihue (LIH),Los Angeles (LAX),B738 (N8305E),5:21,12:35 PM,12:36 PM,9:10 PM,Landed 8:57 PM,,,
11-Aug-21,Lihue (LIH),Los Angeles (LAX),B738 (N8305E),5:09,12:35 PM,12:45 PM,9:10 PM,Landed 8:54 PM,,,
10-Aug-21,Lihue (LIH),Los Angeles (LAX),B738 (N8326F),5:00,12:35 PM,12:50 PM,9:10 PM,Landed 8:50 PM,,,
9-Aug-21,Lihue (LIH),Los Angeles (LAX),B738 (N8305E),4:53,12:35 PM,12:50 PM,9:10 PM,Landed 8:42 PM,,,
8-Aug-21,Lihue (LIH),Los Angeles (LAX),B38M (N8718Q),4:57,12:35 PM,12:39 PM,9:10 PM,Landed 8:35 PM,,,
7-Aug-21,Lihue (LIH),Los Angeles (LAX),B38M (N8718Q),5:05,12:35 PM,12:57 PM,9:10 PM,Landed 9:02 PM,,,
6-Aug-21,Lihue (LIH),Los Angeles (LAX),B38M (N8718Q),5:06,12:35 PM,1:06 PM,9:10 PM,Landed 9:12 PM,,,
5-Aug-21,Lihue (LIH),Los Angeles (LAX),B738 (N8309C),5:05,12:35 PM,12:41 PM,9:10 PM,Landed 8:46 PM,,,
4-Aug-21,Lihue (LIH),Los Angeles (LAX),B738 (N8309C),5:06,12:35 PM,12:38 PM,9:10 PM,Landed 8:43 PM,,,
3-Aug-21,Lihue (LIH),Los Angeles (LAX),B38M (N8713M),5:00,12:35 PM,1:19 PM,9:10 PM,Landed 9:19 PM,,,
2-Aug-21,Lihue (LIH),Los Angeles (LAX),B38M (N8713M),4:57,12:35 PM,12:59 PM,9:10 PM,Landed 8:56 PM,,,
1-Aug-21,Lihue (LIH),Los Angeles (LAX),B38M (N8729H),5:00,12:35 PM,12:48 PM,9:10 PM,Landed 8:48 PM,,,
31-Jul-21,Lihue (LIH),Los Angeles (LAX),B38M (N8731J),5:01,12:35 PM,1:27 PM,9:10 PM,Landed 9:28 PM,,,
30-Jul-21,Lihue (LIH),Los Angeles (LAX),B38M (N8731J),4:53,12:35 PM,12:40 PM,9:10 PM,Landed 8:33 PM,,,
29-Jul-21,Lihue (LIH),Los Angeles (LAX),B738 (N8324A),4:58,12:35 PM,12:36 PM,9:10 PM,Landed 8:35 PM,,,
28-Jul-21,Lihue (LIH),Los Angeles (LAX),B738 (N8324A),4:55,12:35 PM,12:45 PM,9:10 PM,Landed 8:40 PM,,,
27-Jul-21,Lihue (LIH),Los Angeles (LAX),B738 (N8305E),4:59,12:35 PM,1:18 PM,9:10 PM,Landed 9:17 PM,,,
26-Jul-21,Lihue (LIH),Los Angeles (LAX),B38M (N8706W),5:03,12:35 PM,12:49 PM,9:10 PM,Landed 8:52 PM,,,
25-Jul-21,Lihue (LIH),Los Angeles (LAX),B38M (N8717M),5:01,12:35 PM,12:56 PM,9:10 PM,Landed 8:57 PM,,,
24-Jul-21,Lihue (LIH),Los Angeles (LAX),B38M (N8722L),5:07,12:35 PM,1:11 PM,9:10 PM,Landed 9:18 PM,,,
23-Jul-21,Lihue (LIH),Los Angeles (LAX),B38M (N8704Q),5:15,12:35 PM,12:46 PM,9:10 PM,Landed 9:01 PM,,,
22-Jul-21,Lihue (LIH),Los Angeles (LAX),B738 (N8328A),5:09,12:35 PM,1:04 PM,9:10 PM,Landed 9:13 PM,,,
21-Jul-21,Lihue (LIH),Los Angeles (LAX),B738 (N8311Q),5:03,12:35 PM,1:22 PM,9:10 PM,Landed 9:25 PM,,,
20-Jul-21,Lihue (LIH),Los Angeles (LAX),B738 (N8327A),5:08,12:35 PM,12:43 PM,9:10 PM,Landed 8:51 PM,,,
19-Jul-21,Lihue (LIH),Los Angeles (LAX),B738 (N8311Q),5:04,12:35 PM,12:42 PM,9:10 PM,Landed 8:46 PM,,,
18-Jul-21,Lihue (LIH),Los Angeles (LAX),B738 (N8303R),5:16,12:35 PM,12:35 PM,9:10 PM,Landed 8:52 PM,,,
