flight_id,timestamp,IAS,TAS,mach,alt_MCP,alt_FMS,autopilot_flags,true_track,roll_angle,QNH,wind_direction,wind_speed,precision,alt_GPS,emergency_status,tcas_acas_status
567943545,1566835898,,,,,,,,,,,,8,,,
567943545,1566836537,,,,,,,,,,,,,1800,,
