,question,Refused/Don't know,Completely/mostly agree,Completely/mostly disagree
0,Resort to violence,2.0,18.0,80.0
1,Satan-worshipping pedophiles,3.0,16.0,80.0
2,Storm coming soon,3.0,22.0,75.0
