,date,count
0,2017-01-20,12
1,2017-01-21,2
2,2017-01-22,4
3,2017-01-23,1
4,2017-01-24,8
5,2017-01-25,9
6,2017-01-26,6
7,2017-01-27,7
8,2017-01-28,4
9,2017-01-29,7
10,2017-01-30,8
11,2017-01-31,5
12,2017-02-01,3
13,2017-02-02,6
14,2017-02-03,8
15,2017-02-04,9
16,2017-02-05,6
17,2017-02-06,6
18,2017-02-07,4
19,2017-02-08,11
20,2017-02-09,7
21,2017-02-10,3
22,2017-02-11,11
23,2017-02-12,7
24,2017-02-13,5
25,2017-02-14,4
26,2017-02-15,11
27,2017-02-16,6
28,2017-02-17,9
29,2017-02-18,3
30,2017-02-19,2
31,2017-02-20,4
32,2017-02-21,2
33,2017-02-22,2
34,2017-02-23,3
35,2017-02-24,5
36,2017-02-25,6
37,2017-02-26,4
38,2017-02-27,3
39,2017-02-28,2
40,2017-03-01,1
41,2017-03-02,5
42,2017-03-03,9
43,2017-03-04,7
44,2017-03-05,3
45,2017-03-06,6
46,2017-03-07,7
47,2017-03-08,6
48,2017-03-09,4
49,2017-03-10,2
50,2017-03-11,1
51,2017-03-12,1
52,2017-03-13,5
53,2017-03-14,2
54,2017-03-15,9
55,2017-03-16,5
56,2017-03-17,9
57,2017-03-18,2
58,2017-03-19,1
59,2017-03-20,8
60,2017-03-21,3
61,2017-03-22,4
62,2017-03-23,4
63,2017-03-24,4
64,2017-03-25,4
65,2017-03-26,2
66,2017-03-27,4
67,2017-03-28,6
68,2017-03-29,5
69,2017-03-30,9
70,2017-03-31,8
71,2017-04-01,7
72,2017-04-02,4
73,2017-04-03,7
74,2017-04-04,4
75,2017-04-05,2
76,2017-04-06,1
77,2017-04-07,1
78,2017-04-08,5
79,2017-04-09,3
80,2017-04-10,2
81,2017-04-11,6
82,2017-04-12,6
83,2017-04-13,4
84,2017-04-14,2
85,2017-04-16,7
86,2017-04-17,7
87,2017-04-18,7
88,2017-04-19,4
89,2017-04-20,3
90,2017-04-21,8
91,2017-04-22,7
92,2017-04-23,8
93,2017-04-24,6
94,2017-04-25,5
95,2017-04-26,9
96,2017-04-27,12
97,2017-04-28,6
98,2017-04-29,3
99,2017-04-30,5
100,2017-05-01,3
101,2017-05-02,5
102,2017-05-03,2
103,2017-05-04,12
104,2017-05-05,8
105,2017-05-06,1
106,2017-05-07,6
107,2017-05-08,10
108,2017-05-09,3
109,2017-05-10,11
110,2017-05-11,5
111,2017-05-12,11
112,2017-05-13,2
113,2017-05-14,1
114,2017-05-15,2
115,2017-05-16,5
116,2017-05-17,1
117,2017-05-18,5
118,2017-05-19,2
119,2017-05-20,2
120,2017-05-21,3
121,2017-05-22,2
122,2017-05-23,4
123,2017-05-24,2
124,2017-05-25,4
125,2017-05-26,4
126,2017-05-27,7
127,2017-05-28,13
128,2017-05-29,4
129,2017-05-30,6
130,2017-05-31,10
131,2017-06-01,3
132,2017-06-02,9
133,2017-06-03,4
134,2017-06-04,3
135,2017-06-05,9
136,2017-06-06,12
137,2017-06-07,2
138,2017-06-09,8
139,2017-06-10,1
140,2017-06-11,8
141,2017-06-12,5
142,2017-06-13,11
143,2017-06-14,3
144,2017-06-15,6
145,2017-06-16,9
146,2017-06-17,1
147,2017-06-18,7
148,2017-06-19,14
149,2017-06-20,11
150,2017-06-21,3
151,2017-06-22,16
152,2017-06-23,5
153,2017-06-24,4
154,2017-06-25,2
155,2017-06-26,12
156,2017-06-27,11
157,2017-06-28,10
158,2017-06-29,13
159,2017-06-30,6
160,2017-07-01,12
161,2017-07-02,4
162,2017-07-03,12
163,2017-07-04,4
164,2017-07-05,4
165,2017-07-06,5
166,2017-07-07,6
167,2017-07-08,5
168,2017-07-09,11
169,2017-07-10,10
170,2017-07-11,8
171,2017-07-12,13
172,2017-07-13,4
173,2017-07-14,13
174,2017-07-15,7
175,2017-07-16,9
176,2017-07-17,2
177,2017-07-18,7
178,2017-07-19,3
179,2017-07-20,3
180,2017-07-21,7
181,2017-07-22,14
182,2017-07-23,6
183,2017-07-24,11
184,2017-07-25,17
185,2017-07-26,11
186,2017-07-27,11
187,2017-07-28,8
188,2017-07-29,13
189,2017-07-30,1
190,2017-07-31,4
191,2017-08-01,3
192,2017-08-02,5
193,2017-08-03,10
194,2017-08-04,15
195,2017-08-05,9
196,2017-08-06,5
197,2017-08-07,13
198,2017-08-08,9
199,2017-08-09,13
200,2017-08-10,6
201,2017-08-11,9
202,2017-08-12,8
203,2017-08-13,4
204,2017-08-14,12
205,2017-08-15,8
206,2017-08-16,15
207,2017-08-17,10
208,2017-08-18,10
209,2017-08-19,8
210,2017-08-20,2
211,2017-08-21,6
212,2017-08-22,8
213,2017-08-23,8
214,2017-08-24,14
215,2017-08-25,16
216,2017-08-26,8
217,2017-08-27,12
218,2017-08-28,3
219,2017-08-29,6
220,2017-08-30,8
221,2017-08-31,2
222,2017-09-01,9
223,2017-09-02,10
224,2017-09-03,5
225,2017-09-04,2
226,2017-09-05,6
227,2017-09-06,10
228,2017-09-07,11
229,2017-09-08,7
230,2017-09-09,4
231,2017-09-10,9
232,2017-09-11,2
233,2017-09-12,5
234,2017-09-13,6
235,2017-09-14,11
236,2017-09-15,13
237,2017-09-16,3
238,2017-09-17,15
239,2017-09-18,8
240,2017-09-19,11
241,2017-09-20,24
242,2017-09-21,6
243,2017-09-22,11
244,2017-09-23,14
245,2017-09-24,10
246,2017-09-25,15
247,2017-09-26,19
248,2017-09-27,9
249,2017-09-28,10
250,2017-09-29,16
251,2017-09-30,26
252,2017-10-01,8
253,2017-10-02,1
254,2017-10-03,10
255,2017-10-04,8
256,2017-10-05,12
257,2017-10-07,12
258,2017-10-08,11
259,2017-10-09,6
260,2017-10-10,10
261,2017-10-11,16
262,2017-10-12,10
263,2017-10-13,16
264,2017-10-14,9
265,2017-10-15,4
266,2017-10-16,7
267,2017-10-17,11
268,2017-10-18,16
269,2017-10-19,10
270,2017-10-20,8
271,2017-10-21,13
272,2017-10-22,3
273,2017-10-23,4
274,2017-10-24,8
275,2017-10-25,17
276,2017-10-26,8
277,2017-10-27,16
278,2017-10-28,9
279,2017-10-29,6
280,2017-10-30,4
281,2017-10-31,17
282,2017-11-01,19
283,2017-11-02,13
284,2017-11-03,16
285,2017-11-04,7
286,2017-11-05,4
287,2017-11-06,9
288,2017-11-07,16
289,2017-11-08,5
290,2017-11-09,5
291,2017-11-10,7
292,2017-11-11,8
293,2017-11-12,4
294,2017-11-13,9
295,2017-11-14,5
296,2017-11-15,15
297,2017-11-16,8
298,2017-11-17,5
299,2017-11-18,3
300,2017-11-19,6
301,2017-11-20,2
302,2017-11-21,2
303,2017-11-22,12
304,2017-11-23,10
305,2017-11-24,6
306,2017-11-25,5
307,2017-11-26,4
308,2017-11-27,5
309,2017-11-28,19
310,2017-11-29,20
311,2017-11-30,12
312,2017-12-01,7
313,2017-12-02,7
314,2017-12-03,10
315,2017-12-04,4
316,2017-12-05,2
317,2017-12-06,5
318,2017-12-07,10
319,2017-12-08,9
320,2017-12-09,12
321,2017-12-10,3
322,2017-12-11,1
323,2017-12-12,6
324,2017-12-13,4
325,2017-12-14,7
326,2017-12-15,9
327,2017-12-16,3
328,2017-12-17,3
329,2017-12-18,13
330,2017-12-19,5
331,2017-12-20,5
332,2017-12-21,5
333,2017-12-22,11
334,2017-12-23,6
335,2017-12-24,6
336,2017-12-25,3
337,2017-12-26,3
338,2017-12-27,4
339,2017-12-28,10
340,2017-12-29,8
341,2017-12-30,6
342,2017-12-31,8
343,2018-01-01,3
344,2018-01-02,16
345,2018-01-03,4
346,2018-01-04,9
347,2018-01-05,5
348,2018-01-06,5
349,2018-01-07,7
350,2018-01-08,5
351,2018-01-09,8
352,2018-01-10,8
353,2018-01-11,14
354,2018-01-12,8
355,2018-01-13,8
356,2018-01-14,7
357,2018-01-15,12
358,2018-01-16,9
359,2018-01-17,8
360,2018-01-18,9
361,2018-01-19,7
362,2018-01-20,14
363,2018-01-21,3
364,2018-01-22,4
365,2018-01-23,7
366,2018-01-24,4
367,2018-01-25,3
368,2018-01-26,7
369,2018-01-27,5
370,2018-01-28,2
371,2018-01-29,1
372,2018-01-30,1
373,2018-02-01,4
374,2018-02-02,5
375,2018-02-03,7
376,2018-02-04,2
377,2018-02-05,6
378,2018-02-06,7
379,2018-02-07,5
380,2018-02-08,6
381,2018-02-09,3
382,2018-02-10,9
383,2018-02-11,4
384,2018-02-12,3
385,2018-02-13,2
386,2018-02-14,4
387,2018-02-15,7
388,2018-02-16,4
389,2018-02-17,9
390,2018-02-18,11
391,2018-02-19,5
392,2018-02-20,14
393,2018-02-21,5
394,2018-02-22,10
395,2018-02-23,9
396,2018-02-24,15
397,2018-02-25,1
398,2018-02-27,9
399,2018-02-28,8
400,2018-03-01,11
401,2018-03-02,8
402,2018-03-03,4
403,2018-03-04,2
404,2018-03-05,5
405,2018-03-06,9
406,2018-03-07,5
407,2018-03-08,6
408,2018-03-09,6
409,2018-03-10,10
410,2018-03-11,5
411,2018-03-12,7
412,2018-03-13,9
413,2018-03-14,9
414,2018-03-15,6
415,2018-03-16,4
416,2018-03-17,4
417,2018-03-18,3
418,2018-03-19,4
419,2018-03-20,1
420,2018-03-21,9
421,2018-03-22,6
422,2018-03-23,6
423,2018-03-24,1
424,2018-03-25,8
425,2018-03-26,5
426,2018-03-27,1
427,2018-03-28,9
428,2018-03-29,4
429,2018-03-30,1
430,2018-03-31,3
431,2018-04-01,3
432,2018-04-02,14
433,2018-04-03,8
434,2018-04-04,6
435,2018-04-05,4
436,2018-04-06,7
437,2018-04-07,7
438,2018-04-08,8
439,2018-04-09,5
440,2018-04-10,5
441,2018-04-11,13
442,2018-04-12,9
443,2018-04-13,6
444,2018-04-14,3
445,2018-04-15,9
446,2018-04-16,8
447,2018-04-17,22
448,2018-04-18,15
449,2018-04-19,13
450,2018-04-20,10
451,2018-04-21,14
452,2018-04-22,8
453,2018-04-23,4
454,2018-04-24,10
455,2018-04-25,7
456,2018-04-26,2
457,2018-04-27,13
458,2018-04-28,7
459,2018-04-29,6
460,2018-04-30,7
461,2018-05-01,7
462,2018-05-02,10
463,2018-05-03,6
464,2018-05-04,13
465,2018-05-05,1
466,2018-05-07,11
467,2018-05-08,7
468,2018-05-09,9
469,2018-05-10,5
