,date,tweet,retweet
199,2011-04-29,1.0,
200,2011-05-03,1.0,
201,2011-05-09,1.0,
202,2011-05-13,2.0,
203,2011-05-16,2.0,
204,2011-05-17,1.0,
205,2011-05-19,1.0,
206,2011-05-20,1.0,
207,2011-05-23,2.0,
208,2011-05-26,1.0,
209,2011-05-27,1.0,
210,2011-06-01,2.0,
211,2011-06-02,1.0,
212,2011-06-06,1.0,
213,2011-06-07,1.0,
214,2011-06-09,1.0,
215,2011-06-14,2.0,
216,2011-06-16,1.0,
217,2011-06-20,1.0,
218,2011-06-21,2.0,
219,2011-06-23,1.0,
220,2011-06-24,1.0,
221,2011-06-27,2.0,
222,2011-07-01,2.0,
223,2011-07-05,2.0,
224,2011-07-06,1.0,
225,2011-07-07,3.0,
226,2011-07-08,4.0,
227,2011-07-11,2.0,
228,2011-07-12,3.0,
229,2011-07-13,1.0,
230,2011-07-14,8.0,
231,2011-07-15,3.0,
232,2011-07-18,5.0,
233,2011-07-19,3.0,
234,2011-07-20,3.0,
235,2011-07-21,1.0,
236,2011-07-22,2.0,
237,2011-07-25,5.0,
238,2011-07-26,5.0,
239,2011-07-27,5.0,
240,2011-07-28,6.0,
241,2011-07-29,7.0,
242,2011-07-30,2.0,
243,2011-08-01,3.0,
244,2011-08-02,6.0,
245,2011-08-03,7.0,
246,2011-08-04,4.0,
247,2011-08-05,3.0,
248,2011-08-08,2.0,
249,2011-08-09,5.0,
250,2011-08-10,5.0,
251,2011-08-11,3.0,
252,2011-08-12,2.0,
253,2011-08-13,3.0,
254,2011-08-15,7.0,
255,2011-08-16,2.0,
256,2011-08-17,4.0,
257,2011-08-18,4.0,
258,2011-08-19,3.0,
259,2011-08-22,3.0,
260,2011-08-23,4.0,
261,2011-08-24,3.0,
262,2011-08-25,4.0,
263,2011-08-26,5.0,
264,2011-08-29,4.0,
265,2011-08-30,4.0,
266,2011-08-31,4.0,
267,2011-09-01,4.0,
268,2011-09-02,2.0,
269,2011-09-06,5.0,
270,2011-09-07,5.0,
271,2011-09-08,6.0,
272,2011-09-09,3.0,
273,2011-09-12,8.0,
274,2011-09-13,6.0,
275,2011-09-14,5.0,
276,2011-09-15,5.0,
277,2011-09-16,6.0,
278,2011-09-18,1.0,
279,2011-09-19,5.0,
280,2011-09-20,4.0,
281,2011-09-21,6.0,
282,2011-09-22,4.0,
283,2011-09-23,3.0,
284,2011-09-26,2.0,
285,2011-09-27,6.0,
286,2011-09-28,8.0,
287,2011-09-29,8.0,
288,2011-09-30,8.0,
289,2011-10-03,8.0,
290,2011-10-04,7.0,
291,2011-10-05,2.0,
292,2011-10-06,4.0,
293,2011-10-07,6.0,
294,2011-10-11,7.0,
295,2011-10-12,2.0,
296,2011-10-13,2.0,
297,2011-10-14,3.0,
298,2011-10-15,2.0,
299,2011-10-16,1.0,
300,2011-10-17,6.0,
301,2011-10-18,7.0,
302,2011-10-19,5.0,
303,2011-10-20,8.0,
304,2011-10-21,6.0,
305,2011-10-24,6.0,
306,2011-10-25,7.0,
307,2011-10-26,7.0,
308,2011-10-27,5.0,
309,2011-10-28,4.0,
310,2011-10-31,1.0,
311,2011-11-01,6.0,
312,2011-11-02,8.0,
313,2011-11-04,5.0,
314,2011-11-08,5.0,
315,2011-11-09,5.0,
316,2011-11-10,9.0,
317,2011-11-11,8.0,
318,2011-11-14,5.0,
319,2011-11-15,7.0,
320,2011-11-16,3.0,
321,2011-11-17,6.0,
322,2011-11-18,5.0,
323,2011-11-21,6.0,
324,2011-11-22,6.0,
325,2011-11-23,4.0,
326,2011-11-28,8.0,
327,2011-11-29,9.0,
328,2011-11-30,7.0,
329,2011-12-01,6.0,
330,2011-12-02,9.0,
331,2011-12-05,5.0,
332,2011-12-06,9.0,
333,2011-12-07,3.0,
334,2011-12-08,14.0,
335,2011-12-09,16.0,
336,2011-12-12,6.0,
337,2011-12-13,12.0,
338,2011-12-14,20.0,
339,2011-12-15,11.0,
340,2011-12-16,11.0,
341,2011-12-19,4.0,
342,2011-12-20,15.0,
343,2011-12-21,10.0,
344,2011-12-22,10.0,
345,2011-12-27,6.0,
346,2011-12-28,7.0,
347,2011-12-29,6.0,
348,2011-12-30,4.0,
349,2012-01-03,11.0,
350,2012-01-04,12.0,
351,2012-01-05,7.0,
352,2012-01-06,6.0,
353,2012-01-09,9.0,
354,2012-01-10,9.0,
355,2012-01-11,4.0,
356,2012-01-12,5.0,
357,2012-01-13,7.0,
358,2012-01-16,1.0,
359,2012-01-17,6.0,
360,2012-01-18,7.0,
361,2012-01-19,9.0,
362,2012-01-20,7.0,
363,2012-01-23,8.0,
364,2012-01-24,6.0,
365,2012-01-25,12.0,
366,2012-01-26,10.0,
367,2012-01-27,10.0,
368,2012-01-30,5.0,
369,2012-01-31,11.0,
370,2012-02-01,14.0,
371,2012-02-02,2.0,
372,2012-02-03,9.0,
373,2012-02-05,3.0,
374,2012-02-06,8.0,
375,2012-02-07,10.0,
376,2012-02-08,23.0,
377,2012-02-09,19.0,
378,2012-02-10,8.0,
379,2012-02-13,7.0,
380,2012-02-14,12.0,
381,2012-02-15,20.0,
382,2012-02-16,13.0,
383,2012-02-17,10.0,
384,2012-02-21,7.0,
385,2012-02-22,11.0,
386,2012-02-23,11.0,
387,2012-02-24,12.0,
388,2012-02-27,7.0,
389,2012-02-28,11.0,
390,2012-02-29,8.0,
391,2012-03-01,6.0,
392,2012-03-05,6.0,
393,2012-03-06,10.0,
394,2012-03-07,8.0,
395,2012-03-08,7.0,
396,2012-03-09,5.0,
397,2012-03-12,10.0,
398,2012-03-13,11.0,
399,2012-03-14,8.0,
400,2012-03-15,6.0,
401,2012-03-16,12.0,
402,2012-03-17,1.0,
403,2012-03-19,7.0,
404,2012-03-20,9.0,
405,2012-03-21,8.0,
406,2012-03-22,3.0,
407,2012-03-23,9.0,
408,2012-03-26,8.0,
409,2012-03-28,14.0,
410,2012-03-29,13.0,
411,2012-03-30,16.0,
412,2012-04-02,7.0,
413,2012-04-03,9.0,
414,2012-04-04,8.0,
415,2012-04-05,9.0,
416,2012-04-06,14.0,
417,2012-04-09,7.0,
418,2012-04-10,4.0,
419,2012-04-11,8.0,
420,2012-04-12,7.0,
421,2012-04-13,11.0,
422,2012-04-14,3.0,
423,2012-04-15,2.0,
424,2012-04-16,6.0,
425,2012-04-17,6.0,
426,2012-04-18,6.0,
427,2012-04-19,14.0,
428,2012-04-20,3.0,
429,2012-04-22,3.0,
430,2012-04-23,11.0,
431,2012-04-24,8.0,
432,2012-04-25,2.0,
433,2012-04-26,8.0,
434,2012-04-27,8.0,
435,2012-04-30,10.0,
436,2012-05-01,8.0,
437,2012-05-02,10.0,
438,2012-05-03,6.0,
439,2012-05-04,10.0,
440,2012-05-06,23.0,
441,2012-05-07,13.0,
442,2012-05-08,7.0,
443,2012-05-09,8.0,
444,2012-05-10,7.0,
445,2012-05-11,11.0,
446,2012-05-14,8.0,
447,2012-05-15,12.0,
448,2012-05-16,6.0,
449,2012-05-17,6.0,
450,2012-05-18,6.0,
451,2012-05-20,1.0,
452,2012-05-21,4.0,
453,2012-05-22,16.0,
454,2012-05-23,10.0,
455,2012-05-24,11.0,
456,2012-05-27,1.0,
457,2012-05-29,8.0,
458,2012-05-30,21.0,
459,2012-05-31,11.0,
460,2012-06-01,17.0,
461,2012-06-02,1.0,
462,2012-06-03,4.0,
463,2012-06-04,9.0,
464,2012-06-05,9.0,
465,2012-06-06,9.0,
466,2012-06-07,8.0,
467,2012-06-08,4.0,
468,2012-06-09,6.0,
469,2012-06-11,8.0,
470,2012-06-12,14.0,
471,2012-06-13,11.0,
472,2012-06-14,8.0,
473,2012-06-15,7.0,
474,2012-06-18,3.0,
475,2012-06-19,6.0,
476,2012-06-20,8.0,
477,2012-06-21,5.0,
478,2012-06-22,9.0,
479,2012-06-25,9.0,
480,2012-06-26,5.0,
481,2012-06-27,6.0,
482,2012-06-28,7.0,
483,2012-06-29,11.0,
484,2012-07-02,9.0,
485,2012-07-03,13.0,
486,2012-07-05,6.0,
487,2012-07-06,6.0,
488,2012-07-07,1.0,
489,2012-07-09,2.0,
490,2012-07-10,7.0,
491,2012-07-11,13.0,
492,2012-07-12,6.0,
493,2012-07-13,14.0,
494,2012-07-16,4.0,
495,2012-07-17,20.0,
496,2012-07-18,21.0,
497,2012-07-19,15.0,
498,2012-07-20,11.0,
499,2012-07-23,8.0,
500,2012-07-24,9.0,
501,2012-07-25,9.0,
502,2012-07-26,2.0,
503,2012-07-27,6.0,
504,2012-07-30,7.0,
505,2012-07-31,14.0,
506,2012-08-01,13.0,
507,2012-08-02,11.0,
508,2012-08-06,11.0,
509,2012-08-07,20.0,
510,2012-08-08,15.0,
511,2012-08-09,20.0,
512,2012-08-10,17.0,
513,2012-08-13,8.0,
514,2012-08-14,12.0,
515,2012-08-15,16.0,
516,2012-08-16,22.0,
517,2012-08-17,19.0,
518,2012-08-20,3.0,
519,2012-08-21,21.0,
520,2012-08-22,15.0,
521,2012-08-23,19.0,
522,2012-08-24,19.0,
523,2012-08-27,9.0,
524,2012-08-28,22.0,
525,2012-08-29,13.0,
526,2012-08-30,16.0,
527,2012-08-31,13.0,
528,2012-09-01,2.0,
529,2012-09-02,4.0,
530,2012-09-04,9.0,
531,2012-09-05,21.0,
532,2012-09-06,14.0,
533,2012-09-07,14.0,
534,2012-09-10,2.0,
535,2012-09-11,20.0,
536,2012-09-12,21.0,
537,2012-09-13,25.0,
538,2012-09-14,19.0,
539,2012-09-17,17.0,
540,2012-09-18,20.0,
541,2012-09-19,19.0,
542,2012-09-20,15.0,
543,2012-09-21,12.0,
544,2012-09-24,14.0,
545,2012-09-25,29.0,
546,2012-09-26,25.0,
547,2012-09-27,22.0,
548,2012-09-28,20.0,
549,2012-10-01,9.0,
550,2012-10-02,23.0,
551,2012-10-03,27.0,
552,2012-10-04,18.0,
553,2012-10-05,8.0,
554,2012-10-08,10.0,
555,2012-10-09,21.0,
556,2012-10-10,23.0,
557,2012-10-11,28.0,
558,2012-10-12,21.0,
559,2012-10-13,9.0,
560,2012-10-14,11.0,
561,2012-10-15,16.0,
562,2012-10-16,49.0,
563,2012-10-17,48.0,
564,2012-10-18,38.0,
565,2012-10-19,45.0,
566,2012-10-20,3.0,
567,2012-10-21,3.0,
568,2012-10-22,28.0,
569,2012-10-23,29.0,
570,2012-10-24,18.0,
571,2012-10-25,26.0,
572,2012-10-26,51.0,
573,2012-10-27,6.0,
574,2012-10-28,6.0,
575,2012-10-29,10.0,
576,2012-10-30,30.0,
577,2012-10-31,28.0,
578,2012-11-01,13.0,
579,2012-11-02,38.0,
580,2012-11-03,5.0,
581,2012-11-04,6.0,
582,2012-11-05,39.0,
583,2012-11-06,49.0,
584,2012-11-07,26.0,
585,2012-11-08,20.0,
586,2012-11-09,20.0,
587,2012-11-10,10.0,
588,2012-11-11,2.0,
589,2012-11-12,8.0,
590,2012-11-13,18.0,
591,2012-11-14,18.0,
592,2012-11-15,31.0,
593,2012-11-16,9.0,
594,2012-11-19,22.0,
595,2012-11-20,31.0,
596,2012-11-21,15.0,
597,2012-11-24,4.0,
598,2012-11-26,11.0,
599,2012-11-27,21.0,
600,2012-11-28,28.0,
601,2012-11-29,25.0,
602,2012-11-30,21.0,
603,2012-12-03,18.0,
604,2012-12-04,27.0,
605,2012-12-05,33.0,
606,2012-12-06,53.0,
607,2012-12-07,24.0,
608,2012-12-10,21.0,
609,2012-12-11,23.0,
610,2012-12-12,22.0,
611,2012-12-13,6.0,
612,2012-12-14,1.0,
613,2012-12-15,2.0,
614,2012-12-17,3.0,
615,2012-12-18,11.0,
616,2012-12-19,21.0,
617,2012-12-20,34.0,
618,2012-12-21,23.0,
619,2012-12-23,4.0,
620,2012-12-24,1.0,
621,2012-12-26,6.0,
622,2012-12-27,7.0,
623,2012-12-28,32.0,
624,2013-01-01,4.0,
625,2013-01-02,20.0,
626,2013-01-03,53.0,
627,2013-01-04,20.0,
628,2013-01-07,19.0,
629,2013-01-08,44.0,
630,2013-01-09,45.0,
631,2013-01-10,57.0,
632,2013-01-11,34.0,
633,2013-01-14,34.0,
634,2013-01-15,34.0,
635,2013-01-16,15.0,
636,2013-01-17,17.0,
637,2013-01-18,33.0,
638,2013-01-21,12.0,
639,2013-01-22,56.0,
640,2013-01-23,37.0,
641,2013-01-24,47.0,
642,2013-01-25,28.0,
643,2013-01-28,10.0,
644,2013-01-29,27.0,
645,2013-01-30,35.0,
646,2013-01-31,40.0,
647,2013-02-01,23.0,
648,2013-02-03,2.0,
649,2013-02-04,28.0,
650,2013-02-05,54.0,
651,2013-02-06,60.0,
652,2013-02-07,61.0,
653,2013-02-08,25.0,
654,2013-02-09,4.0,
655,2013-02-10,1.0,
656,2013-02-11,11.0,
657,2013-02-12,50.0,
658,2013-02-13,65.0,
659,2013-02-14,61.0,
660,2013-02-15,38.0,
661,2013-02-16,3.0,
662,2013-02-18,5.0,
663,2013-02-19,26.0,
664,2013-02-20,78.0,
665,2013-02-21,13.0,
666,2013-02-22,30.0,
667,2013-02-23,3.0,
668,2013-02-24,24.0,
669,2013-02-25,54.0,
670,2013-02-26,59.0,
671,2013-02-27,78.0,
672,2013-02-28,42.0,
673,2013-03-01,35.0,
674,2013-03-02,33.0,
675,2013-03-03,31.0,
676,2013-03-04,19.0,
677,2013-03-05,19.0,
678,2013-03-06,23.0,
679,2013-03-07,25.0,
680,2013-03-08,18.0,
681,2013-03-09,1.0,
682,2013-03-10,26.0,
683,2013-03-11,10.0,
684,2013-03-12,24.0,
685,2013-03-13,25.0,
686,2013-03-14,26.0,
687,2013-03-15,27.0,
