,date,count
290,2016-03-19,20
291,2016-03-20,9
292,2016-03-22,18
293,2016-03-23,14
294,2016-03-24,21
295,2016-03-25,4
296,2016-03-26,10
297,2016-03-27,10
298,2016-03-28,12
299,2016-03-29,14
300,2016-03-30,7
301,2016-03-31,8
302,2016-04-01,10
303,2016-04-02,8
304,2016-04-03,14
305,2016-04-04,11
306,2016-04-05,7
307,2016-04-06,4
308,2016-04-07,6
309,2016-04-08,17
310,2016-04-09,14
311,2016-04-10,7
312,2016-04-11,13
313,2016-04-12,7
314,2016-04-13,6
315,2016-04-14,2
316,2016-04-15,6
317,2016-04-16,13
318,2016-04-17,7
319,2016-04-18,7
320,2016-04-19,20
321,2016-04-20,7
322,2016-04-21,4
323,2016-04-22,6
324,2016-04-23,12
325,2016-04-24,7
326,2016-04-25,10
327,2016-04-26,17
328,2016-04-27,15
329,2016-04-28,14
330,2016-04-29,5
331,2016-04-30,6
332,2016-05-01,8
333,2016-05-02,14
334,2016-05-03,11
335,2016-05-04,6
336,2016-05-05,7
337,2016-05-06,17
338,2016-05-07,6
339,2016-05-08,6
340,2016-05-09,20
341,2016-05-10,17
342,2016-05-11,14
343,2016-05-12,3
344,2016-05-13,3
345,2016-05-14,3
346,2016-05-15,15
347,2016-05-16,16
348,2016-05-17,54
349,2016-05-18,7
350,2016-05-19,3
351,2016-05-20,18
352,2016-05-21,9
353,2016-05-22,9
354,2016-05-23,8
355,2016-05-24,18
356,2016-05-25,6
357,2016-05-26,9
358,2016-05-27,8
359,2016-05-28,7
360,2016-05-29,6
361,2016-05-30,13
362,2016-05-31,9
363,2016-06-01,7
364,2016-06-02,29
365,2016-06-03,10
366,2016-06-04,7
367,2016-06-05,3
368,2016-06-06,12
369,2016-06-07,8
370,2016-06-08,19
371,2016-06-09,8
372,2016-06-10,13
373,2016-06-11,10
374,2016-06-12,8
375,2016-06-13,13
376,2016-06-14,7
377,2016-06-15,9
378,2016-06-16,7
379,2016-06-17,12
380,2016-06-18,9
381,2016-06-19,2
382,2016-06-20,1
383,2016-06-21,14
384,2016-06-22,6
385,2016-06-23,17
386,2016-06-24,13
387,2016-06-25,9
388,2016-06-26,15
389,2016-06-27,3
390,2016-06-28,13
391,2016-06-29,10
392,2016-06-30,10
393,2016-07-01,11
394,2016-07-02,12
395,2016-07-03,8
396,2016-07-04,13
397,2016-07-05,10
398,2016-07-06,12
399,2016-07-07,6
400,2016-07-08,5
401,2016-07-09,2
402,2016-07-10,4
403,2016-07-11,6
404,2016-07-12,14
405,2016-07-13,14
406,2016-07-14,6
407,2016-07-15,4
408,2016-07-16,13
409,2016-07-17,12
410,2016-07-18,8
411,2016-07-19,5
412,2016-07-20,23
413,2016-07-21,14
414,2016-07-22,7
415,2016-07-23,14
416,2016-07-24,17
417,2016-07-25,22
418,2016-07-26,19
419,2016-07-27,20
420,2016-07-28,22
421,2016-07-29,27
422,2016-07-30,23
423,2016-07-31,5
424,2016-08-01,25
425,2016-08-02,14
426,2016-08-03,7
427,2016-08-04,8
428,2016-08-05,34
429,2016-08-06,10
430,2016-08-07,5
431,2016-08-08,14
432,2016-08-09,19
433,2016-08-10,13
434,2016-08-11,7
435,2016-08-12,13
436,2016-08-13,7
437,2016-08-14,10
438,2016-08-15,3
439,2016-08-16,7
440,2016-08-17,8
441,2016-08-18,4
442,2016-08-19,10
443,2016-08-20,8
444,2016-08-21,7
445,2016-08-22,9
446,2016-08-23,8
447,2016-08-24,10
448,2016-08-25,12
449,2016-08-26,14
450,2016-08-27,10
451,2016-08-28,6
452,2016-08-29,13
453,2016-08-30,8
454,2016-08-31,10
455,2016-09-01,6
456,2016-09-02,5
457,2016-09-03,5
458,2016-09-04,14
459,2016-09-05,6
460,2016-09-06,13
461,2016-09-07,5
462,2016-09-08,15
463,2016-09-09,12
464,2016-09-10,8
465,2016-09-11,1
466,2016-09-12,6
467,2016-09-13,13
468,2016-09-14,11
469,2016-09-15,12
470,2016-09-16,9
471,2016-09-17,8
472,2016-09-18,5
473,2016-09-19,10
474,2016-09-20,8
475,2016-09-21,9
476,2016-09-22,4
477,2016-09-23,6
478,2016-09-24,6
479,2016-09-25,6
480,2016-09-26,36
481,2016-09-27,21
482,2016-09-28,11
483,2016-09-29,5
484,2016-09-30,12
485,2016-10-01,5
486,2016-10-02,6
487,2016-10-03,5
488,2016-10-04,56
489,2016-10-05,16
490,2016-10-06,9
491,2016-10-07,1
492,2016-10-08,5
493,2016-10-09,68
494,2016-10-10,7
495,2016-10-11,17
496,2016-10-12,6
497,2016-10-13,12
498,2016-10-14,5
499,2016-10-15,14
500,2016-10-16,16
501,2016-10-17,26
502,2016-10-18,15
503,2016-10-19,87
504,2016-10-20,15
505,2016-10-21,16
506,2016-10-22,16
507,2016-10-23,11
508,2016-10-24,18
509,2016-10-25,17
510,2016-10-26,5
511,2016-10-27,20
512,2016-10-28,12
513,2016-10-29,8
514,2016-10-30,9
515,2016-10-31,6
516,2016-11-01,16
517,2016-11-02,14
518,2016-11-03,9
519,2016-11-04,13
520,2016-11-05,13
521,2016-11-06,9
522,2016-11-07,16
523,2016-11-08,12
524,2016-11-09,1
525,2016-11-10,3
526,2016-11-11,3
527,2016-11-12,1
528,2016-11-13,8
529,2016-11-15,3
530,2016-11-16,4
531,2016-11-17,3
532,2016-11-18,2
533,2016-11-19,4
534,2016-11-20,5
535,2016-11-21,3
536,2016-11-22,9
537,2016-11-23,2
538,2016-11-24,1
539,2016-11-26,3
540,2016-11-27,11
541,2016-11-28,7
542,2016-11-29,9
543,2016-11-30,10
544,2016-12-01,4
545,2016-12-02,3
546,2016-12-03,4
547,2016-12-04,10
548,2016-12-05,3
549,2016-12-06,6
550,2016-12-07,5
551,2016-12-08,4
552,2016-12-09,3
553,2016-12-10,8
554,2016-12-11,6
555,2016-12-12,9
556,2016-12-13,6
557,2016-12-14,1
558,2016-12-15,6
559,2016-12-16,4
560,2016-12-17,7
561,2016-12-18,1
562,2016-12-19,5
563,2016-12-20,3
564,2016-12-21,4
565,2016-12-22,5
566,2016-12-23,6
567,2016-12-24,4
568,2016-12-25,2
569,2016-12-26,5
570,2016-12-27,2
571,2016-12-28,4
572,2016-12-29,1
573,2016-12-30,3
574,2016-12-31,9
575,2017-01-02,7
576,2017-01-03,11
577,2017-01-04,9
578,2017-01-05,9
579,2017-01-06,11
580,2017-01-07,7
581,2017-01-08,6
582,2017-01-09,8
583,2017-01-10,6
584,2017-01-11,6
585,2017-01-12,4
586,2017-01-13,8
587,2017-01-14,5
588,2017-01-15,8
589,2017-01-16,4
590,2017-01-17,10
591,2017-01-18,10
592,2017-01-19,8
593,2017-01-20,12
594,2017-01-21,2
595,2017-01-22,4
596,2017-01-23,1
597,2017-01-24,8
598,2017-01-25,8
599,2017-01-26,7
600,2017-01-27,7
601,2017-01-28,5
602,2017-01-29,7
603,2017-01-30,8
604,2017-01-31,5
605,2017-02-01,3
606,2017-02-02,6
607,2017-02-03,8
608,2017-02-04,10
609,2017-02-05,5
610,2017-02-06,7
611,2017-02-07,4
612,2017-02-08,11
613,2017-02-09,7
614,2017-02-10,3
615,2017-02-11,11
616,2017-02-12,7
617,2017-02-13,5
618,2017-02-14,4
619,2017-02-15,11
620,2017-02-16,6
621,2017-02-17,9
622,2017-02-18,3
623,2017-02-19,1
624,2017-02-20,5
625,2017-02-21,2
626,2017-02-22,2
627,2017-02-23,3
628,2017-02-24,5
629,2017-02-25,6
630,2017-02-26,4
631,2017-02-27,3
632,2017-02-28,2
633,2017-03-01,1
634,2017-03-02,5
635,2017-03-03,9
636,2017-03-04,7
637,2017-03-05,3
638,2017-03-06,6
639,2017-03-07,7
640,2017-03-08,5
641,2017-03-09,4
642,2017-03-10,3
643,2017-03-11,1
644,2017-03-12,1
645,2017-03-13,5
646,2017-03-14,2
647,2017-03-15,9
648,2017-03-16,5
649,2017-03-17,9
650,2017-03-18,2
651,2017-03-19,1
652,2017-03-20,8
653,2017-03-21,3
654,2017-03-22,4
655,2017-03-23,4
656,2017-03-24,4
657,2017-03-25,4
658,2017-03-26,2
659,2017-03-27,4
660,2017-03-28,6
661,2017-03-29,5
662,2017-03-30,9
663,2017-03-31,7
664,2017-04-01,8
665,2017-04-02,4
666,2017-04-03,7
667,2017-04-04,4
668,2017-04-05,2
669,2017-04-06,1
670,2017-04-07,1
671,2017-04-08,5
672,2017-04-09,3
673,2017-04-10,2
674,2017-04-11,6
675,2017-04-12,6
676,2017-04-13,4
677,2017-04-14,2
678,2017-04-16,6
679,2017-04-17,8
680,2017-04-18,7
681,2017-04-19,4
682,2017-04-20,3
683,2017-04-21,8
684,2017-04-22,7
685,2017-04-23,7
686,2017-04-24,7
687,2017-04-25,5
688,2017-04-26,9
689,2017-04-27,12
690,2017-04-28,6
691,2017-04-29,3
692,2017-04-30,5
693,2017-05-01,3
694,2017-05-02,5
695,2017-05-03,2
696,2017-05-04,12
697,2017-05-05,8
698,2017-05-06,1
699,2017-05-07,6
700,2017-05-08,10
701,2017-05-09,3
702,2017-05-10,11
703,2017-05-11,5
704,2017-05-12,10
705,2017-05-13,3
706,2017-05-14,1
707,2017-05-15,2
708,2017-05-16,5
709,2017-05-17,1
710,2017-05-18,5
711,2017-05-19,2
712,2017-05-20,2
713,2017-05-21,3
714,2017-05-22,2
715,2017-05-23,4
716,2017-05-24,2
717,2017-05-25,4
718,2017-05-26,4
719,2017-05-27,7
720,2017-05-28,14
721,2017-05-29,4
722,2017-05-30,6
723,2017-05-31,10
724,2017-06-01,4
725,2017-06-02,9
726,2017-06-03,4
727,2017-06-04,3
728,2017-06-05,9
729,2017-06-06,12
730,2017-06-07,2
731,2017-06-09,8
732,2017-06-10,1
733,2017-06-11,8
734,2017-06-12,5
735,2017-06-13,11
736,2017-06-14,3
737,2017-06-15,6
738,2017-06-16,9
739,2017-06-17,1
740,2017-06-18,7
741,2017-06-19,14
742,2017-06-20,11
743,2017-06-21,3
744,2017-06-22,16
745,2017-06-23,5
746,2017-06-24,5
747,2017-06-25,2
748,2017-06-26,12
749,2017-06-27,11
750,2017-06-28,10
751,2017-06-29,13
752,2017-06-30,6
753,2017-07-01,12
754,2017-07-02,4
755,2017-07-03,12
756,2017-07-04,4
757,2017-07-05,4
758,2017-07-06,5
759,2017-07-07,6
760,2017-07-08,5
761,2017-07-09,11
762,2017-07-10,10
763,2017-07-11,8
764,2017-07-12,13
765,2017-07-13,4
766,2017-07-14,13
767,2017-07-15,7
768,2017-07-16,9
769,2017-07-17,2
770,2017-07-18,7
771,2017-07-19,3
772,2017-07-20,3
773,2017-07-21,7
774,2017-07-22,14
775,2017-07-23,6
776,2017-07-24,11
777,2017-07-25,17
778,2017-07-26,11
779,2017-07-27,11
780,2017-07-28,8
781,2017-07-29,13
782,2017-07-30,1
783,2017-07-31,4
784,2017-08-01,3
785,2017-08-02,5
786,2017-08-03,10
787,2017-08-04,15
788,2017-08-05,9
789,2017-08-06,4
790,2017-08-07,14
791,2017-08-08,9
792,2017-08-09,13
793,2017-08-10,6
794,2017-08-11,9
795,2017-08-12,8
796,2017-08-13,4
797,2017-08-14,12
798,2017-08-15,7
799,2017-08-16,17
800,2017-08-17,10
801,2017-08-18,10
802,2017-08-19,8
803,2017-08-20,2
804,2017-08-21,6
805,2017-08-22,8
806,2017-08-23,7
807,2017-08-24,16
808,2017-08-25,16
809,2017-08-26,8
810,2017-08-27,11
811,2017-08-28,4
812,2017-08-29,6
813,2017-08-30,8
814,2017-08-31,2
815,2017-09-01,9
816,2017-09-02,10
817,2017-09-03,5
818,2017-09-04,2
819,2017-09-05,6
820,2017-09-06,10
821,2017-09-07,11
822,2017-09-08,7
823,2017-09-09,4
824,2017-09-10,9
825,2017-09-11,2
826,2017-09-12,5
827,2017-09-13,6
828,2017-09-14,11
829,2017-09-15,13
830,2017-09-16,3
831,2017-09-17,15
832,2017-09-18,8
833,2017-09-19,11
834,2017-09-20,24
835,2017-09-21,6
836,2017-09-22,11
837,2017-09-23,14
838,2017-09-24,10
839,2017-09-25,14
840,2017-09-26,20
841,2017-09-27,9
842,2017-09-28,10
843,2017-09-29,16
844,2017-09-30,26
845,2017-10-01,8
846,2017-10-02,1
847,2017-10-03,11
848,2017-10-04,7
849,2017-10-05,12
850,2017-10-07,12
851,2017-10-08,11
852,2017-10-09,6
853,2017-10-10,10
854,2017-10-11,17
855,2017-10-12,10
856,2017-10-13,16
857,2017-10-14,9
858,2017-10-15,4
859,2017-10-16,7
860,2017-10-17,11
861,2017-10-18,16
862,2017-10-19,10
863,2017-10-20,7
864,2017-10-21,14
865,2017-10-22,3
866,2017-10-23,4
867,2017-10-24,8
868,2017-10-25,16
869,2017-10-26,9
870,2017-10-27,16
871,2017-10-28,9
872,2017-10-29,6
873,2017-10-30,4
874,2017-10-31,17
875,2017-11-01,19
876,2017-11-02,13
877,2017-11-03,16
878,2017-11-04,7
879,2017-11-05,4
880,2017-11-06,9
881,2017-11-07,16
882,2017-11-08,5
883,2017-11-09,5
884,2017-11-10,7
885,2017-11-11,8
886,2017-11-12,4
887,2017-11-13,9
888,2017-11-14,5
889,2017-11-15,15
890,2017-11-16,8
891,2017-11-17,5
892,2017-11-18,3
893,2017-11-19,6
894,2017-11-20,2
895,2017-11-21,2
896,2017-11-22,12
897,2017-11-23,11
898,2017-11-24,6
899,2017-11-25,5
900,2017-11-26,4
901,2017-11-27,5
902,2017-11-28,18
903,2017-11-29,22
904,2017-11-30,11
905,2017-12-01,7
906,2017-12-02,7
907,2017-12-03,10
908,2017-12-04,4
909,2017-12-05,2
910,2017-12-06,5
911,2017-12-07,11
912,2017-12-08,9
913,2017-12-09,12
914,2017-12-10,3
915,2017-12-11,1
916,2017-12-12,6
917,2017-12-13,4
918,2017-12-14,7
919,2017-12-15,9
920,2017-12-16,3
921,2017-12-17,3
922,2017-12-18,13
923,2017-12-19,5
924,2017-12-20,5
925,2017-12-21,5
926,2017-12-22,11
927,2017-12-23,6
928,2017-12-24,6
929,2017-12-25,3
930,2017-12-26,3
931,2017-12-27,4
932,2017-12-28,10
933,2017-12-29,8
934,2017-12-30,6
935,2017-12-31,8
936,2018-01-01,3
937,2018-01-09,5
938,2018-01-10,8
939,2018-01-11,14
940,2018-01-12,7
941,2018-01-13,10
942,2018-01-14,7
943,2018-01-15,12
944,2018-01-16,9
945,2018-01-17,8
946,2018-01-18,9
947,2018-01-19,7
948,2018-01-20,14
949,2018-01-21,3
950,2018-01-22,4
951,2018-01-23,7
952,2018-01-24,4
953,2018-01-25,3
954,2018-01-26,7
955,2018-01-27,5
956,2018-01-28,2
957,2018-01-29,1
958,2018-01-30,1
959,2018-02-01,4
960,2018-02-02,5
961,2018-02-03,7
962,2018-02-04,2
963,2018-02-05,6
964,2018-02-06,7
965,2018-02-07,5
966,2018-02-08,6
967,2018-02-09,3
968,2018-02-10,9
969,2018-02-11,4
970,2018-02-12,3
971,2018-02-13,2
972,2018-02-14,4
973,2018-02-15,7
974,2018-02-16,4
975,2018-02-17,9
976,2018-02-18,11
977,2018-02-19,5
978,2018-02-20,13
979,2018-02-21,6
980,2018-02-22,10
981,2018-02-23,9
982,2018-02-24,15
983,2018-02-25,1
984,2018-02-27,10
985,2018-02-28,8
986,2018-03-01,11
987,2018-03-02,8
988,2018-03-03,4
989,2018-03-04,2
990,2018-03-05,5
991,2018-03-06,9
992,2018-03-07,5
993,2018-03-08,6
994,2018-03-09,5
995,2018-03-10,11
996,2018-03-11,5
997,2018-03-12,7
998,2018-03-13,9
999,2018-03-14,9
1000,2018-03-15,6
1001,2018-03-16,4
1002,2018-03-17,4
1003,2018-03-18,3
1004,2018-03-19,4
1005,2018-03-20,1
1006,2018-03-21,9
1007,2018-03-22,6
1008,2018-03-23,6
1009,2018-03-24,1
1010,2018-03-25,8
1011,2018-03-26,5
1012,2018-03-27,1
1013,2018-03-28,9
1014,2018-03-29,4
1015,2018-03-30,1
1016,2018-03-31,3
1017,2018-04-01,4
1018,2018-04-02,14
1019,2018-04-03,8
1020,2018-04-04,6
1021,2018-04-05,4
1022,2018-04-06,7
1023,2018-04-07,7
1024,2018-04-08,8
1025,2018-04-09,4
1026,2018-04-10,6
1027,2018-04-11,12
1028,2018-04-12,10
1029,2018-04-13,6
1030,2018-04-14,3
1031,2018-04-15,9
1032,2018-04-16,8
1033,2018-04-17,23
1034,2018-04-18,14
1035,2018-04-19,13
1036,2018-04-20,10
1037,2018-04-21,16
1038,2018-04-22,8
1039,2018-04-23,4
1040,2018-04-24,10
1041,2018-04-25,8
1042,2018-04-26,2
1043,2018-04-27,13
1044,2018-04-28,7
1045,2018-04-29,6
1046,2018-04-30,7
1047,2018-05-01,7
1048,2018-05-02,10
1049,2018-05-03,6
1050,2018-05-04,13
1051,2018-05-05,1
1052,2018-05-07,11
1053,2018-05-08,7
1054,2018-05-09,9
1055,2018-05-10,5
1056,2018-05-11,4
1057,2018-05-12,3
1058,2018-05-13,5
1059,2018-05-14,6
1060,2018-05-15,9
1061,2018-05-16,10
1062,2018-05-17,11
1063,2018-05-18,11
1064,2018-05-19,5
1065,2018-05-20,9
1066,2018-05-21,10
1067,2018-05-22,5
1068,2018-05-23,16
1069,2018-05-24,10
1070,2018-05-25,18
1071,2018-05-26,10
1072,2018-05-27,5
1073,2018-05-28,10
1074,2018-05-29,7
1075,2018-05-30,14
1076,2018-05-31,12
1077,2018-06-01,6
1078,2018-06-02,17
1079,2018-06-03,5
1080,2018-06-04,14
1081,2018-06-05,25
1082,2018-06-06,9
1083,2018-06-07,21
1084,2018-06-08,8
1085,2018-06-09,10
1086,2018-06-10,7
1087,2018-06-11,6
1088,2018-06-12,14
1089,2018-06-13,13
1090,2018-06-14,7
1091,2018-06-15,19
1092,2018-06-16,6
1093,2018-06-17,18
1094,2018-06-18,8
1095,2018-06-19,12
1096,2018-06-20,16
1097,2018-06-21,17
1098,2018-06-22,17
1099,2018-06-23,24
1100,2018-06-24,8
1101,2018-06-25,18
1102,2018-06-26,19
1103,2018-06-27,12
1104,2018-06-28,11
1105,2018-06-29,5
1106,2018-06-30,14
1107,2018-07-01,5
1108,2018-07-02,3
1109,2018-07-03,21
1110,2018-07-04,4
1111,2018-07-05,9
1112,2018-07-06,2
1113,2018-07-07,9
1114,2018-07-08,5
1115,2018-07-09,9
1116,2018-07-10,16
1117,2018-07-11,21
1118,2018-07-12,9
1119,2018-07-13,2
1120,2018-07-14,12
1121,2018-07-15,18
1122,2018-07-16,7
1123,2018-07-17,8
1124,2018-07-18,13
1125,2018-07-19,12
1126,2018-07-20,14
1127,2018-07-21,7
1128,2018-07-22,8
1129,2018-07-23,12
1130,2018-07-24,16
1131,2018-07-25,16
1132,2018-07-26,10
1133,2018-07-27,16
1134,2018-07-28,1
1135,2018-07-29,18
1136,2018-07-30,16
1137,2018-07-31,19
1138,2018-08-01,16
1139,2018-08-02,10
1140,2018-08-03,25
1141,2018-08-04,13
1142,2018-08-05,10
1143,2018-08-06,10
1144,2018-08-07,9
1145,2018-08-08,5
1146,2018-08-09,6
1147,2018-08-10,8
1148,2018-08-11,10
1149,2018-08-12,4
1150,2018-08-13,19
1151,2018-08-14,12
1152,2018-08-15,23
1153,2018-08-16,16
1154,2018-08-17,16
1155,2018-08-18,12
1156,2018-08-19,6
1157,2018-08-20,13
1158,2018-08-21,11
1159,2018-08-22,17
1160,2018-08-23,9
1161,2018-08-24,16
1162,2018-08-25,9
1163,2018-08-26,8
1164,2018-08-27,10
1165,2018-08-28,17
1166,2018-08-29,20
1167,2018-08-30,15
1168,2018-08-31,8
1169,2018-09-01,19
1170,2018-09-02,3
1171,2018-09-03,15
1172,2018-09-04,16
1173,2018-09-05,12
1174,2018-09-06,10
1175,2018-09-07,10
1176,2018-09-08,10
1177,2018-09-09,13
1178,2018-09-10,23
1179,2018-09-11,15
1180,2018-09-12,9
1181,2018-09-13,22
1182,2018-09-14,31
1183,2018-09-15,11
1184,2018-09-16,8
1185,2018-09-17,30
1186,2018-09-18,14
1187,2018-09-19,7
1188,2018-09-20,17
1189,2018-09-21,28
1190,2018-09-22,3
1191,2018-09-23,3
1192,2018-09-24,14
1193,2018-09-25,13
1194,2018-09-26,12
1195,2018-09-27,1
1196,2018-09-28,1
1197,2018-09-29,5
1198,2018-09-30,3
1199,2018-10-01,8
1200,2018-10-02,14
1201,2018-10-03,12
1202,2018-10-04,12
1203,2018-10-05,9
1204,2018-10-06,8
1205,2018-10-07,2
1206,2018-10-08,9
1207,2018-10-09,21
1208,2018-10-10,24
1209,2018-10-11,6
1210,2018-10-12,14
1211,2018-10-13,12
1212,2018-10-14,8
1213,2018-10-15,10
1214,2018-10-16,22
1215,2018-10-17,20
1216,2018-10-18,18
1217,2018-10-19,10
1218,2018-10-20,10
1219,2018-10-21,5
1220,2018-10-22,20
1221,2018-10-23,8
1222,2018-10-24,8
1223,2018-10-25,17
1224,2018-10-26,12
1225,2018-10-27,17
1226,2018-10-28,3
1227,2018-10-29,22
1228,2018-10-30,8
1229,2018-10-31,20
1230,2018-11-01,9
1231,2018-11-02,12
1232,2018-11-03,21
1233,2018-11-04,31
1234,2018-11-05,23
1235,2018-11-06,29
1236,2018-11-07,10
1237,2018-11-08,3
1238,2018-11-09,13
1239,2018-11-10,7
