precinct,precinct_id,contest_title,all_votes,donald_j_trump,joseph_r_biden_jr,other_candidates,trump_pct,biden_pct,other_pct,winner_name,winner_votes,winning_pct,top_candidate_one,top_candidate_two,top_candidate_three,top_candidate_one_votes,top_candidate_two_votes,top_candidate_three_votes,top_candidate_one_pct,top_candidate_two_pct,top_candidate_three_pct
02001,100091,President,52.0,15.0,19.0,18.0,28.85,36.54,34.62,Joseph R Biden Jr,19.0,36.54,Joseph R Biden Jr,Donald J Trump,Marianne Williamson,19.0,15.0,10.0,36.54,28.85,19.23
02002,100092,President,24.0,7.0,13.0,4.0,29.17,54.17,16.67,Joseph R Biden Jr,13.0,54.17,Joseph R Biden Jr,Donald J Trump,Marianne Williamson,13.0,7.0,3.0,54.17,29.17,12.5
02008,100093,President,453.0,170.0,207.0,76.0,37.53,45.7,16.78,Joseph R Biden Jr,207.0,45.7,Joseph R Biden Jr,Donald J Trump,Marianne Williamson,207.0,170.0,23.0,45.7,37.53,5.08
02009,100094,President,432.0,149.0,215.0,68.0,34.49,49.77,15.74,Joseph R Biden Jr,215.0,49.77,Joseph R Biden Jr,Donald J Trump,Marianne Williamson,215.0,149.0,15.0,49.77,34.49,3.47
02011,100095,President,987.0,520.0,299.0,168.0,52.68,30.29,17.02,Donald J Trump,520.0,52.68,Donald J Trump,Joseph R Biden Jr,Nikki Haley,520.0,299.0,101.0,52.68,30.29,10.23
02012,100096,President,128.0,48.0,57.0,23.0,37.5,44.53,17.97,Joseph R Biden Jr,57.0,44.53,Joseph R Biden Jr,Donald J Trump,Nikki Haley,57.0,48.0,9.0,44.53,37.5,7.03
02015,100097,President,97.0,34.0,48.0,15.0,35.05,49.48,15.46,Joseph R Biden Jr,48.0,49.48,Joseph R Biden Jr,Donald J Trump,Nikki Haley,48.0,34.0,8.0,49.48,35.05,8.25
02016,100098,President,188.0,106.0,61.0,21.0,56.38,32.45,11.17,Donald J Trump,106.0,56.38,Donald J Trump,Joseph R Biden Jr,Nikki Haley,106.0,61.0,15.0,56.38,32.45,7.98
02020,100099,President,447.0,180.0,202.0,65.0,40.27,45.19,14.54,Joseph R Biden Jr,202.0,45.19,Joseph R Biden Jr,Donald J Trump,Nikki Haley,202.0,180.0,26.0,45.19,40.27,5.82
02023,100100,President,289.0,120.0,126.0,43.0,41.52,43.6,14.88,Joseph R Biden Jr,126.0,43.6,Joseph R Biden Jr,Donald J Trump,Nikki Haley,126.0,120.0,18.0,43.6,41.52,6.23
