,zipcode,jacquelyn_lacey,total
0,90002,1000,1000
1,90003,1000,1000
2,90004,3100,3100
3,90005,13500,13500
4,90008,3000,3000
5,90010,1500,1500
6,90011,1000,1000
7,90012,8000,8000
8,90013,3000,3000
9,90015,1600,1600
10,90016,200,200
11,90017,6850,6850
12,90018,1500,1500
13,90019,1600,1600
14,90021,1500,1500
15,90024,15450,15450
16,90025,8250,8250
17,90028,4500,4500
18,90032,250,250
19,90033,1500,1500
20,90034,1000,1000
21,90036,2500,2500
22,90038,1000,1000
23,90039,500,500
24,90040,3000,3000
25,90041,1500,1500
26,90042,100,100
27,90043,1850,1850
28,90045,2250,2250
29,90046,4500,4500
30,90048,700,700
31,90049,7750,7750
32,90056,2600,2600
33,90057,1500,1500
34,90064,3700,3700
35,90065,2500,2500
36,90066,4500,4500
37,90067,9000,9000
38,90068,1500,1500
39,90069,6500,6500
40,90071,13000,13000
41,90077,9995,9995
42,90201,1500,1500
43,90210,21050,21050
44,90211,3500,3500
45,90212,6550,6550
46,90220,1000,1000
47,90232,2300,2300
48,90241,3000,3000
49,90245,500,500
50,90249,1750,1750
51,90254,750,750
52,90265,1750,1750
53,90266,4500,4500
54,90272,4000,4000
55,90274,9500,9500
56,90275,7250,7250
57,90277,1500,1500
58,90278,1000,1000
59,90291,100,100
60,90292,2000,2000
61,90301,500,500
62,90305,500,500
63,90401,6550,6550
64,90402,2500,2500
65,90403,1100,1100
66,90405,1500,1500
67,90501,4000,4000
68,90502,500,500
69,90503,1500,1500
70,90603,1500,1500
71,90631,3000,3000
72,90701,150,150
73,90703,1700,1700
74,90706,1500,1500
75,90745,1000,1000
76,90746,500,500
77,90802,4000,4000
78,90803,1200,1200
79,90804,1500,1500
80,90807,3200,3200
81,90815,4000,4000
82,91001,2250,2250
83,91006,3500,3500
84,91011,7350,7350
85,91030,1000,1000
86,91042,1000,1000
87,91101,5250,5250
88,91104,1500,1500
89,91105,1850,1850
90,91106,100,100
91,91202,3000,3000
92,91208,500,500
93,91214,1500,1500
94,91301,200,200
95,91302,4600,4600
96,91311,3250,3250
97,91316,6250,6250
98,91321,1500,1500
99,91324,1250,1250
100,91325,2000,2000
101,91326,1600,1600
102,91335,1500,1500
103,91343,3500,3500
104,91344,500,500
105,91352,500,500
106,91356,1500,1500
107,91364,5000,5000
108,91367,2000,2000
109,91381,2500,2500
110,91387,2500,2500
111,91401,1000,1000
112,91403,6600,6600
113,91406,1250,1250
114,91423,9500,9500
115,91436,8280,8280
116,91504,100,100
117,91505,2000,2000
118,91602,1250,1250
119,91604,900,900
120,91608,1500,1500
121,91702,1500,1500
122,91724,1500,1500
123,91746,1500,1500
124,91748,1000,1000
125,91750,1500,1500
126,91770,1700,1700
127,91773,2500,2500
128,91780,1500,1500
129,91789,2500,2500
130,91791,1500,1500
131,91801,1500,1500
132,93534,4500,4500
133,93536,1500,1500
134,93551,1500,1500
