,zipcode,tie,herb_wesson,holly_mitchell,total,winner_dist_two,winner_total
26,11206,0,1500,0,1500,Herb Wesson,1500
109,33408,0,0,1500,1500,Holly Mitchell,1500
23,1060,0,0,1500,1500,Holly Mitchell,1500
11,10018,0,0,1500,1500,Holly Mitchell,1500
730,95008,0,0,1500,1500,Holly Mitchell,1500
719,94805,0,0,1450,1450,Holly Mitchell,1450
473,91773,0,1250,100,1350,Herb Wesson,1250
710,94703,0,0,1300,1300,Holly Mitchell,1300
726,94941,0,0,1300,1300,Holly Mitchell,1300
442,91606,0,1100,200,1300,Herb Wesson,1100
15,10024,0,1250,0,1250,Herb Wesson,1250
587,92860,0,1250,0,1250,Herb Wesson,1250
339,90706,0,750,500,1250,Herb Wesson,750
520,92264,0,0,1250,1250,Holly Mitchell,1250
695,94603,0,0,1250,1250,Holly Mitchell,1250
647,94110,0,0,1200,1200,Holly Mitchell,1200
188,80919,0,0,1200,1200,Holly Mitchell,1200
539,92505,0,1000,200,1200,Herb Wesson,1000
357,90805,0,850,250,1100,Herb Wesson,850
184,80238,0,1000,100,1100,Herb Wesson,1000
356,90804,0,500,600,1100,Holly Mitchell,600
445,91701,0,0,1100,1100,Holly Mitchell,1100
684,94564,0,0,1100,1100,Holly Mitchell,1100
596,93001,0,1000,100,1100,Herb Wesson,1000
593,92881,0,1000,100,1100,Herb Wesson,1000
41,1864,0,1000,0,1000,Herb Wesson,1000
204,89052,0,1000,0,1000,Herb Wesson,1000
566,92653,0,1000,0,1000,Herb Wesson,1000
135,55402,0,0,1000,1000,Holly Mitchell,1000
785,95827,0,1000,0,1000,Herb Wesson,1000
784,95826,0,0,1000,1000,Holly Mitchell,1000
349,90740,0,1000,0,1000,Herb Wesson,1000
480,91791,0,1000,0,1000,Herb Wesson,1000
449,91710,0,1000,0,1000,Herb Wesson,1000
60,20190,0,1000,0,1000,Herb Wesson,1000
40,1742,0,1000,0,1000,Herb Wesson,1000
577,92806,0,0,1000,1000,Holly Mitchell,1000
804,98101,0,0,1000,1000,Holly Mitchell,1000
579,92808,0,1000,0,1000,Herb Wesson,1000
162,75067,0,0,1000,1000,Holly Mitchell,1000
463,91748,0,1000,0,1000,Herb Wesson,1000
753,95465,0,0,1000,1000,Holly Mitchell,1000
725,94939,0,1000,0,1000,Herb Wesson,1000
345,90720,0,1000,0,1000,Herb Wesson,1000
195,85213,0,0,1000,1000,Holly Mitchell,1000
507,92118,0,1000,0,1000,Herb Wesson,1000
125,46285,0,0,1000,1000,Holly Mitchell,1000
128,48275,0,0,1000,1000,Holly Mitchell,1000
797,96005,0,0,1000,1000,Holly Mitchell,1000
79,22209,0,0,1000,1000,Holly Mitchell,1000
747,95356,0,1000,0,1000,Herb Wesson,1000
35,12833,0,1000,0,1000,Herb Wesson,1000
680,94549,0,0,1000,1000,Holly Mitchell,1000
84,27215,0,1000,0,1000,Herb Wesson,1000
100,31906,0,0,1000,1000,Holly Mitchell,1000
743,95128,0,1000,0,1000,Herb Wesson,1000
673,94518,0,1000,0,1000,Herb Wesson,1000
119,38103,0,0,1000,1000,Holly Mitchell,1000
6,10010,0,0,1000,1000,Holly Mitchell,1000
523,92324,0,1000,0,1000,Herb Wesson,1000
551,92606,0,0,1000,1000,Holly Mitchell,1000
31,11413,0,0,1000,1000,Holly Mitchell,1000
798,96007,0,0,1000,1000,Holly Mitchell,1000
105,33126,0,1000,0,1000,Herb Wesson,1000
627,93921,0,1000,0,1000,Herb Wesson,1000
751,95418,0,0,1000,1000,Holly Mitchell,1000
108,33322,0,1000,0,1000,Herb Wesson,1000
503,92109,0,0,1000,1000,Holly Mitchell,1000
163,75201,0,0,1000,1000,Holly Mitchell,1000
768,95695,0,0,950,950,Holly Mitchell,950
531,92404,0,800,150,950,Herb Wesson,800
420,91377,0,500,450,950,Herb Wesson,500
702,94610,0,0,900,900,Holly Mitchell,900
692,94590,0,0,900,900,Holly Mitchell,900
533,92407,0,800,100,900,Herb Wesson,800
675,94530,0,0,875,875,Holly Mitchell,875
262,90062,0,500,350,850,Herb Wesson,500
707,94619,0,0,850,850,Holly Mitchell,850
701,94609,0,0,817,817,Holly Mitchell,817
527,92374,0,800,0,800,Herb Wesson,800
783,95825,0,0,800,800,Holly Mitchell,800
542,92508,0,800,0,800,Herb Wesson,800
386,91204,0,0,800,800,Holly Mitchell,800
696,94604,0,0,750,750,Holly Mitchell,750
752,95448,0,0,750,750,Holly Mitchell,750
483,91803,0,750,0,750,Herb Wesson,750
506,92116,0,0,750,750,Holly Mitchell,750
110,33455,0,0,750,750,Holly Mitchell,750
385,91203,0,250,500,750,Holly Mitchell,500
263,90063,0,500,200,700,Herb Wesson,500
767,95691,0,0,700,700,Holly Mitchell,700
327,90621,0,700,0,700,Herb Wesson,700
660,94131,0,0,700,700,Holly Mitchell,700
529,92377,0,0,700,700,Holly Mitchell,700
649,94112,0,0,700,700,Holly Mitchell,700
582,92831,0,0,650,650,Holly Mitchell,650
541,92507,0,0,650,650,Holly Mitchell,650
540,92506,0,0,600,600,Holly Mitchell,600
50,20003,0,500,100,600,Herb Wesson,500
662,94301,0,0,550,550,Holly Mitchell,550
729,94970,0,0,500,500,Holly Mitchell,500
737,95113,0,0,500,500,Holly Mitchell,500
744,95203,0,0,500,500,Holly Mitchell,500
37,15208,0,0,500,500,Holly Mitchell,500
671,94507,0,0,500,500,Holly Mitchell,500
799,96065,0,0,500,500,Holly Mitchell,500
668,94403,0,0,500,500,Holly Mitchell,500
39,17268,0,500,0,500,Herb Wesson,500
754,95570,0,0,500,500,Holly Mitchell,500
658,94127,0,0,500,500,Holly Mitchell,500
717,94803,0,0,500,500,Holly Mitchell,500
809,98204,0,500,0,500,Herb Wesson,500
534,92408,0,0,500,500,Holly Mitchell,500
457,91739,0,400,100,500,Herb Wesson,400
140,60606,0,500,0,500,Herb Wesson,500
81,22314,0,500,0,500,Herb Wesson,500
404,91340,0,0,500,500,Holly Mitchell,500
121,38116,0,0,500,500,Holly Mitchell,500
481,91792,0,0,500,500,Holly Mitchell,500
474,91776,0,0,500,500,Holly Mitchell,500
101,32082,0,500,0,500,Herb Wesson,500
97,30345,0,0,500,500,Holly Mitchell,500
546,92557,0,0,500,500,Holly Mitchell,500
94,30317,0,0,500,500,Holly Mitchell,500
574,92706,0,0,500,500,Holly Mitchell,500
628,93923,0,0,500,500,Holly Mitchell,500
92,29485,0,500,0,500,Herb Wesson,500
91,29448,0,500,0,500,Herb Wesson,500
561,92646,0,500,0,500,Herb Wesson,500
147,63011,0,500,0,500,Herb Wesson,500
555,92617,0,500,0,500,Herb Wesson,500
54,20010,0,0,500,500,Holly Mitchell,500
543,92509,0,500,0,500,Herb Wesson,500
209,89135,0,500,0,500,Herb Wesson,500
208,89121,0,500,0,500,Herb Wesson,500
206,89106,0,500,0,500,Herb Wesson,500
202,89032,0,0,500,500,Holly Mitchell,500
190,83646,0,500,0,500,Herb Wesson,500
185,80246,0,500,0,500,Herb Wesson,500
183,80206,0,500,0,500,Herb Wesson,500
182,80203,0,500,0,500,Herb Wesson,500
618,93551,0,0,500,500,Holly Mitchell,500
500,92106,0,0,500,500,Holly Mitchell,500
487,92014,0,0,500,500,Holly Mitchell,500
170,77005,0,0,500,500,Holly Mitchell,500
605,93215,0,0,500,500,Holly Mitchell,500
679,94542,0,0,450,450,Holly Mitchell,450
756,95608,0,0,450,450,Holly Mitchell,450
759,95628,0,0,450,450,Holly Mitchell,450
476,91784,0,200,200,400,Herb Wesson,200
535,92410,0,300,100,400,Herb Wesson,300
538,92504,0,0,400,400,Holly Mitchell,400
604,93105,0,388,0,388,Herb Wesson,388
657,94124,0,0,370,370,Holly Mitchell,370
29,11234,0,0,350,350,Holly Mitchell,350
716,94710,0,0,350,350,Holly Mitchell,350
95,30328,0,0,350,350,Holly Mitchell,350
780,95820,0,0,350,350,Holly Mitchell,350
501,92107,0,0,350,350,Holly Mitchell,350
536,92501,0,0,350,350,Holly Mitchell,350
787,95829,0,0,350,350,Holly Mitchell,350
116,37215,0,350,0,350,Herb Wesson,350
175,78660,0,0,332,332,Holly Mitchell,332
659,94129,0,0,305,305,Holly Mitchell,305
73,22033,0,300,0,300,Herb Wesson,300
122,38117,0,0,300,300,Holly Mitchell,300
159,68106,0,0,300,300,Holly Mitchell,300
629,93940,0,0,300,300,Holly Mitchell,300
595,92887,0,200,100,300,Herb Wesson,200
623,93721,0,0,275,275,Holly Mitchell,275
515,92131,0,275,0,275,Herb Wesson,275
731,95014,0,0,252,252,Holly Mitchell,252
674,94523,0,0,251,251,Holly Mitchell,251
748,95401,0,0,250,250,Holly Mitchell,250
126,48025,0,0,250,250,Holly Mitchell,250
148,63101,0,250,0,250,Herb Wesson,250
598,93012,0,250,0,250,Herb Wesson,250
597,93003,0,0,250,250,Holly Mitchell,250
117,37914,0,0,250,250,Holly Mitchell,250
592,92880,0,250,0,250,Herb Wesson,250
16,10025,0,0,250,250,Holly Mitchell,250
742,95125,0,0,250,250,Holly Mitchell,250
21,10176,0,250,0,250,Herb Wesson,250
96,30331,0,0,250,250,Holly Mitchell,250
762,95658,0,0,250,250,Holly Mitchell,250
157,66207,0,0,250,250,Holly Mitchell,250
452,91723,0,250,0,250,Herb Wesson,250
44,19119,0,0,250,250,Holly Mitchell,250
337,90701,0,250,0,250,Herb Wesson,250
328,90623,0,0,250,250,Holly Mitchell,250
615,93535,0,250,0,250,Herb Wesson,250
638,94066,0,0,250,250,Holly Mitchell,250
187,80634,0,250,0,250,Herb Wesson,250
189,8234,0,250,0,250,Herb Wesson,250
3,10004,0,0,250,250,Holly Mitchell,250
290,90251,0,0,250,250,Holly Mitchell,250
198,86336,0,0,250,250,Holly Mitchell,250
801,97232,0,0,250,250,Holly Mitchell,250
622,93711,0,0,250,250,Holly Mitchell,250
451,91722,0,250,0,250,Herb Wesson,250
720,94806,0,0,250,250,Holly Mitchell,250
89,28314,0,250,0,250,Herb Wesson,250
66,20854,0,0,250,250,Holly Mitchell,250
569,92663,0,250,0,250,Herb Wesson,250
521,92270,0,0,250,250,Holly Mitchell,250
518,92253,0,0,250,250,Holly Mitchell,250
34,11937,0,0,250,250,Holly Mitchell,250
72,2130,0,0,250,250,Holly Mitchell,250
64,20814,0,0,250,250,Holly Mitchell,250
681,94551,0,0,250,250,Holly Mitchell,250
453,91724,0,0,225,225,Holly Mitchell,225
655,94122,0,0,211,211,Holly Mitchell,211
460,91744,0,200,0,200,Herb Wesson,200
739,95120,0,0,200,200,Holly Mitchell,200
492,92057,0,200,0,200,Herb Wesson,200
82,23435,0,0,200,200,Holly Mitchell,200
336,90680,0,100,100,200,Herb Wesson,100
606,93306,0,0,200,200,Holly Mitchell,200
171,77018,0,0,200,200,Holly Mitchell,200
613,93465,0,0,200,200,Holly Mitchell,200
421,91381,0,200,0,200,Herb Wesson,200
738,95118,0,0,200,200,Holly Mitchell,200
181,80027,0,0,200,200,Holly Mitchell,200
144,60615,0,0,200,200,Holly Mitchell,200
750,95409,0,0,200,200,Holly Mitchell,200
4,10009,0,0,200,200,Holly Mitchell,200
545,92555,0,200,0,200,Herb Wesson,200
661,94134,0,0,200,200,Holly Mitchell,200
635,94061,0,0,200,200,Holly Mitchell,200
63,20707,0,0,200,200,Holly Mitchell,200
676,94534,0,0,200,200,Holly Mitchell,200
765,95670,0,0,150,150,Holly Mitchell,150
203,8904,0,0,150,150,Holly Mitchell,150
639,94070,0,0,150,150,Holly Mitchell,150
530,92395,0,0,150,150,Holly Mitchell,150
528,92376,0,0,150,150,Holly Mitchell,150
114,37208,0,0,150,150,Holly Mitchell,150
67,20906,0,0,150,150,Holly Mitchell,150
14,10023,0,0,135,135,Holly Mitchell,135
619,93561,0,0,125,125,Holly Mitchell,125
333,90650,0,125,0,125,Herb Wesson,125
760,95630,0,0,125,125,Holly Mitchell,125
665,94305,0,0,110,110,Holly Mitchell,110
808,98110,0,0,107,107,Holly Mitchell,107
27,11215,0,0,100,100,Holly Mitchell,100
102,32609,0,0,100,100,Holly Mitchell,100
698,94606,0,0,100,100,Holly Mitchell,100
715,94709,0,0,100,100,Holly Mitchell,100
497,92103,0,0,100,100,Holly Mitchell,100
621,93710,0,0,100,100,Holly Mitchell,100
422,91384,0,0,100,100,Holly Mitchell,100
793,95838,0,0,100,100,Holly Mitchell,100
257,90051,0,0,100,100,Holly Mitchell,100
292,90255,0,0,100,100,Holly Mitchell,100
273,90095,0,0,100,100,Holly Mitchell,100
213,90003,0,100,0,100,Herb Wesson,100
36,14850,0,0,100,100,Holly Mitchell,100
505,92114,0,0,100,100,Holly Mitchell,100
115,37210,0,0,100,100,Holly Mitchell,100
56,20015,0,0,100,100,Holly Mitchell,100
281,90227,0,0,100,100,Holly Mitchell,100
583,92832,0,100,0,100,Herb Wesson,100
447,91706,0,0,100,100,Holly Mitchell,100
636,94062,0,0,100,100,Holly Mitchell,100
145,6088,0,0,100,100,Holly Mitchell,100
176,78723,0,0,100,100,Holly Mitchell,100
755,95602,0,0,100,100,Holly Mitchell,100
475,91780,0,0,100,100,Holly Mitchell,100
132,53705,0,0,100,100,Holly Mitchell,100
601,93063,0,0,100,100,Holly Mitchell,100
761,95648,0,0,100,100,Holly Mitchell,100
705,94614,0,0,100,100,Holly Mitchell,100
155,6484,0,0,100,100,Holly Mitchell,100
721,94841,0,0,100,100,Holly Mitchell,100
766,95678,0,0,100,100,Holly Mitchell,100
544,92553,0,0,100,100,Holly Mitchell,100
654,94121,0,0,100,100,Holly Mitchell,100
342,90713,0,0,100,100,Holly Mitchell,100
118,37918,0,0,100,100,Holly Mitchell,100
773,95762,0,0,100,100,Holly Mitchell,100
166,76108,0,0,100,100,Holly Mitchell,100
32,11434,0,0,100,100,Holly Mitchell,100
28,11225,0,0,100,100,Holly Mitchell,100
8,10013,0,0,100,100,Holly Mitchell,100
412,91354,0,100,0,100,Herb Wesson,100
55,20011,0,0,100,100,Holly Mitchell,100
172,78028,0,0,100,100,Holly Mitchell,100
495,92083,0,0,100,100,Holly Mitchell,100
620,93636,0,0,75,75,Holly Mitchell,75
691,94585,0,0,55,55,Holly Mitchell,55
557,92620,0,0,0,0,Tie,0
