,zipcode,tie,herb_wesson,holly_mitchell,total,winner_dist_two,winner_total
415,91361,0,8750,700,9450,Herb Wesson,8750
774,95811,0,3000,6450,9450,Holly Mitchell,6450
777,95816,0,2000,7300,9300,Holly Mitchell,7300
643,94105,0,250,9000,9250,Holly Mitchell,9000
358,90806,0,9000,0,9000,Herb Wesson,9000
367,91008,0,8800,0,8800,Herb Wesson,8800
316,90404,0,3500,5200,8700,Holly Mitchell,5200
313,90401,0,6000,2500,8500,Herb Wesson,6000
556,92618,0,6000,2500,8500,Herb Wesson,6000
315,90403,0,5500,2900,8400,Herb Wesson,5500
439,91602,0,6500,1850,8350,Herb Wesson,6500
392,91301,0,3500,4800,8300,Holly Mitchell,4800
321,90504,0,7500,800,8300,Herb Wesson,7500
417,91364,0,7750,500,8250,Herb Wesson,7750
355,90803,0,5000,3225,8225,Herb Wesson,5000
284,90241,0,7650,500,8150,Herb Wesson,7650
245,90038,0,2214,5900,8114,Holly Mitchell,5900
353,90755,0,8000,100,8100,Herb Wesson,8000
650,94114,0,0,8000,8000,Holly Mitchell,8000
559,92626,0,8000,0,8000,Herb Wesson,8000
632,94025,0,0,7850,7850,Holly Mitchell,7850
778,95818,0,500,7100,7600,Holly Mitchell,7100
697,94605,0,1500,6092,7592,Holly Mitchell,6092
630,94010,0,1500,6050,7550,Holly Mitchell,6050
382,91108,0,4550,3000,7550,Herb Wesson,4550
373,91030,0,4750,2750,7500,Herb Wesson,4750
409,91350,0,7500,0,7500,Herb Wesson,7500
222,90013,0,6000,1500,7500,Herb Wesson,6000
554,92614,0,5500,2000,7500,Herb Wesson,5500
220,90011,0,6250,1250,7500,Herb Wesson,6250
302,90278,0,5200,2200,7400,Herb Wesson,5200
347,90731,0,2750,4650,7400,Holly Mitchell,4650
330,90631,0,6750,500,7250,Herb Wesson,6750
416,91362,0,5750,1500,7250,Herb Wesson,5750
489,92024,0,1500,5750,7250,Holly Mitchell,5750
396,91307,0,6600,450,7050,Herb Wesson,6600
486,92011,0,6500,500,7000,Herb Wesson,6500
286,90247,0,6750,250,7000,Herb Wesson,6750
274,90201,0,7000,0,7000,Herb Wesson,7000
149,63105,0,1500,5500,7000,Holly Mitchell,5500
779,95819,0,1500,5400,6900,Holly Mitchell,5400
792,95835,0,0,6850,6850,Holly Mitchell,6850
757,95618,0,6000,800,6800,Herb Wesson,6000
48,20001,0,750,6000,6750,Holly Mitchell,6000
788,95831,0,1000,5650,6650,Holly Mitchell,5650
425,91401,0,4500,2150,6650,Herb Wesson,4500
352,90746,0,6100,500,6600,Herb Wesson,6100
278,90220,0,6600,0,6600,Herb Wesson,6600
711,94705,0,0,6561,6561,Holly Mitchell,6561
667,94402,0,0,6500,6500,Holly Mitchell,6500
722,94901,0,0,6500,6500,Holly Mitchell,6500
430,91411,0,6000,500,6500,Herb Wesson,6000
363,90815,0,5000,1500,6500,Herb Wesson,5000
735,95060,0,0,6500,6500,Holly Mitchell,6500
633,94027,0,1500,4722,6222,Holly Mitchell,4722
338,90703,0,4950,1100,6050,Herb Wesson,4950
142,60611,0,6000,0,6000,Herb Wesson,6000
470,91766,0,1500,4500,6000,Holly Mitchell,4500
590,92868,0,3000,3000,6000,Herb Wesson,3000
584,92833,0,4500,1500,6000,Herb Wesson,4500
441,91605,0,6000,0,6000,Herb Wesson,6000
434,91504,0,6000,0,6000,Herb Wesson,6000
509,92120,0,0,6000,6000,Holly Mitchell,6000
414,91356,0,5050,900,5950,Herb Wesson,5050
322,90505,0,5500,200,5700,Herb Wesson,5500
223,90014,0,4250,1275,5525,Herb Wesson,4250
602,93065,0,4000,1500,5500,Herb Wesson,4000
771,95757,0,250,5213,5463,Holly Mitchell,5213
791,95834,0,0,5450,5450,Holly Mitchell,5450
446,91702,0,4900,500,5400,Herb Wesson,4900
490,92037,0,3500,1800,5300,Herb Wesson,3500
261,90059,0,2300,3000,5300,Holly Mitchell,3000
332,90640,0,4500,600,5100,Herb Wesson,4500
279,90221,0,5100,0,5100,Herb Wesson,5100
303,90280,0,4800,300,5100,Herb Wesson,4800
683,94563,0,0,5000,5000,Holly Mitchell,5000
646,94109,0,0,5000,5000,Holly Mitchell,5000
247,90040,0,5000,0,5000,Herb Wesson,5000
248,90041,0,2550,2400,4950,Herb Wesson,2550
318,90501,0,3500,1450,4950,Herb Wesson,3500
240,90033,0,3700,1250,4950,Herb Wesson,3700
469,91765,0,4900,0,4900,Herb Wesson,4900
391,91214,0,4250,600,4850,Herb Wesson,4250
699,94607,0,1500,3300,4800,Holly Mitchell,3300
472,91770,0,4500,250,4750,Herb Wesson,4500
436,91506,0,4000,750,4750,Herb Wesson,4000
57,20036,0,1750,3000,4750,Holly Mitchell,3000
575,92780,0,3250,1500,4750,Herb Wesson,3250
641,94103,0,3000,1750,4750,Herb Wesson,3000
294,90262,0,4750,0,4750,Herb Wesson,4750
366,91007,0,3400,1300,4700,Herb Wesson,3400
272,90094,0,3250,1450,4700,Herb Wesson,3250
714,94708,0,250,4400,4650,Holly Mitchell,4400
375,91042,0,4600,0,4600,Herb Wesson,4600
211,90001,0,4500,100,4600,Herb Wesson,4500
244,90037,0,3500,1100,4600,Herb Wesson,3500
478,91789,0,4500,0,4500,Herb Wesson,4500
153,63146,0,4500,0,4500,Herb Wesson,4500
411,91352,0,4500,0,4500,Herb Wesson,4500
351,90745,0,4500,0,4500,Herb Wesson,4500
763,95661,0,3000,1500,4500,Herb Wesson,3000
346,90723,0,4500,0,4500,Herb Wesson,4500
588,92861,0,3000,1500,4500,Herb Wesson,3000
549,92592,0,3000,1500,4500,Herb Wesson,3000
466,91754,0,1850,2460,4310,Holly Mitchell,2460
706,94618,0,0,4300,4300,Holly Mitchell,4300
648,94111,0,1000,3266,4266,Holly Mitchell,3266
231,90022,0,2500,1750,4250,Herb Wesson,2500
462,91746,0,4150,0,4150,Herb Wesson,4150
456,91732,0,4100,0,4100,Herb Wesson,4100
413,91355,0,4100,0,4100,Herb Wesson,4100
578,92807,0,3000,1000,4000,Herb Wesson,3000
71,2116,0,0,4000,4000,Holly Mitchell,4000
770,95746,0,0,4000,4000,Holly Mitchell,4000
428,91405,0,3600,275,3875,Herb Wesson,3600
291,90254,0,3000,850,3850,Herb Wesson,3000
348,90732,0,1600,2250,3850,Holly Mitchell,2250
394,91303,0,2000,1750,3750,Herb Wesson,2000
429,91406,0,3500,250,3750,Herb Wesson,3500
516,92203,0,3749,0,3749,Herb Wesson,3749
329,90630,0,3700,0,3700,Herb Wesson,3700
365,91006,0,3600,100,3700,Herb Wesson,3600
454,91730,0,3400,200,3600,Herb Wesson,3400
405,91342,0,2500,1050,3550,Herb Wesson,2500
652,94117,0,0,3545,3545,Holly Mitchell,3545
564,92649,0,3500,0,3500,Herb Wesson,3500
402,91331,0,2000,1500,3500,Herb Wesson,2000
331,90638,0,2500,1000,3500,Herb Wesson,2500
9,10014,0,1500,2000,3500,Holly Mitchell,2000
397,91311,0,3000,500,3500,Herb Wesson,3000
51,20004,0,0,3500,3500,Holly Mitchell,3500
537,92503,0,3000,500,3500,Herb Wesson,3000
238,90031,0,3000,450,3450,Herb Wesson,3000
532,92405,0,3400,0,3400,Herb Wesson,3400
406,91343,0,3250,100,3350,Herb Wesson,3250
443,91607,0,2250,1100,3350,Herb Wesson,2250
304,90290,0,0,3300,3300,Holly Mitchell,3300
663,94303,0,0,3250,3250,Holly Mitchell,3250
723,94904,0,0,3250,3250,Holly Mitchell,3250
733,95032,0,0,3250,3250,Holly Mitchell,3250
700,94608,0,0,3250,3250,Holly Mitchell,3250
718,94804,0,0,3200,3200,Holly Mitchell,3200
727,94949,0,0,3200,3200,Holly Mitchell,3200
311,90304,0,3100,0,3100,Herb Wesson,3100
340,90710,0,3100,0,3100,Herb Wesson,3100
637,94065,0,0,3000,3000,Holly Mitchell,3000
591,92870,0,3000,0,3000,Herb Wesson,3000
371,91020,0,3000,0,3000,Herb Wesson,3000
395,91304,0,2300,700,3000,Herb Wesson,2300
749,95404,0,0,3000,3000,Holly Mitchell,3000
740,95122,0,3000,0,3000,Herb Wesson,3000
734,95037,0,0,3000,3000,Holly Mitchell,3000
400,91325,0,3000,0,3000,Herb Wesson,3000
408,91345,0,3000,0,3000,Herb Wesson,3000
724,94920,0,0,3000,3000,Holly Mitchell,3000
437,91522,0,1500,1500,3000,Herb Wesson,1500
444,91608,0,3000,0,3000,Herb Wesson,3000
484,91902,0,3000,0,3000,Herb Wesson,3000
485,92008,0,3000,0,3000,Herb Wesson,3000
491,92040,0,0,3000,3000,Holly Mitchell,3000
522,92316,0,3000,0,3000,Herb Wesson,3000
682,94558,0,0,3000,3000,Holly Mitchell,3000
550,92602,0,0,3000,3000,Holly Mitchell,3000
576,92804,0,3000,0,3000,Herb Wesson,3000
586,92844,0,3000,0,3000,Herb Wesson,3000
493,92075,0,3000,0,3000,Herb Wesson,3000
0,00nan,0,3000,0,3000,Herb Wesson,3000
194,85033,0,3000,0,3000,Herb Wesson,3000
69,21076,0,0,3000,3000,Holly Mitchell,3000
13,10022,0,3000,0,3000,Herb Wesson,3000
173,78249,0,3000,0,3000,Herb Wesson,3000
151,63131,0,1500,1500,3000,Herb Wesson,1500
143,60614,0,3000,0,3000,Herb Wesson,3000
179,78732,0,3000,0,3000,Herb Wesson,3000
137,60035,0,3000,0,3000,Herb Wesson,3000
136,60015,0,0,3000,3000,Holly Mitchell,3000
133,54481,0,0,3000,3000,Holly Mitchell,3000
53,20006,0,3000,0,3000,Herb Wesson,3000
169,77002,0,0,3000,3000,Holly Mitchell,3000
85,27514,0,3000,0,3000,Herb Wesson,3000
30,11238,0,0,3000,3000,Holly Mitchell,3000
33,11542,0,3000,0,3000,Herb Wesson,3000
167,76131,0,1500,1500,3000,Herb Wesson,1500
49,20002,0,3000,0,3000,Herb Wesson,3000
45,19192,0,0,3000,3000,Holly Mitchell,3000
205,89102,0,1500,1500,3000,Herb Wesson,1500
362,90814,0,0,2960,2960,Holly Mitchell,2960
378,91104,0,1650,1300,2950,Herb Wesson,1650
782,95822,0,0,2950,2950,Holly Mitchell,2950
217,90007,0,2500,350,2850,Herb Wesson,2500
212,90002,0,700,2150,2850,Holly Mitchell,2150
127,48070,0,2840,0,2840,Herb Wesson,2840
805,98103,0,2840,0,2840,Herb Wesson,2840
571,92679,0,2800,0,2800,Herb Wesson,2800
448,91709,0,1000,1750,2750,Holly Mitchell,1750
426,91402,0,2600,150,2750,Herb Wesson,2600
694,94602,0,1500,1200,2700,Herb Wesson,1500
372,91024,0,500,2000,2500,Holly Mitchell,2000
350,90744,0,2500,0,2500,Herb Wesson,2500
642,94104,0,0,2500,2500,Holly Mitchell,2500
769,95722,0,0,2500,2500,Holly Mitchell,2500
625,93901,0,0,2500,2500,Holly Mitchell,2500
558,92625,0,1500,1000,2500,Herb Wesson,1500
565,92651,0,2500,0,2500,Herb Wesson,2500
103,32830,0,0,2500,2500,Holly Mitchell,2500
207,89117,0,2500,0,2500,Herb Wesson,2500
687,94577,0,1000,1500,2500,Holly Mitchell,1500
496,92101,0,0,2500,2500,Holly Mitchell,2500
703,94611,0,0,2500,2500,Holly Mitchell,2500
572,92701,0,2500,0,2500,Herb Wesson,2500
467,91761,0,2500,0,2500,Herb Wesson,2500
468,91764,0,1000,1500,2500,Holly Mitchell,1500
458,91740,0,2500,0,2500,Herb Wesson,2500
191,84020,0,0,2500,2500,Holly Mitchell,2500
424,91390,0,2500,0,2500,Herb Wesson,2500
666,94306,0,0,2425,2425,Holly Mitchell,2425
319,90502,0,1850,550,2400,Herb Wesson,1850
403,91335,0,2000,398,2398,Herb Wesson,2000
732,95030,0,0,2261,2261,Holly Mitchell,2261
553,92612,0,2000,250,2250,Herb Wesson,2000
239,90032,0,600,1600,2200,Holly Mitchell,1600
323,90602,0,2000,200,2200,Herb Wesson,2000
