,zipcode,amount_rcvd
52,20005,1500
193,85012,1500
626,93906,1500
88,28217,1500
807,98109,1500
86,27605,1500
75,22066,1500
624,93727,1500
708,94621,1500
634,94044,1500
479,91790,1500
806,98104,1500
83,27101,1500
796,96002,1500
640,94080,1500
514,92129,1500
690,94583,1500
610,93455,1500
38,17011,1500
603,93101,1500
42,19002,1500
803,98006,1500
560,92629,1500
599,93021,1500
653,94118,1500
65,20817,1500
567,92656,1500
800,96813,1500
672,94513,1500
594,92886,1500
656,94123,1500
802,98004,1500
589,92865,1500
62,20601,1500
61,20191,1500
580,92821,1500
581,92823,1500
669,94404,1500
297,90270,1500
58,20076,1500
607,93308,1500
519,92260,1500
689,94579,1500
74,22046,1500
524,92335,1500
609,93314,1500
608,93309,1500
200,8889,1500
686,94574,1500
685,94566,1500
43,19103,1500
678,94541,1500
677,94536,1500
645,94108,1500
547,92563,1500
548,92585,1500
70,2110,1500
201,89011,1500
552,92610,1500
68,21046,1500
2,10003,1500
124,45209,1500
120,38115,1500
129,48854,1500
18,10038,1500
455,91731,1500
123,43222,1500
10,10017,1500
746,95353,1500
1,10001,1500
165,75248,1500
745,95252,1500
324,90603,1500
164,75202,1500
410,91351,1500
741,95124,1500
19,10153,1500
168,76134,1500
736,95112,1500
113,37160,1500
112,33634,1500
111,33558,1500
419,91372,1500
131,53589,1500
341,90712,1500
22,10577,1500
368,91010,1500
156,65101,1500
160,6880,1500
154,63301,1500
152,63132,1500
174,78288,1500
150,63127,1500
161,75063,1500
17,10036,1500
146,6156,1500
344,90717,1500
134,55343,1500
177,78730,1500
178,78731,1500
374,91040,1500
343,90716,1500
141,60610,1500
139,60062,1500
180,7901,1500
138,60045,1500
383,91201,1500
20,10154,1500
158,67205,1500
728,94954,1500
98,30349,1500
450,91711,1500
5,1001,1500
24,11001,1500
433,91501,1500
104,33024,1500
192,85004,1500
25,11201,1500
99,30350,1500
93,30134,1500
106,33139,1500
26,11206,1500
109,33408,1500
23,1060,1500
11,10018,1500
730,95008,1500
719,94805,1450
473,91773,1350
710,94703,1300
726,94941,1300
442,91606,1300
15,10024,1250
587,92860,1250
339,90706,1250
520,92264,1250
695,94603,1250
647,94110,1200
188,80919,1200
539,92505,1200
357,90805,1100
184,80238,1100
356,90804,1100
445,91701,1100
684,94564,1100
596,93001,1100
593,92881,1100
41,1864,1000
204,89052,1000
566,92653,1000
135,55402,1000
785,95827,1000
784,95826,1000
349,90740,1000
480,91791,1000
449,91710,1000
60,20190,1000
40,1742,1000
577,92806,1000
804,98101,1000
579,92808,1000
162,75067,1000
463,91748,1000
753,95465,1000
725,94939,1000
345,90720,1000
195,85213,1000
507,92118,1000
125,46285,1000
128,48275,1000
797,96005,1000
79,22209,1000
747,95356,1000
35,12833,1000
680,94549,1000
84,27215,1000
100,31906,1000
743,95128,1000
673,94518,1000
119,38103,1000
6,10010,1000
523,92324,1000
551,92606,1000
31,11413,1000
798,96007,1000
105,33126,1000
627,93921,1000
751,95418,1000
108,33322,1000
503,92109,1000
163,75201,1000
768,95695,950
531,92404,950
420,91377,950
702,94610,900
692,94590,900
533,92407,900
675,94530,875
262,90062,850
707,94619,850
701,94609,817
527,92374,800
783,95825,800
542,92508,800
386,91204,800
696,94604,750
752,95448,750
