,monthyear,year,month,candidate_name,amount_rcvdsize,amount_rcvdmean,amount_rcvdsum,months,week
1,2019-01-01,2019,1,Herb Wesson,78,1048,81800,Jan,1
2,2019-01-01,2019,1,Jan Perry,59,642,37930,Jan,1
3,2019-02-01,2019,2,Herb Wesson,38,1056,40150,Feb,5
4,2019-02-01,2019,2,Holly Mitchell,477,837,399665,Feb,5
5,2019-02-01,2019,2,Jan Perry,95,846,80375,Feb,5
6,2019-03-01,2019,3,Herb Wesson,144,1191,171516,Mar,9
7,2019-03-01,2019,3,Holly Mitchell,20,574,11490,Mar,9
8,2019-03-01,2019,3,Jan Perry,112,670,75150,Mar,9
9,2019-04-01,2019,4,Herb Wesson,102,1086,110837,Apr,14
10,2019-04-01,2019,4,Holly Mitchell,83,527,43800,Apr,14
11,2019-04-01,2019,4,Jan Perry,126,534,67325,Apr,14
12,2019-05-01,2019,5,Herb Wesson,99,1062,105223,May,18
13,2019-05-01,2019,5,Holly Mitchell,47,568,26702,May,18
14,2019-05-01,2019,5,Jake Jeong,77,585,45100,May,18
15,2019-05-01,2019,5,Jan Perry,93,556,51725,May,18
16,2019-06-01,2019,6,Herb Wesson,158,1075,169913,Jun,22
17,2019-06-01,2019,6,Holly Mitchell,148,589,87309,Jun,22
18,2019-06-01,2019,6,Jake Jeong,5,200,1000,Jun,22
19,2019-06-01,2019,6,Jan Perry,410,488,200255,Jun,22
20,2019-07-01,2019,7,Herb Wesson,16,659,10550,Jul,27
21,2019-07-01,2019,7,Holly Mitchell,51,387,19775,Jul,27
22,2019-07-01,2019,7,Jake Jeong,12,483,5800,Jul,27
23,2019-07-01,2019,7,Jan Perry,31,334,10375,Jul,27
24,2019-08-01,2019,8,Herb Wesson,13,803,10450,Aug,31
25,2019-08-01,2019,8,Holly Mitchell,67,357,23950,Aug,31
26,2019-08-01,2019,8,Jake Jeong,5,610,3050,Aug,31
27,2019-08-01,2019,8,Jan Perry,43,379,16300,Aug,31
28,2019-09-01,2019,9,Herb Wesson,111,568,63100,Sep,35
29,2019-09-01,2019,9,Holly Mitchell,103,418,43125,Sep,35
30,2019-09-01,2019,9,Jake Jeong,5,740,3700,Sep,35
31,2019-09-01,2019,9,Jan Perry,125,302,37825,Sep,35
32,2019-10-01,2019,10,Herb Wesson,73,493,36015,Oct,40
33,2019-10-01,2019,10,Holly Mitchell,207,402,83410,Oct,40
34,2019-10-01,2019,10,Jake Jeong,40,576,23050,Oct,40
35,2019-10-01,2019,10,Jan Perry,92,379,34880,Oct,40
36,2019-11-01,2019,11,Herb Wesson,142,745,105870,Nov,44
37,2019-11-01,2019,11,Holly Mitchell,117,606,70999,Nov,44
38,2019-11-01,2019,11,Jake Jeong,6,1000,6000,Nov,44
39,2019-11-01,2019,11,Jan Perry,64,351,22505,Nov,44
40,2019-11-01,2019,11,Jorge Nuno,5,390,1950,Nov,44
41,2019-12-01,2019,12,Albert Robles,37,1081,40000,Dec,48
42,2019-12-01,2019,12,Herb Wesson,107,974,104250,Dec,48
43,2019-12-01,2019,12,Holly Mitchell,118,441,52080,Dec,48
44,2019-12-01,2019,12,Jake Jeong,31,458,14198,Dec,48
45,2019-12-01,2019,12,Jan Perry,244,313,76551,Dec,48
46,2019-12-01,2019,12,Jorge Nuno,16,390,6250,Dec,48
