Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
1,5/14/22,ARI,CHC,L 2-4,39,35,2,8,2,0,0,2,3,0,10,1,0,0,0,0,0,0,-0.47,-2.551,1.442,10,12,"25,169",202,104,,0,none,retractable
2,5/14/22,CHC,ARI,W 4-2,35,31,4,4,0,0,1,4,4,0,13,0,0,0,0,0,0,0,0.028,-0.549,1.229,4,11,"25,169",202,104,,0,none,retractable
3,5/7/22,ARI,COL,L 1-4,37,31,1,6,1,0,0,1,6,1,6,0,0,0,0,1,3,0,-0.258,-3.55,1.436,9,9,"24,133",199,100,,1,none,retractable
4,5/7/22,COL,ARI,W 4-1,38,36,4,8,0,0,0,3,2,0,8,0,0,0,1,0,0,0,0.242,-0.551,1.772,7,11,"24,133",199,100,,1,none,retractable
5,9/22/21,ARI,ATL,L 2-9,33,32,2,6,1,0,1,2,1,0,10,0,0,0,0,1,0,0,-0.196,-2.551,0.515,4,13,"10,631",180,100,torf,3,none,sunny
6,9/22/21,ATL,ARI,W 9-2,39,33,9,11,3,0,3,9,4,0,8,0,0,2,0,1,0,0,0.303,4.448,0.413,3,14,"10,631",180,100,torf,3,none,sunny
7,6/11/21,LAA,ARI,W 6-5,46,38,6,9,3,0,1,5,5,1,9,3,0,0,0,1,0,0,0.296,0.322,1.677,11,19,"18,458",249,102,,9,none,sunny
8,6/11/21,ARI,LAA,L 5-6,45,41,5,10,4,0,1,2,3,0,15,1,0,0,0,1,0,0,-0.205,-0.679,2.057,11,20,"18,458",249,102,,9,none,sunny
9,6/1/21,ARI,NYM,W 6-5,42,40,6,11,2,0,1,6,2,0,9,0,0,0,1,0,0,0,0.528,1.004,1.939,9,18,"9,590",207,102,ltor,7,none,cloudy
10,6/1/21,NYM,ARI,L 5-6,38,33,5,6,2,1,1,5,4,0,5,0,0,1,0,1,1,1,0.027,-0.681,0.957,4,16,"9,590",207,102,ltor,7,none,cloudy
11,2020-09-25 (2),ARI,COL,W 11-5,40,32,11,13,1,0,2,10,6,0,5,2,0,0,0,0,0,0,0.592,7.745,0.604,11,9,,178,102,,6,none,sunny
12,2020-09-25 (2),COL,ARI,L 5-11,31,27,5,8,4,0,1,5,4,0,6,0,0,0,0,1,0,0,0.089,1.201,0.623,5,10,,178,102,,6,none,sunny
13,9/22/20,ARI,TEX,W 7-0,39,35,7,11,1,1,1,7,1,0,6,1,0,2,2,0,0,0,0.156,2.656,0.698,8,11,,176,100,,8,none,sunny
14,9/22/20,TEX,ARI,L 0-7,36,32,0,6,0,0,0,0,3,0,9,0,1,0,0,0,1,0,-0.346,-4.886,0.743,9,9,,176,100,,8,none,sunny
15,9/6/20,LAA,HOU,W 9-5,40,34,9,12,1,1,1,9,4,0,4,1,0,1,0,1,1,0,0.523,4.704,1.024,7,11,,208,106,ltor,9,none,sunny
16,9/6/20,HOU,LAA,L 5-9,36,33,5,6,2,0,3,5,3,0,11,0,0,0,1,0,0,1,0.022,0.168,1.237,4,11,,208,106,ltor,9,none,sunny
17,2020-09-05 (1),LAA,HOU,W 10-9,34,31,10,13,6,0,3,10,3,0,7,0,0,0,0,0,1,0,1.635,6.798,1.742,5,9,,181,109,rtol,9,none,sunny
18,2020-09-05 (1),HOU,LAA,L 9-10,35,33,9,12,2,1,1,9,2,0,6,0,0,0,1,0,0,1,1.137,5.239,1.656,5,9,,181,109,rtol,9,none,sunny
