Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
601,6/20/53,CIN,PHI,L 1-3,32,31,1,4,0,0,1,1,1,0,1,0,0,,0,0,0,0,-0.427,-3.853,0.956,4,12,"4,043",135,102,,,,
602,6/20/53,PHI,CIN,W 3-1,35,29,3,5,1,0,0,3,5,0,3,0,1,,0,1,0,0,0.075,-1.853,1.693,5,11,"4,043",135,102,,,,
603,6/18/53,BRO,STL,L 4-12,39,36,4,10,2,0,1,4,3,0,5,0,0,,1,2,0,0,-0.168,-0.853,0.57,8,15,"15,271",156,100,,,,
604,6/18/53,STL,BRO,W 12-4,43,35,12,12,2,0,3,12,6,1,6,2,0,,0,1,0,0,0.332,7.685,0.469,7,11,"15,271",156,100,,,,
605,1952-07-27 (2),SLB,BOS,L 3-9,34,30,3,5,3,0,0,3,4,0,5,0,0,,0,2,0,0,-0.233,-1.256,0.838,4,16,"6,555",156,100,,,,
606,1952-07-27 (2),BOS,SLB,W 9-3,47,41,9,16,4,0,1,9,4,1,1,1,1,,0,1,0,0,0.266,4.743,0.472,11,11,"6,555",156,100,,,,
607,1952-07-27 (1),SLB,BOS,W 8-1,42,35,8,13,2,0,0,7,6,0,4,0,1,,0,1,0,0,0.243,4.215,0.601,10,15,,154,100,,,,
608,1952-07-27 (1),BOS,SLB,L 1-8,35,33,1,7,1,0,0,1,2,0,2,0,0,,0,1,2,0,-0.258,-3.256,0.671,7,14,,154,100,,,,
609,7/20/52,BSN,STL,L 4-8,38,31,4,8,0,0,1,4,5,0,4,0,2,,0,1,0,0,-0.129,-0.208,1.218,7,12,"12,363",132,100,,,,
610,7/20/52,STL,BSN,W 8-4,39,35,8,13,2,1,3,8,3,0,3,1,0,,0,1,0,0,0.371,4.26,0.527,7,10,"12,363",132,100,,,,
611,1952-07-06 (2),PIT,STL,L 4-6,34,32,4,6,1,0,2,4,1,0,6,0,1,,0,0,0,0,-0.093,-0.21,0.879,3,12,"17,048",133,100,,,,
612,1952-07-06 (2),STL,PIT,W 6-4,37,31,6,9,1,1,2,6,5,0,2,0,1,,1,2,1,0,0.408,2.259,1.145,7,12,"17,048",133,100,,,,
613,1952-06-29 (2),CHC,CIN,L 1-9,34,29,1,4,0,0,1,1,4,0,3,0,1,,0,1,0,0,-0.267,-3.168,0.645,6,12,"13,622",128,104,torf,,none,sunny
614,1952-06-29 (2),CIN,CHC,W 9-1,39,35,9,12,5,0,2,9,4,0,2,0,0,,0,2,0,0,0.233,5.297,0.455,6,10,"13,622",128,104,torf,,none,sunny
615,6/29/52,SLB,DET,W 3-2,33,32,3,5,0,0,1,3,1,0,3,0,0,,2,1,0,0,0.346,-1.16,1.235,4,14,"4,858",119,106,,,,
616,6/29/52,DET,SLB,L 2-3,32,31,2,5,1,0,0,2,1,0,2,0,0,,1,1,0,0,-0.156,-2.258,1.195,3,12,"4,858",119,106,,,,
617,6/24/52,SLB,NYY,L 3-8,38,37,3,9,0,1,0,3,1,0,6,0,0,,2,1,0,0,-0.118,-1.26,0.543,8,15,"12,575",157,100,,,,night
618,6/24/52,NYY,SLB,W 8-3,45,41,8,12,3,2,0,7,3,1,3,0,1,,2,0,1,0,0.382,3.742,0.411,10,9,"12,575",157,100,,,,night
