Rk,Date,Tm,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,WPA,RE24,aLI,LOB,#,Attendance,GmLen,Temp,WindDir,WindSpd,Prec,Sky
1,2003-08-01,TEX,CLE,W 10-3,39,35,10,11,0,0,7,10,4,0,3,0,0,0,0,0,1,0,0.384,5.165,.239,5,9,24143,135,100,fromlf,18,,sunny
2,2012-07-17,LAA,DET,W 13-0,48,44,13,18,3,0,5,13,4,0,8,0,0,0,0,2,0,0,0.400,8.319,.238,8,12,33950,189,100,tolf,12,,cloudy
3,2011-08-27,LAA,TEX,W 8-4,42,39,8,13,2,1,5,8,3,0,4,0,0,0,1,0,1,0,0.366,3.077,.642,7,9,48453,185,104,,1,,sunny
4,1998-06-26,ARI,SEA,W 13-8,41,37,13,14,2,0,5,13,4,0,4,0,0,0,1,2,0,0,1.009,8.911,1.014,4,15,49328,176,102,ltor,10,none,night
5,1973-06-21,HOU,SDP,W 12-2,43,40,12,14,3,0,5,11,3,0,8,0,0,0,2,0,1,2,0.330,8.221,.304,4,9,2474,131,104,,,,
6,2012-07-30,LAA,TEX,W 15-8,46,42,15,16,2,0,4,15,4,2,9,0,0,0,0,0,1,1,0.546,10.138,.661,4,10,36111,186,102,fromlf,11,,sunny
7,2012-06-29,PIT,STL,W 14-5,51,46,14,19,2,0,4,14,5,0,8,0,0,0,0,0,0,0,0.753,9.813,.599,10,14,45382,189,101,rtol,11,,sunny
8,2011-09-13,TEX,CLE,W 10-4,40,36,10,14,2,0,4,10,4,0,4,0,0,0,0,0,1,0,0.469,5.626,.683,6,10,30107,182,101,rtol,1,,cloudy
9,2011-08-25,BOS,TEX,W 6-0,37,35,6,9,1,0,4,6,2,0,9,0,0,0,0,1,0,0,0.264,1.076,.294,4,9,29729,167,101,,0,,sunny
10,2011-07-23,PHI,SDP,W 8-6,38,33,8,11,4,0,4,8,4,1,9,0,1,0,0,0,2,0,0.700,4.304,.892,6,18,45072,194,100,ltor,11,,cloudy
11,2008-07-28,SEA,TEX,W 7-5,38,34,7,11,1,1,4,7,2,0,7,0,1,1,0,2,1,0,0.405,2.147,.997,4,12,21742,175,101,fromlf,10,,sunny
12,2006-08-15,TEX,LAA,L 7-9,38,36,7,11,4,0,4,7,2,0,6,0,0,0,0,0,0,2,0.204,1.977,1.168,4,10,26561,175,101,rtol,11,,sunny
